left_weight;left_distance;right_weight;right_distance;target;prediction;anchor_rule;anchor_rule_len;anchor_precision;anchor_coverage;anchor_precision_correct;anchor_coverage_correct
3.0;2.0;4.0;1.0;1;1;right_distance <= 2.00 AND left_weight > 2.00 AND right_weight <= 4.00;3;0.9109243697478991;0.1973;0.9175257731958762;0.3803418803418803
5.0;3.0;2.0;4.0;1;1;left_weight > 4.00 AND right_weight <= 2.00 AND left_distance > 2.00;3;1.0;0.0385;1.0;0.08547008547008547
2.0;3.0;1.0;3.0;1;1;right_weight <= 2.00 AND left_distance > 2.00 AND right_distance <= 3.00;3;0.9153976311336718;0.1385;0.9428571428571428;0.28205128205128205
4.0;4.0;5.0;4.0;2;2;right_weight > 4.00 AND right_distance > 3.00 AND left_distance <= 4.00;3;0.985480943738657;0.0676;0.9696969696969697;0.1391304347826087
1.0;2.0;4.0;3.0;2;2;left_weight <= 2.00 AND right_weight > 3.00 AND right_distance > 2.00;3;1.0;0.1063;1.0;0.23043478260869565
1.0;3.0;5.0;4.0;2;2;right_weight > 4.00 AND left_weight <= 2.00 AND right_distance > 2.00;3;1.0;0.0514;1.0;0.11304347826086956
5.0;2.0;4.0;2.0;1;1;left_weight > 4.00 AND right_distance <= 2.00 AND right_weight <= 4.00;3;0.9227272727272727;0.0749;0.9444444444444444;0.1452991452991453
1.0;3.0;4.0;2.0;2;2;left_weight <= 2.00 AND right_weight > 3.00 AND left_distance <= 3.00;3;0.9324055666003976;0.0996;0.9411764705882353;0.20869565217391303
1.0;1.0;3.0;2.0;2;2;left_weight <= 2.00 AND left_distance <= 2.00 AND right_weight > 2.00;3;0.9466666666666667;0.1025;0.9607843137254902;0.21304347826086956
3.0;4.0;2.0;3.0;1;1;right_weight <= 2.00 AND left_distance > 3.00 AND left_weight > 2.00;3;1.0;0.0943;1.0;0.20512820512820512
2.0;5.0;4.0;5.0;2;2;left_weight <= 2.00 AND right_distance > 4.00 AND right_weight > 3.00;3;1.0;0.0358;1.0;0.0782608695652174
5.0;2.0;5.0;4.0;2;2;right_weight > 4.00 AND right_distance > 3.00 AND left_distance <= 3.00;3;1.0;0.0505;1.0;0.10434782608695652
2.0;3.0;5.0;5.0;2;2;right_distance > 4.00 AND right_weight > 4.00;2;0.9782608695652174;0.041;0.9523809523809523;0.08695652173913043
1.0;4.0;2.0;4.0;2;2;right_distance > 3.00 AND left_weight <= 2.00 AND left_distance <= 4.00;3;0.9405405405405406;0.1287;0.9384615384615385;0.26521739130434785
4.0;3.0;4.0;5.0;2;2;right_distance > 4.00 AND right_weight > 3.00 AND left_distance <= 3.00;3;1.0;0.0526;1.0;0.11739130434782609
3.0;5.0;3.0;4.0;1;1;left_distance > 4.00 AND left_weight > 2.00 AND right_weight <= 3.00;3;0.9813780260707635;0.0712;0.972972972972973;0.15384615384615385
1.0;4.0;1.0;5.0;2;2;right_distance > 4.00 AND left_weight <= 2.00 AND left_distance <= 4.00;3;0.9523809523809523;0.0679;0.9411764705882353;0.1391304347826087
1.0;1.0;5.0;4.0;2;2;left_distance <= 2.00 AND right_distance > 3.00 AND right_weight > 4.00;3;1.0;0.0284;1.0;0.06521739130434782
4.0;1.0;4.0;1.0;0;0;right_distance <= 2.00 AND left_distance <= 2.00 AND 3.00 < right_weight <= 4.00 AND 3.00 < left_weight <= 4.00;4;0.4684838160136286;0.0079;0.6;0.07692307692307693
3.0;3.0;2.0;1.0;1;1;right_distance <= 2.00 AND right_weight <= 2.00 AND left_weight > 2.00;3;0.9951690821256038;0.0889;1.0;0.20512820512820512
2.0;2.0;4.0;1.0;0;0;3.00 < right_weight <= 4.00 AND right_distance <= 2.00 AND left_distance <= 2.00 AND left_weight <= 4.00;4;0.2750965250965251;0.0275;0.26666666666666666;0.10256410256410256
5.0;5.0;4.0;2.0;1;1;left_weight > 4.00 AND left_distance > 4.00;2;0.9593023255813954;0.042;0.9523809523809523;0.08547008547008547
3.0;4.0;3.0;2.0;1;1;right_distance <= 2.00 AND left_distance > 3.00 AND left_weight > 2.00;3;1.0;0.1024;1.0;0.21794871794871795
2.0;4.0;3.0;4.0;2;2;left_weight <= 2.00 AND right_distance > 3.00 AND right_weight > 2.00;3;1.0;0.1035;1.0;0.2217391304347826
2.0;1.0;3.0;3.0;2;2;left_weight <= 2.00 AND left_distance <= 2.00 AND right_distance > 2.00;3;0.9720496894409938;0.1013;0.9607843137254902;0.21304347826086956
5.0;3.0;3.0;4.0;1;1;left_weight > 4.00 AND left_distance > 2.00 AND right_weight <= 3.00;3;0.9789156626506024;0.0641;0.9696969696969697;0.13675213675213677
5.0;2.0;5.0;1.0;1;1;left_weight > 4.00 AND right_distance <= 2.00;2;0.9043624161073825;0.0849;0.8837209302325582;0.1623931623931624
2.0;3.0;1.0;2.0;1;1;right_weight <= 2.00 AND right_distance <= 2.00 AND left_distance > 2.00;3;0.9702602230483272;0.091;1.0;0.19658119658119658
1.0;1.0;2.0;5.0;2;2;left_weight <= 2.00 AND right_distance > 3.00 AND left_distance <= 2.00;3;0.9626168224299065;0.0625;0.9696969696969697;0.1391304347826087
4.0;2.0;2.0;3.0;1;1;right_weight <= 2.00 AND left_weight > 3.00 AND right_distance <= 3.00;3;0.981549815498155;0.0916;0.98;0.2094017094017094
2.0;5.0;3.0;4.0;2;2;left_weight <= 2.00 AND right_distance > 3.00 AND right_weight > 2.00;3;1.0;0.1006;1.0;0.2217391304347826
4.0;2.0;2.0;4.0;0;0;3.00 < right_distance <= 4.00 AND left_distance <= 2.00 AND right_weight <= 2.00 AND 3.00 < left_weight <= 4.00;4;0.5233555767397522;0.0097;0.6;0.07692307692307693
5.0;5.0;3.0;1.0;1;1;left_weight > 4.00 AND left_distance > 4.00 AND right_distance <= 2.00;3;1.0;0.0145;1.0;0.03418803418803419
3.0;1.0;4.0;4.0;2;2;left_distance <= 2.00 AND right_distance > 3.00 AND right_weight > 3.00;3;1.0;0.0623;1.0;0.14782608695652175
1.0;4.0;2.0;5.0;2;2;right_distance > 4.00 AND left_weight <= 2.00 AND left_distance <= 4.00;3;0.9490333919156415;0.0655;0.9411764705882353;0.1391304347826087
3.0;2.0;4.0;2.0;2;2;left_distance <= 2.00 AND right_weight > 3.00 AND left_weight <= 3.00;3;0.928416485900217;0.0993;0.94;0.20434782608695654
3.0;3.0;3.0;3.0;0;0;2.00 < left_distance <= 3.00 AND 2.00 < right_distance <= 3.00 AND 2.00 < left_weight <= 3.00 AND 2.00 < right_weight <= 3.00;4;1.0;0.0019;1.0;0.05128205128205128
3.0;3.0;5.0;1.0;1;1;right_distance <= 2.00 AND left_weight > 2.00 AND left_distance > 2.00;3;0.9788053949903661;0.1506;0.9866666666666667;0.3162393162393162
4.0;2.0;1.0;4.0;1;1;right_weight <= 2.00 AND left_weight > 3.00 AND right_distance <= 4.00;3;0.9168591224018475;0.1262;0.9253731343283582;0.26495726495726496
5.0;5.0;2.0;2.0;1;1;left_weight > 4.00 AND left_distance > 4.00;2;0.9630390143737166;0.0409;0.9523809523809523;0.08547008547008547
2.0;5.0;5.0;3.0;2;2;right_weight > 4.00 AND right_distance > 2.00 AND left_weight <= 2.00;3;1.0;0.055;1.0;0.11304347826086956
5.0;1.0;2.0;2.0;1;1;left_weight > 4.00 AND right_weight <= 2.00 AND right_distance <= 2.00;3;1.0;0.0348;1.0;0.07692307692307693
3.0;2.0;5.0;5.0;2;2;right_distance > 4.00 AND right_weight > 4.00;2;0.9731051344743277;0.0383;0.9523809523809523;0.08695652173913043
2.0;2.0;1.0;4.0;0;0;left_weight <= 2.00 AND right_weight <= 2.00 AND left_distance <= 2.00 AND right_distance <= 4.00;4;0.22674418604651161;0.0498;0.2692307692307692;0.1794871794871795
1.0;4.0;1.0;1.0;1;1;right_weight <= 2.00 AND left_distance > 3.00 AND right_distance <= 2.00;3;1.0;0.059;1.0;0.13675213675213677
1.0;4.0;4.0;3.0;2;2;left_weight <= 2.00 AND right_weight > 3.00 AND right_distance > 2.00;3;1.0;0.0992;1.0;0.23043478260869565
3.0;3.0;5.0;2.0;2;2;right_weight > 4.00 AND left_weight <= 3.00 AND left_distance <= 3.00;3;0.9376558603491272;0.0649;0.9142857142857143;0.1391304347826087
1.0;3.0;4.0;4.0;2;2;left_weight <= 2.00 AND right_weight > 3.00 AND right_distance > 2.00;3;1.0;0.1091;1.0;0.23043478260869565
1.0;1.0;4.0;1.0;2;2;left_weight <= 2.00 AND right_weight > 3.00 AND left_distance <= 2.00;3;0.96415770609319;0.0649;0.9714285714285714;0.14782608695652175
4.0;1.0;2.0;1.0;1;1;right_weight <= 2.00 AND left_weight > 3.00 AND right_distance <= 2.00;3;1.0;0.0665;1.0;0.1452991452991453
2.0;4.0;1.0;5.0;1;1;left_distance > 3.00 AND right_weight <= 2.00;2;0.9106796116504854;0.1467;0.9066666666666666;0.2905982905982906
1.0;4.0;3.0;4.0;2;2;left_weight <= 2.00 AND right_distance > 3.00 AND right_weight > 2.00;3;1.0;0.0975;1.0;0.2217391304347826
5.0;1.0;5.0;3.0;2;2;right_weight > 4.00 AND right_distance > 2.00 AND left_distance <= 2.00;3;1.0;0.0477;1.0;0.10434782608695652
1.0;5.0;4.0;3.0;2;2;left_weight <= 2.00 AND right_weight > 3.00 AND right_distance > 2.00;3;1.0;0.1061;1.0;0.23043478260869565
4.0;2.0;4.0;2.0;0;0;left_distance <= 2.00 AND right_distance <= 2.00 AND 3.00 < right_weight <= 4.00 AND 3.00 < left_weight <= 4.00;4;0.4659154929577465;0.0089;0.6;0.07692307692307693
4.0;3.0;4.0;2.0;1;1;right_distance <= 2.00 AND left_weight > 3.00 AND left_distance > 2.00;3;1.0;0.0978;1.0;0.2222222222222222
1.0;2.0;2.0;4.0;2;2;left_weight <= 2.00 AND right_distance > 3.00 AND left_distance <= 2.00;3;0.9672727272727273;0.0636;0.9696969696969697;0.1391304347826087
1.0;1.0;1.0;1.0;0;0;left_weight <= 2.00 AND right_weight <= 2.00 AND left_distance <= 2.00 AND right_distance <= 2.00;4;0.3417283950617284;0.0208;0.46153846153846156;0.15384615384615385
5.0;5.0;4.0;3.0;1;1;left_weight > 4.00 AND left_distance > 4.00;2;0.9608433734939759;0.0436;0.9523809523809523;0.08547008547008547
3.0;4.0;2.0;4.0;1;1;right_weight <= 2.00 AND left_distance > 3.00 AND left_weight > 2.00;3;1.0;0.0904;1.0;0.20512820512820512
3.0;5.0;5.0;5.0;2;2;right_distance > 4.00 AND right_weight > 4.00;2;0.9707112970711297;0.0414;0.9523809523809523;0.08695652173913043
3.0;5.0;3.0;1.0;1;1;left_distance > 4.00 AND right_distance <= 2.00 AND left_weight > 2.00;3;1.0;0.0467;1.0;0.10683760683760683
4.0;4.0;1.0;3.0;1;1;right_weight <= 2.00 AND left_distance > 3.00 AND left_weight > 2.00;3;1.0;0.0942;1.0;0.20512820512820512
5.0;4.0;2.0;3.0;1;1;left_weight > 4.00 AND left_distance > 3.00 AND right_weight <= 2.00;3;1.0;0.0246;1.0;0.05982905982905983
1.0;1.0;5.0;3.0;2;2;right_weight > 4.00 AND left_weight <= 2.00 AND left_distance <= 2.00;3;1.0;0.0293;1.0;0.06956521739130435
4.0;5.0;1.0;5.0;1;1;right_weight <= 2.00 AND left_distance > 4.00 AND left_weight > 3.00;3;1.0;0.029;1.0;0.07264957264957266
1.0;5.0;4.0;2.0;2;2;left_weight <= 2.00 AND right_weight > 3.00;2;0.8918918918918919;0.1733;0.8837209302325582;0.33043478260869563
1.0;4.0;3.0;5.0;2;2;left_weight <= 2.00 AND right_distance > 3.00 AND right_weight > 2.00;3;1.0;0.1028;1.0;0.2217391304347826
2.0;3.0;2.0;3.0;0;0;2.00 < right_distance <= 3.00 AND 2.00 < left_distance <= 3.00 AND right_weight <= 2.00 AND left_weight <= 2.00;4;0.5192425167990226;0.0071;0.6;0.07692307692307693
2.0;5.0;5.0;4.0;2;2;right_weight > 4.00 AND right_distance > 3.00 AND left_weight <= 3.00;3;1.0;0.0497;1.0;0.11304347826086956
4.0;5.0;5.0;5.0;2;2;right_distance > 4.00 AND right_weight > 4.00;2;0.956268221574344;0.0411;0.9523809523809523;0.08695652173913043
1.0;1.0;4.0;4.0;2;2;left_distance <= 2.00 AND right_distance > 3.00 AND right_weight > 3.00;3;1.0;0.0674;1.0;0.14782608695652175
3.0;4.0;4.0;2.0;1;1;right_distance <= 2.00 AND left_distance > 3.00 AND left_weight > 2.00;3;1.0;0.0998;1.0;0.21794871794871795
4.0;1.0;3.0;4.0;2;2;left_distance <= 2.00 AND right_distance > 3.00 AND right_weight > 2.00;3;1.0;0.1014;1.0;0.2217391304347826
2.0;1.0;4.0;5.0;2;2;right_distance > 4.00 AND left_distance <= 2.00 AND right_weight > 3.00;3;1.0;0.0283;1.0;0.07391304347826087
4.0;3.0;5.0;4.0;2;2;right_weight > 4.00 AND right_distance > 3.00 AND left_distance <= 3.00;3;1.0;0.0457;1.0;0.10434782608695652
3.0;2.0;5.0;4.0;2;2;right_weight > 4.00 AND right_distance > 3.00 AND left_weight <= 3.00;3;1.0;0.0503;1.0;0.11304347826086956
5.0;4.0;4.0;1.0;1;1;left_weight > 4.00 AND left_distance > 3.00 AND right_distance <= 2.00;3;1.0;0.0343;1.0;0.07264957264957266
5.0;2.0;2.0;4.0;1;1;left_weight > 4.00 AND right_weight <= 2.00 AND right_distance <= 4.00;3;0.9594017094017094;0.0675;0.9393939393939394;0.13247863247863248
3.0;2.0;1.0;1.0;1;1;right_weight <= 2.00 AND right_distance <= 2.00 AND left_weight > 2.00;3;0.9941348973607038;0.0937;1.0;0.20512820512820512
3.0;1.0;3.0;5.0;2;2;right_distance > 4.00 AND left_distance <= 2.00 AND right_weight > 2.00;3;1.0;0.0526;1.0;0.11304347826086956
3.0;5.0;4.0;3.0;1;1;left_distance > 4.00 AND left_weight > 2.00 AND right_distance <= 3.00;3;0.9741379310344828;0.0724;0.9722222222222222;0.14957264957264957
4.0;3.0;3.0;2.0;1;1;right_distance <= 2.00 AND left_weight > 3.00 AND left_distance > 2.00;3;1.0;0.1006;1.0;0.2222222222222222
2.0;2.0;4.0;3.0;2;2;left_weight <= 2.00 AND right_weight > 3.00 AND right_distance > 2.00;3;1.0;0.0996;1.0;0.23043478260869565
1.0;3.0;1.0;5.0;2;2;left_weight <= 2.00 AND right_distance > 4.00 AND left_distance <= 3.00;3;0.9627659574468085;0.0478;0.96;0.10434782608695652
3.0;2.0;3.0;5.0;2;2;right_distance > 4.00 AND left_distance <= 2.00 AND right_weight > 2.00;3;1.0;0.0497;1.0;0.11304347826086956
1.0;2.0;5.0;2.0;2;2;left_weight <= 2.00 AND right_weight > 4.00 AND left_distance <= 2.00;3;1.0;0.0299;1.0;0.06956521739130435
1.0;4.0;4.0;4.0;2;2;left_weight <= 2.00 AND right_distance > 3.00 AND right_weight > 2.00;3;1.0;0.098;1.0;0.2217391304347826
3.0;2.0;3.0;3.0;2;2;left_distance <= 2.00 AND right_distance > 2.00 AND right_weight > 2.00;3;0.9851694915254238;0.1432;0.9868421052631579;0.32608695652173914
4.0;2.0;5.0;1.0;1;1;right_distance <= 2.00 AND left_weight > 3.00;2;0.8788659793814433;0.1678;0.8837209302325582;0.3247863247863248
1.0;5.0;2.0;4.0;2;2;left_weight <= 2.00 AND 3.00 < right_distance <= 4.00;2;0.9067460317460317;0.0772;0.9;0.1565217391304348
3.0;2.0;5.0;2.0;2;2;right_weight > 4.00 AND left_distance <= 2.00 AND left_weight <= 3.00;3;0.961218836565097;0.044;0.9565217391304348;0.09565217391304348
2.0;3.0;5.0;1.0;1;1;right_distance <= 2.00 AND left_distance > 2.00;2;0.8573596358118362;0.2292;0.8547008547008547;0.42735042735042733
5.0;5.0;5.0;5.0;0;0;left_weight > 4.00 AND right_distance > 4.00 AND left_distance > 4.00 AND right_weight > 4.00;4;1.0;0.0024;1.0;0.05128205128205128
5.0;1.0;4.0;3.0;2;2;left_distance <= 2.00 AND right_weight > 2.00 AND right_distance > 2.00;3;0.990990990990991;0.1477;0.9868421052631579;0.32608695652173914
5.0;4.0;5.0;1.0;1;1;left_weight > 4.00 AND left_distance > 3.00 AND right_distance <= 2.00;3;1.0;0.0338;1.0;0.07264957264957266
3.0;5.0;3.0;5.0;0;0;2.00 < left_weight <= 3.00 AND 2.00 < right_weight <= 3.00 AND left_distance > 4.00 AND right_distance > 4.00;4;1.0;0.0015;1.0;0.05128205128205128
4.0;2.0;3.0;5.0;2;2;right_distance > 4.00 AND left_distance <= 2.00 AND right_weight > 2.00;3;1.0;0.0508;1.0;0.11304347826086956
1.0;1.0;2.0;3.0;2;2;left_weight <= 2.00 AND right_distance > 2.00 AND left_distance <= 2.00;3;0.9565217391304348;0.105;0.9607843137254902;0.21304347826086956
4.0;2.0;4.0;5.0;2;2;right_distance > 4.00 AND right_weight > 3.00 AND left_distance <= 2.00;3;1.0;0.0334;1.0;0.07391304347826087
4.0;3.0;2.0;1.0;1;1;right_weight <= 2.00 AND left_weight > 3.00 AND left_distance > 2.00;3;1.0;0.0842;1.0;0.19658119658119658
3.0;4.0;1.0;5.0;1;1;right_weight <= 2.00 AND left_distance > 3.00 AND left_weight > 2.00;3;1.0;0.0914;1.0;0.20512820512820512
2.0;5.0;2.0;5.0;0;0;right_weight <= 2.00 AND left_weight <= 2.00 AND left_distance > 4.00 AND right_distance > 4.00;4;0.48785425101214575;0.0067;0.75;0.07692307692307693
3.0;2.0;1.0;4.0;1;1;right_weight <= 2.00 AND left_weight > 2.00 AND right_distance <= 4.00;3;0.9093369418132612;0.2007;0.898989898989899;0.3803418803418803
5.0;1.0;3.0;2.0;2;2;left_distance <= 2.00 AND right_weight > 2.00;2;0.838495575221239;0.2418;0.8373983739837398;0.44782608695652176
1.0;3.0;4.0;5.0;2;2;right_distance > 4.00 AND right_weight > 3.00 AND left_weight <= 2.00;3;1.0;0.0349;1.0;0.0782608695652174
5.0;5.0;5.0;4.0;1;1;left_weight > 4.00 AND left_distance > 4.00;2;0.9646643109540636;0.0427;0.9523809523809523;0.08547008547008547
4.0;3.0;3.0;5.0;2;2;right_distance > 4.00 AND right_weight > 2.00 AND left_distance <= 3.00;3;0.9826302729528535;0.0799;0.975609756097561;0.17391304347826086
3.0;3.0;1.0;3.0;1;1;right_weight <= 2.00 AND left_weight > 2.00 AND left_distance > 2.00;3;0.9856850715746421;0.137;0.9859154929577465;0.29914529914529914
4.0;5.0;5.0;3.0;1;1;left_distance > 4.00 AND left_weight > 3.00 AND right_distance <= 3.00;3;1.0;0.0448;1.0;0.09829059829059829
2.0;5.0;5.0;5.0;2;2;right_distance > 4.00 AND right_weight > 4.00;2;0.9668874172185431;0.0354;0.9523809523809523;0.08695652173913043
3.0;2.0;1.0;3.0;1;1;right_weight <= 2.00 AND left_weight > 2.00 AND right_distance <= 3.00;3;0.9458333333333333;0.1357;0.9583333333333334;0.2948717948717949
2.0;1.0;5.0;5.0;2;2;right_distance > 4.00 AND right_weight > 4.00;2;0.9732142857142857;0.0398;0.9523809523809523;0.08695652173913043
1.0;5.0;5.0;5.0;2;2;right_weight > 4.00 AND right_distance > 4.00;2;0.950381679389313;0.0396;0.9523809523809523;0.08695652173913043
4.0;4.0;4.0;1.0;1;1;right_distance <= 2.00 AND left_distance > 3.00 AND left_weight > 2.00;3;1.0;0.1033;1.0;0.21794871794871795
5.0;1.0;2.0;1.0;1;1;left_weight > 4.00 AND right_weight <= 2.00 AND right_distance <= 2.00;3;1.0;0.0373;1.0;0.07692307692307693
2.0;3.0;3.0;1.0;1;1;right_distance <= 2.00 AND left_distance > 2.00 AND right_weight <= 3.00;3;0.9486486486486486;0.1239;0.9545454545454546;0.2692307692307692
4.0;4.0;3.0;3.0;1;1;left_distance > 3.00 AND left_weight > 3.00 AND right_distance <= 3.00;3;1.0;0.0939;1.0;0.21367521367521367
3.0;3.0;4.0;2.0;1;1;right_distance <= 2.00 AND left_distance > 2.00 AND left_weight > 2.00;3;0.9763440860215054;0.147;0.9866666666666667;0.3162393162393162
5.0;5.0;4.0;1.0;1;1;left_weight > 4.00 AND left_distance > 4.00;2;0.9516908212560387;0.0404;0.9523809523809523;0.08547008547008547
5.0;3.0;5.0;5.0;2;2;right_distance > 4.00 AND right_weight > 4.00;2;0.9774647887323944;0.0404;0.9523809523809523;0.08695652173913043
4.0;5.0;4.0;4.0;1;1;left_distance > 4.00 AND left_weight > 3.00 AND right_distance <= 4.00;3;0.9776536312849162;0.0657;0.96875;0.13247863247863248
2.0;1.0;4.0;2.0;2;2;left_weight <= 2.00 AND right_weight > 3.00 AND left_distance <= 2.00;3;0.9571428571428572;0.0683;0.9714285714285714;0.14782608695652175
1.0;1.0;4.0;5.0;2;2;left_weight <= 2.00 AND right_weight > 3.00 AND right_distance > 4.00;3;1.0;0.0308;1.0;0.0782608695652174
2.0;2.0;5.0;3.0;2;2;right_weight > 4.00 AND left_weight <= 2.00 AND left_distance <= 2.00;3;1.0;0.0294;1.0;0.06956521739130435
4.0;5.0;4.0;1.0;1;1;left_distance > 4.00 AND right_distance <= 2.00 AND left_weight > 3.00;3;1.0;0.0308;1.0;0.06837606837606838
5.0;2.0;1.0;5.0;1;1;left_weight > 4.00 AND right_weight <= 2.00;2;0.9125560538116592;0.0753;0.918918918918919;0.1452991452991453
1.0;2.0;1.0;1.0;1;1;right_weight <= 2.00 AND right_distance <= 2.00;2;0.8536953242835595;0.1566;0.8961038961038961;0.2948717948717949
4.0;2.0;2.0;5.0;2;2;right_distance > 4.00 AND left_distance <= 2.00 AND left_weight <= 4.00;3;0.9404761904761905;0.0645;0.9393939393939394;0.13478260869565217
4.0;5.0;2.0;2.0;1;1;left_distance > 4.00 AND left_weight > 3.00 AND right_distance <= 2.00;3;1.0;0.0295;1.0;0.06837606837606838
4.0;1.0;1.0;3.0;1;1;right_weight <= 2.00 AND left_weight > 3.00 AND right_distance <= 3.00;3;0.9707207207207207;0.098;0.98;0.2094017094017094
3.0;3.0;5.0;3.0;2;2;right_weight > 4.00 AND right_distance > 2.00 AND left_weight <= 3.00;3;0.9758454106280193;0.0733;0.9743589743589743;0.16521739130434782
2.0;5.0;5.0;1.0;1;1;left_distance > 4.00 AND right_distance <= 2.00;2;0.8901303538175046;0.0835;0.8780487804878049;0.15384615384615385
5.0;2.0;3.0;5.0;2;2;right_distance > 4.00 AND left_distance <= 2.00 AND right_weight > 2.00;3;1.0;0.0501;1.0;0.11304347826086956
2.0;2.0;1.0;5.0;2;2;right_distance > 4.00 AND left_weight <= 2.00 AND left_distance <= 2.00;3;1.0;0.0305;1.0;0.06956521739130435
2.0;1.0;1.0;2.0;0;0;left_weight <= 2.00 AND right_distance <= 2.00 AND left_distance <= 2.00 AND right_weight <= 2.00;4;0.32727272727272727;0.0228;0.46153846153846156;0.15384615384615385
5.0;5.0;3.0;2.0;1;1;left_distance > 4.00 AND left_weight > 4.00;2;0.9608695652173913;0.0402;0.9523809523809523;0.08547008547008547
1.0;5.0;3.0;4.0;2;2;left_weight <= 2.00 AND right_distance > 3.00 AND right_weight > 2.00;3;1.0;0.0986;1.0;0.2217391304347826
2.0;2.0;5.0;4.0;2;2;left_weight <= 2.00 AND right_weight > 4.00 AND left_distance <= 2.00;3;1.0;0.0308;1.0;0.06956521739130435
1.0;3.0;2.0;3.0;2;2;left_weight <= 2.00 AND right_distance > 2.00 AND left_distance <= 3.00;3;0.9375;0.1485;0.9078947368421053;0.3
3.0;4.0;5.0;5.0;2;2;right_distance > 4.00 AND right_weight > 4.00;2;0.9839228295819936;0.0361;0.9523809523809523;0.08695652173913043
2.0;4.0;5.0;3.0;2;2;left_weight <= 2.00 AND right_weight > 4.00 AND right_distance > 2.00;3;1.0;0.0484;1.0;0.11304347826086956
3.0;2.0;2.0;1.0;1;1;right_weight <= 2.00 AND right_distance <= 2.00 AND left_weight > 2.00;3;0.9922178988326849;0.0923;1.0;0.20512820512820512
1.0;1.0;4.0;3.0;2;2;left_distance <= 2.00 AND right_weight > 3.00 AND right_distance > 2.00;3;1.0;0.1043;1.0;0.2217391304347826
4.0;2.0;1.0;5.0;1;1;right_weight <= 2.00 AND left_weight > 3.00;2;0.8565153733528551;0.1555;0.8875;0.3034188034188034
3.0;1.0;2.0;1.0;1;1;right_weight <= 2.00 AND right_distance <= 2.00 AND left_weight > 2.00;3;0.9935897435897436;0.0985;1.0;0.20512820512820512
3.0;4.0;2.0;2.0;1;1;right_weight <= 2.00 AND left_distance > 3.00 AND left_weight > 2.00;3;1.0;0.0969;1.0;0.20512820512820512
5.0;4.0;5.0;3.0;1;1;left_weight > 4.00 AND left_distance > 3.00 AND right_distance <= 3.00;3;1.0;0.0469;1.0;0.10683760683760683
2.0;3.0;4.0;1.0;1;1;right_distance <= 2.00 AND left_distance > 2.00 AND right_weight <= 4.00;3;0.8774193548387097;0.1884;0.9032258064516129;0.358974358974359
3.0;4.0;5.0;2.0;1;1;right_distance <= 2.00 AND left_distance > 3.00 AND left_weight > 2.00;3;1.0;0.0981;1.0;0.21794871794871795
5.0;2.0;5.0;3.0;2;2;right_weight > 4.00 AND right_distance > 2.00 AND left_distance <= 2.00;3;1.0;0.0458;1.0;0.10434782608695652
5.0;3.0;1.0;2.0;1;1;left_weight > 4.00 AND right_weight <= 2.00 AND right_distance <= 2.00;3;1.0;0.0351;1.0;0.07692307692307693
