left_weight;left_distance;right_weight;right_distance;target;prediction;anchor_rule;anchor_rule_len;anchor_precision;anchor_coverage;anchor_precision_correct;anchor_coverage_correct
1.0;3.0;4.0;2.0;2;2;left_weight <= 2.00 AND right_weight > 3.00 AND left_distance <= 3.00;3;0.9410377358490566;0.0961;0.9411764705882353;0.20869565217391303
1.0;1.0;3.0;2.0;2;2;left_weight <= 2.00 AND right_weight > 2.00 AND left_distance <= 2.00;3;0.956;0.1015;0.9607843137254902;0.21304347826086956
3.0;4.0;2.0;3.0;1;1;right_weight <= 2.00 AND left_distance > 3.00 AND left_weight > 2.00;3;1.0;0.0954;1.0;0.20512820512820512
2.0;5.0;4.0;5.0;2;2;left_weight <= 2.00 AND right_weight > 3.00 AND right_distance > 4.00;3;1.0;0.0338;1.0;0.0782608695652174
5.0;2.0;5.0;4.0;2;2;right_weight > 4.00 AND right_distance > 3.00 AND left_distance <= 3.00;3;1.0;0.0436;1.0;0.10434782608695652
2.0;3.0;5.0;5.0;2;2;right_distance > 4.00 AND right_weight > 4.00;2;0.9766454352441614;0.0404;0.9523809523809523;0.08695652173913043
1.0;4.0;2.0;4.0;2;2;left_weight <= 2.00 AND right_distance > 3.00 AND left_distance <= 4.00;3;0.9376558603491272;0.1333;0.9384615384615385;0.26521739130434785
4.0;3.0;4.0;5.0;2;2;right_distance > 4.00 AND right_weight > 3.00 AND left_distance <= 3.00;3;1.0;0.0511;1.0;0.11739130434782609
3.0;5.0;3.0;4.0;1;1;left_distance > 4.00 AND left_weight > 2.00 AND right_weight <= 3.00;3;0.9713261648745519;0.0766;0.972972972972973;0.15384615384615385
1.0;4.0;1.0;5.0;2;2;right_distance > 4.00 AND left_weight <= 2.00 AND left_distance <= 4.00;3;0.9398373983739837;0.0654;0.9411764705882353;0.1391304347826087
1.0;1.0;5.0;4.0;2;2;left_distance <= 2.00 AND right_distance > 3.00 AND right_weight > 4.00;3;1.0;0.0258;1.0;0.06521739130434782
4.0;1.0;4.0;1.0;0;0;3.00 < left_weight <= 4.00 AND 3.00 < right_weight <= 4.00 AND right_distance <= 2.00 AND left_distance <= 2.00;4;0.505738880918221;0.0087;0.6;0.07692307692307693
3.0;3.0;2.0;1.0;1;1;right_weight <= 2.00 AND right_distance <= 2.00 AND left_weight > 2.00;3;1.0;0.0942;1.0;0.20512820512820512
2.0;2.0;4.0;1.0;0;0;3.00 < right_weight <= 4.00 AND right_distance <= 2.00 AND left_distance <= 2.00 AND left_weight <= 4.00;4;0.24248927038626608;0.0283;0.26666666666666666;0.10256410256410256
5.0;5.0;4.0;2.0;1;1;left_weight > 4.00 AND left_distance > 4.00 AND right_distance <= 2.00;3;1.0;0.0134;1.0;0.03418803418803419
3.0;4.0;3.0;2.0;1;1;right_distance <= 2.00 AND left_weight > 2.00 AND left_distance > 3.00;3;1.0;0.103;1.0;0.21794871794871795
2.0;4.0;3.0;4.0;2;2;left_weight <= 2.00 AND right_distance > 3.00 AND right_weight > 2.00;3;1.0;0.0982;1.0;0.2217391304347826
2.0;1.0;3.0;3.0;2;2;left_distance <= 2.00 AND right_weight > 2.00 AND right_distance > 2.00;3;0.9932705248990579;0.148;0.9868421052631579;0.32608695652173914
5.0;3.0;3.0;4.0;1;1;left_weight > 4.00 AND left_distance > 2.00 AND right_weight <= 3.00;3;0.9725158562367865;0.0632;0.9696969696969697;0.13675213675213677
5.0;2.0;5.0;1.0;1;1;left_weight > 4.00 AND right_distance <= 2.00;2;0.9038854805725971;0.0883;0.8837209302325582;0.1623931623931624
2.0;3.0;1.0;2.0;1;1;right_weight <= 2.00 AND right_distance <= 2.00 AND left_distance > 2.00;3;1.0;0.0938;1.0;0.19658119658119658
1.0;1.0;2.0;5.0;2;2;right_distance > 4.00 AND left_distance <= 2.00 AND left_weight <= 2.00;3;1.0;0.03;1.0;0.06956521739130435
4.0;2.0;2.0;3.0;1;1;right_weight <= 2.00 AND left_weight > 3.00 AND right_distance <= 3.00;3;0.9792746113989638;0.101;0.98;0.2094017094017094
2.0;5.0;3.0;4.0;2;2;left_weight <= 2.00 AND right_distance > 3.00 AND right_weight > 2.00;3;1.0;0.0967;1.0;0.2217391304347826
4.0;2.0;2.0;4.0;0;0;3.00 < left_weight <= 4.00 AND 3.00 < right_distance <= 4.00 AND left_distance <= 2.00 AND right_weight <= 2.00;4;0.5124871707150188;0.0073;0.6;0.07692307692307693
5.0;5.0;3.0;1.0;1;1;left_weight > 4.00 AND left_distance > 4.00;2;0.9603174603174603;0.0401;0.9523809523809523;0.08547008547008547
3.0;1.0;4.0;4.0;2;2;left_distance <= 2.00 AND right_distance > 3.00 AND right_weight > 3.00;3;1.0;0.0677;1.0;0.14782608695652175
1.0;4.0;2.0;5.0;2;2;left_weight <= 2.00 AND right_distance > 3.00 AND left_distance <= 4.00;3;0.9308510638297872;0.1276;0.9384615384615385;0.26521739130434785
3.0;2.0;4.0;2.0;2;2;left_distance <= 2.00 AND right_weight > 3.00 AND left_weight <= 3.00;3;0.9463806970509383;0.0956;0.94;0.20434782608695654
3.0;3.0;3.0;3.0;0;0;2.00 < left_weight <= 3.00 AND 2.00 < right_distance <= 3.00 AND 2.00 < left_distance <= 3.00 AND 2.00 < right_weight <= 3.00;4;1.0;0.0014;1.0;0.05128205128205128
3.0;3.0;5.0;1.0;1;1;right_distance <= 2.00 AND left_weight > 2.00 AND left_distance > 2.00;3;0.9733333333333334;0.1521;0.9866666666666667;0.3162393162393162
4.0;2.0;1.0;4.0;1;1;right_weight <= 2.00 AND left_weight > 3.00 AND right_distance <= 4.00;3;0.9203980099502488;0.136;0.9253731343283582;0.26495726495726496
5.0;5.0;2.0;2.0;1;1;right_weight <= 2.00 AND left_weight > 4.00 AND left_distance > 4.00;3;1.0;0.0157;1.0;0.038461538461538464
2.0;5.0;5.0;3.0;2;2;left_weight <= 2.00 AND right_weight > 4.00 AND right_distance > 2.00;3;1.0;0.0467;1.0;0.11304347826086956
5.0;1.0;2.0;2.0;1;1;left_weight > 4.00 AND right_weight <= 2.00 AND right_distance <= 2.00;3;1.0;0.0349;1.0;0.07692307692307693
3.0;2.0;5.0;5.0;2;2;right_distance > 4.00 AND right_weight > 4.00;2;0.9826989619377162;0.0388;0.9523809523809523;0.08695652173913043
2.0;2.0;1.0;4.0;0;0;left_weight <= 2.00 AND right_weight <= 2.00 AND left_distance <= 2.00 AND right_distance <= 4.00;4;0.22176591375770022;0.0471;0.2692307692307692;0.1794871794871795
1.0;4.0;1.0;1.0;1;1;right_distance <= 2.00 AND right_weight <= 2.00 AND left_distance > 2.00;3;1.0;0.0905;1.0;0.19658119658119658
1.0;4.0;4.0;3.0;2;2;left_weight <= 2.00 AND right_weight > 3.00 AND right_distance > 2.00;3;1.0;0.1075;1.0;0.23043478260869565
3.0;3.0;5.0;2.0;2;2;right_weight > 4.00 AND left_weight <= 3.00 AND left_distance <= 3.00;3;0.9175257731958762;0.0663;0.9142857142857143;0.1391304347826087
1.0;3.0;4.0;4.0;2;2;left_weight <= 2.00 AND right_distance > 3.00 AND right_weight > 2.00;3;1.0;0.1;1.0;0.2217391304347826
1.0;1.0;4.0;1.0;2;2;left_weight <= 2.00 AND right_weight > 3.00 AND left_distance <= 2.00;3;0.9561128526645768;0.0655;0.9714285714285714;0.14782608695652175
4.0;1.0;2.0;1.0;1;1;right_distance <= 2.00 AND right_weight <= 2.00 AND left_weight > 2.00;3;1.0;0.0958;1.0;0.20512820512820512
2.0;4.0;1.0;5.0;1;1;right_weight <= 2.00 AND left_distance > 3.00;2;0.8955479452054794;0.143;0.9066666666666666;0.2905982905982906
1.0;4.0;3.0;4.0;2;2;left_weight <= 2.00 AND right_distance > 3.00 AND right_weight > 2.00;3;1.0;0.1028;1.0;0.2217391304347826
5.0;1.0;5.0;3.0;2;2;right_weight > 4.00 AND right_distance > 2.00 AND left_distance <= 2.00;3;1.0;0.0443;1.0;0.10434782608695652
1.0;5.0;4.0;3.0;2;2;left_weight <= 2.00 AND right_weight > 3.00 AND right_distance > 2.00;3;1.0;0.0994;1.0;0.23043478260869565
4.0;2.0;4.0;2.0;0;0;3.00 < right_weight <= 4.00 AND 3.00 < left_weight <= 4.00 AND right_distance <= 2.00 AND left_distance <= 2.00;4;0.5168024439918534;0.0074;0.6;0.07692307692307693
4.0;3.0;4.0;2.0;1;1;right_distance <= 2.00 AND left_distance > 2.00 AND left_weight > 3.00;3;1.0;0.1004;1.0;0.2222222222222222
1.0;2.0;2.0;4.0;2;2;left_weight <= 2.00 AND right_distance > 3.00 AND left_distance <= 2.00;3;0.9563636363636364;0.0672;0.9696969696969697;0.1391304347826087
1.0;1.0;1.0;1.0;0;0;left_weight <= 2.00 AND right_distance <= 2.00 AND left_distance <= 2.00 AND right_weight <= 2.00;4;0.38382899628252787;0.0236;0.46153846153846156;0.15384615384615385
5.0;5.0;4.0;3.0;1;1;left_weight > 4.00 AND left_distance > 4.00 AND right_distance <= 3.00;3;1.0;0.0223;1.0;0.05128205128205128
3.0;4.0;2.0;4.0;1;1;right_weight <= 2.00 AND left_distance > 3.00 AND left_weight > 2.00;3;1.0;0.0971;1.0;0.20512820512820512
3.0;5.0;5.0;5.0;2;2;right_distance > 4.00 AND right_weight > 4.00;2;0.9711340206185567;0.0389;0.9523809523809523;0.08695652173913043
3.0;5.0;3.0;1.0;1;1;right_distance <= 2.00 AND left_distance > 4.00 AND left_weight > 2.00;3;1.0;0.0483;1.0;0.10683760683760683
4.0;4.0;1.0;3.0;1;1;right_weight <= 2.00 AND left_distance > 3.00 AND left_weight > 2.00;3;1.0;0.0901;1.0;0.20512820512820512
5.0;4.0;2.0;3.0;1;1;left_weight > 4.00 AND right_weight <= 2.00 AND left_distance > 3.00;3;1.0;0.0241;1.0;0.05982905982905983
1.0;1.0;5.0;3.0;2;2;left_weight <= 2.00 AND right_weight > 4.00 AND left_distance <= 2.00;3;1.0;0.0286;1.0;0.06956521739130435
4.0;5.0;1.0;5.0;1;1;right_weight <= 2.00 AND left_weight > 3.00 AND left_distance > 2.00;3;1.0;0.0881;1.0;0.19658119658119658
1.0;5.0;4.0;2.0;2;2;left_weight <= 2.00 AND right_weight > 3.00;2;0.8769230769230769;0.1683;0.8837209302325582;0.33043478260869563
1.0;4.0;3.0;5.0;2;2;right_distance > 4.00 AND left_weight <= 2.00 AND right_weight > 2.00;3;1.0;0.0478;1.0;0.11739130434782609
2.0;3.0;2.0;3.0;0;0;2.00 < left_distance <= 3.00 AND 2.00 < right_distance <= 3.00 AND right_weight <= 2.00 AND left_weight <= 2.00;4;0.521860465116279;0.0062;0.6;0.07692307692307693
2.0;5.0;5.0;4.0;2;2;left_weight <= 2.00 AND right_weight > 4.00 AND right_distance > 2.00;3;1.0;0.0489;1.0;0.11304347826086956
4.0;5.0;5.0;5.0;2;2;right_weight > 4.00 AND right_distance > 4.00;2;0.9714285714285714;0.0399;0.9523809523809523;0.08695652173913043
1.0;1.0;4.0;4.0;2;2;left_weight <= 2.00 AND right_weight > 3.00 AND right_distance > 2.00;3;1.0;0.1004;1.0;0.23043478260869565
3.0;4.0;4.0;2.0;1;1;right_distance <= 2.00 AND left_distance > 3.00 AND left_weight > 2.00;3;1.0;0.1025;1.0;0.21794871794871795
4.0;1.0;3.0;4.0;2;2;left_distance <= 2.00 AND right_distance > 3.00 AND right_weight > 2.00;3;1.0;0.1054;1.0;0.2217391304347826
2.0;1.0;4.0;5.0;2;2;left_weight <= 2.00 AND right_weight > 3.00 AND right_distance > 4.00;3;1.0;0.0343;1.0;0.0782608695652174
4.0;3.0;5.0;4.0;2;2;right_weight > 4.00 AND right_distance > 3.00 AND left_distance <= 3.00;3;1.0;0.044;1.0;0.10434782608695652
3.0;2.0;5.0;4.0;2;2;right_weight > 4.00 AND right_distance > 3.00 AND left_weight <= 3.00;3;1.0;0.0472;1.0;0.11304347826086956
5.0;4.0;4.0;1.0;1;1;left_weight > 4.00 AND left_distance > 3.00 AND right_distance <= 2.00;3;1.0;0.0327;1.0;0.07264957264957266
5.0;2.0;2.0;4.0;1;1;left_weight > 4.00 AND right_weight <= 2.00 AND right_distance <= 4.00;3;0.9571865443425076;0.0633;0.9393939393939394;0.13247863247863248
3.0;2.0;1.0;1.0;1;1;right_distance <= 2.00 AND right_weight <= 2.00 AND left_weight > 2.00;3;1.0;0.098;1.0;0.20512820512820512
3.0;1.0;3.0;5.0;2;2;right_distance > 4.00 AND left_distance <= 2.00 AND right_weight > 2.00;3;1.0;0.0483;1.0;0.11304347826086956
3.0;5.0;4.0;3.0;1;1;left_distance > 4.00 AND left_weight > 2.00 AND right_distance <= 3.00;3;0.9776674937965261;0.0696;0.9722222222222222;0.14957264957264957
4.0;3.0;3.0;2.0;1;1;right_distance <= 2.00 AND left_weight > 3.00 AND left_distance > 2.00;3;1.0;0.1013;1.0;0.2222222222222222
2.0;2.0;4.0;3.0;2;2;left_weight <= 2.00 AND right_weight > 3.00 AND right_distance > 2.00;3;1.0;0.1088;1.0;0.23043478260869565
1.0;3.0;1.0;5.0;2;2;right_distance > 4.00 AND left_weight <= 2.00 AND left_distance <= 3.00;3;0.96;0.0493;0.96;0.10434782608695652
3.0;2.0;3.0;5.0;2;2;right_distance > 4.00 AND left_distance <= 2.00 AND right_weight > 2.00;3;1.0;0.0499;1.0;0.11304347826086956
1.0;2.0;5.0;2.0;2;2;left_weight <= 2.00 AND right_weight > 4.00 AND left_distance <= 2.00;3;1.0;0.0299;1.0;0.06956521739130435
1.0;4.0;4.0;4.0;2;2;left_weight <= 2.00 AND right_weight > 3.00 AND right_distance > 2.00;3;1.0;0.1061;1.0;0.23043478260869565
3.0;2.0;3.0;3.0;2;2;left_distance <= 2.00 AND right_distance > 2.00 AND right_weight > 2.00;3;0.9923076923076923;0.1555;0.9868421052631579;0.32608695652173914
4.0;2.0;5.0;1.0;1;1;right_distance <= 2.00 AND 2.00 < left_weight <= 4.00;2;0.8599397590361446;0.1568;0.8734177215189873;0.2948717948717949
1.0;5.0;2.0;4.0;2;2;right_distance > 3.00 AND left_weight <= 2.00;2;0.8935837245696401;0.16;0.8902439024390244;0.3173913043478261
3.0;2.0;5.0;2.0;2;2;right_weight > 4.00 AND left_weight <= 3.00 AND left_distance <= 2.00;3;0.9583333333333334;0.041;0.9565217391304348;0.09565217391304348
2.0;3.0;5.0;1.0;1;1;right_distance <= 2.00 AND left_distance > 2.00;2;0.8561046511627907;0.2304;0.8547008547008547;0.42735042735042733
5.0;5.0;5.0;5.0;0;0;right_weight > 4.00 AND left_weight > 4.00 AND left_distance > 4.00 AND right_distance > 4.00;4;1.0;0.002;1.0;0.05128205128205128
5.0;1.0;4.0;3.0;2;2;left_distance <= 2.00 AND right_weight > 3.00 AND right_distance > 2.00;3;1.0;0.0923;1.0;0.2217391304347826
5.0;4.0;5.0;1.0;1;1;left_weight > 4.00 AND left_distance > 3.00 AND right_distance <= 2.00;3;1.0;0.0315;1.0;0.07264957264957266
3.0;5.0;3.0;5.0;0;0;left_distance > 4.00 AND right_distance > 4.00 AND 2.00 < left_weight <= 3.00 AND 2.00 < right_weight <= 4.00;4;1.0;0.0021;1.0;0.05128205128205128
4.0;2.0;3.0;5.0;2;2;right_distance > 4.00 AND left_distance <= 2.00 AND right_weight > 2.00;3;1.0;0.0493;1.0;0.11304347826086956
1.0;1.0;2.0;3.0;2;2;left_weight <= 2.00 AND right_distance > 2.00 AND left_distance <= 2.00;3;0.966824644549763;0.103;0.9607843137254902;0.21304347826086956
4.0;2.0;4.0;5.0;2;2;right_distance > 4.00 AND right_weight > 3.00 AND left_distance <= 2.00;3;1.0;0.0313;1.0;0.07391304347826087
4.0;3.0;2.0;1.0;1;1;right_distance <= 2.00 AND right_weight <= 2.00 AND left_weight > 2.00;3;1.0;0.0972;1.0;0.20512820512820512
3.0;4.0;1.0;5.0;1;1;right_weight <= 2.00 AND left_distance > 3.00 AND left_weight > 2.00;3;1.0;0.0915;1.0;0.20512820512820512
2.0;5.0;2.0;5.0;0;0;left_distance > 4.00 AND right_distance > 4.00 AND left_weight <= 2.00 AND right_weight <= 2.00;4;0.5437665782493368;0.0057;0.75;0.07692307692307693
3.0;2.0;1.0;4.0;1;1;right_weight <= 2.00 AND left_weight > 2.00 AND right_distance <= 4.00;3;0.9088397790055248;0.1958;0.898989898989899;0.3803418803418803
5.0;1.0;3.0;2.0;2;2;left_distance <= 2.00 AND right_weight > 2.00;2;0.8364312267657993;0.2367;0.8373983739837398;0.44782608695652176
1.0;3.0;4.0;5.0;2;2;right_distance > 4.00 AND right_weight > 3.00 AND left_weight <= 2.00;3;1.0;0.036;1.0;0.0782608695652174
5.0;5.0;5.0;4.0;1;1;left_weight > 4.00 AND left_distance > 4.00;2;0.9703703703703703;0.0383;0.9523809523809523;0.08547008547008547
4.0;3.0;3.0;5.0;2;2;right_distance > 4.00 AND right_weight > 2.00 AND left_distance <= 3.00;3;0.9700214132762313;0.0791;0.975609756097561;0.17391304347826086
3.0;3.0;1.0;3.0;1;1;right_weight <= 2.00 AND left_weight > 2.00 AND left_distance > 2.00;3;0.9939393939393939;0.1369;0.9859154929577465;0.29914529914529914
4.0;5.0;5.0;3.0;1;1;left_distance > 4.00 AND left_weight > 3.00 AND right_distance <= 3.00;3;1.0;0.0459;1.0;0.09829059829059829
2.0;5.0;5.0;5.0;2;2;right_weight > 4.00 AND right_distance > 4.00;2;0.9644670050761421;0.0404;0.9523809523809523;0.08695652173913043
3.0;2.0;1.0;3.0;1;1;right_weight <= 2.00 AND left_weight > 2.00 AND right_distance <= 3.00;3;0.9431578947368421;0.1419;0.9583333333333334;0.2948717948717949
2.0;1.0;5.0;5.0;2;2;right_distance > 4.00 AND right_weight > 4.00;2;0.9790575916230366;0.0376;0.9523809523809523;0.08695652173913043
1.0;5.0;5.0;5.0;2;2;left_weight <= 2.00 AND right_weight > 4.00 AND right_distance > 2.00;3;1.0;0.0468;1.0;0.11304347826086956
4.0;4.0;4.0;1.0;1;1;right_distance <= 2.00 AND left_distance > 3.00 AND left_weight > 2.00;3;1.0;0.1016;1.0;0.21794871794871795
5.0;1.0;2.0;1.0;1;1;right_weight <= 2.00 AND left_weight > 4.00 AND right_distance <= 2.00;3;1.0;0.0371;1.0;0.07692307692307693
2.0;3.0;3.0;1.0;1;1;right_distance <= 2.00 AND left_distance > 2.00 AND right_weight <= 3.00;3;0.9394736842105263;0.1285;0.9545454545454546;0.2692307692307692
4.0;4.0;3.0;3.0;1;1;left_weight > 3.00 AND left_distance > 3.00 AND right_distance <= 3.00;3;1.0;0.0947;1.0;0.21367521367521367
3.0;3.0;4.0;2.0;1;1;right_distance <= 2.00 AND left_distance > 2.00 AND left_weight > 2.00;3;0.9938775510204082;0.1472;0.9866666666666667;0.3162393162393162
5.0;5.0;4.0;1.0;1;1;right_distance <= 2.00 AND left_distance > 4.00 AND left_weight > 4.00;3;1.0;0.0133;1.0;0.03418803418803419
5.0;3.0;5.0;5.0;2;2;right_distance > 4.00 AND right_weight > 4.00;2;0.9738095238095238;0.0402;0.9523809523809523;0.08695652173913043
4.0;5.0;4.0;4.0;1;1;left_distance > 4.00 AND left_weight > 3.00 AND right_distance <= 4.00;3;0.9699570815450643;0.0577;0.96875;0.13247863247863248
2.0;1.0;4.0;2.0;2;2;left_weight <= 2.00 AND right_weight > 3.00 AND left_distance <= 2.00;3;0.9661016949152542;0.07;0.9714285714285714;0.14782608695652175
1.0;1.0;4.0;5.0;2;2;left_weight <= 2.00 AND right_distance > 3.00 AND right_weight > 2.00;3;1.0;0.0971;1.0;0.2217391304347826
2.0;2.0;5.0;3.0;2;2;left_weight <= 2.00 AND right_weight > 4.00 AND left_distance <= 2.00;3;1.0;0.0281;1.0;0.06956521739130435
4.0;5.0;4.0;1.0;1;1;right_distance <= 2.00 AND left_distance > 4.00 AND left_weight > 3.00;3;1.0;0.0301;1.0;0.06837606837606838
5.0;2.0;1.0;5.0;1;1;left_weight > 4.00 AND right_weight <= 2.00;2;0.9295454545454546;0.066;0.918918918918919;0.1452991452991453
1.0;2.0;1.0;1.0;1;1;right_weight <= 2.00 AND right_distance <= 2.00;2;0.8987566607460036;0.1531;0.8961038961038961;0.2948717948717949
4.0;2.0;2.0;5.0;2;2;right_distance > 4.00 AND left_distance <= 2.00 AND left_weight <= 4.00;3;0.9496402877697842;0.0651;0.9393939393939394;0.13478260869565217
4.0;5.0;2.0;2.0;1;1;right_distance <= 2.00 AND right_weight <= 2.00 AND left_weight > 2.00;3;1.0;0.0881;1.0;0.20512820512820512
4.0;1.0;1.0;3.0;1;1;right_weight <= 2.00 AND left_weight > 3.00 AND right_distance <= 3.00;3;0.9906103286384976;0.0963;0.98;0.2094017094017094
3.0;3.0;5.0;3.0;2;2;right_weight > 4.00 AND right_distance > 2.00 AND left_weight <= 3.00;3;0.9853862212943633;0.0761;0.9743589743589743;0.16521739130434782
2.0;5.0;5.0;1.0;1;1;left_distance > 4.00 AND right_distance <= 2.00;2;0.9098591549295775;0.0787;0.8780487804878049;0.15384615384615385
5.0;2.0;3.0;5.0;2;2;right_distance > 4.00 AND left_distance <= 2.00 AND right_weight > 2.00;3;1.0;0.0519;1.0;0.11304347826086956
2.0;2.0;1.0;5.0;2;2;left_weight <= 2.00 AND right_distance > 3.00 AND left_distance <= 2.00;3;0.9913793103448276;0.0683;0.9696969696969697;0.1391304347826087
2.0;1.0;1.0;2.0;0;0;left_distance <= 2.00 AND right_distance <= 2.00 AND left_weight <= 2.00 AND right_weight <= 2.00;4;0.3562913907284768;0.0212;0.46153846153846156;0.15384615384615385
5.0;5.0;3.0;2.0;1;1;left_weight > 4.00 AND left_distance > 4.00;2;0.9690402476780186;0.0407;0.9523809523809523;0.08547008547008547
1.0;5.0;3.0;4.0;2;2;left_weight <= 2.00 AND right_distance > 3.00 AND right_weight > 2.00;3;1.0;0.097;1.0;0.2217391304347826
2.0;2.0;5.0;4.0;2;2;left_weight <= 2.00 AND right_weight > 4.00 AND left_distance <= 2.00;3;1.0;0.0324;1.0;0.06956521739130435
1.0;3.0;2.0;3.0;2;2;left_weight <= 2.00 AND right_distance > 2.00 AND left_distance <= 3.00;3;0.9277777777777778;0.1553;0.9078947368421053;0.3
3.0;4.0;5.0;5.0;2;2;right_distance > 4.00 AND right_weight > 4.00;2;0.967391304347826;0.0389;0.9523809523809523;0.08695652173913043
2.0;4.0;5.0;3.0;2;2;right_weight > 4.00 AND left_weight <= 2.00 AND right_distance > 2.00;3;1.0;0.0536;1.0;0.11304347826086956
3.0;2.0;2.0;1.0;1;1;right_weight <= 2.00 AND right_distance <= 2.00 AND left_weight > 2.00;3;1.0;0.0939;1.0;0.20512820512820512
1.0;1.0;4.0;3.0;2;2;left_weight <= 2.00 AND right_weight > 3.00 AND right_distance > 2.00;3;1.0;0.1082;1.0;0.23043478260869565
4.0;2.0;1.0;5.0;1;1;right_weight <= 2.00 AND left_weight > 3.00;2;0.906930693069307;0.1586;0.8875;0.3034188034188034
3.0;1.0;2.0;1.0;1;1;right_weight <= 2.00 AND right_distance <= 2.00 AND left_weight > 2.00;3;1.0;0.0926;1.0;0.20512820512820512
3.0;4.0;2.0;2.0;1;1;right_weight <= 2.00 AND left_distance > 3.00 AND left_weight > 2.00;3;1.0;0.0961;1.0;0.20512820512820512
5.0;4.0;5.0;3.0;1;1;left_weight > 4.00 AND left_distance > 3.00 AND right_distance <= 3.00;3;1.0;0.0491;1.0;0.10683760683760683
2.0;3.0;4.0;1.0;1;1;right_distance <= 2.00 AND left_distance > 2.00 AND right_weight <= 4.00;3;0.9016697588126159;0.185;0.9032258064516129;0.358974358974359
3.0;4.0;5.0;2.0;1;1;right_distance <= 2.00 AND left_weight > 2.00 AND left_distance > 3.00;3;1.0;0.1021;1.0;0.21794871794871795
5.0;2.0;5.0;3.0;2;2;right_weight > 4.00 AND right_distance > 2.00 AND left_distance <= 2.00;3;1.0;0.0487;1.0;0.10434782608695652
5.0;3.0;1.0;2.0;1;1;left_weight > 4.00 AND right_weight <= 2.00 AND right_distance <= 2.00;3;1.0;0.0315;1.0;0.07692307692307693
1.0;4.0;4.0;5.0;2;2;left_weight <= 2.00 AND right_distance > 3.00 AND right_weight > 2.00;3;1.0;0.102;1.0;0.2217391304347826
