compactness;circularity;distance_circularity;radius_ratio;pr_axis_aspect_ratio;max_length_aspect_ratio;scatter_ratio;elongatedness;pr_axis_rectangularity;max_length_rectangularity;scaled_variance_major;scaled_variance_minor;scaled_radius_of_gyration;skewness_about_major;skewness_about_minor;kurtosis_about_major;kurtosis_about_minor;hollows_ratio;target;prediction;anchor_rule;anchor_rule_len;anchor_precision;anchor_coverage;anchor_precision_correct;anchor_coverage_correct
107.0;57.0;102.0;184.0;55.0;7.0;234.0;28.0;26.0;171.0;243.0;822.0;229.0;77.0;7.0;11.0;187.0;187.0;0;0;elongatedness <= 33.00 AND max_length_aspect_ratio <= 7.00;2;0.9662162162162162;0.0435;1.0;0.17159763313609466
86.0;46.0;70.0;149.0;65.0;8.0;149.0;45.0;19.0;146.0;170.0;331.0;185.0;77.0;6.0;6.0;183.0;188.0;0;0;radius_ratio <= 168.00 AND pr_axis_aspect_ratio > 61.00 AND scaled_radius_of_gyration > 174.00 AND elongatedness <= 46.00 AND scatter_ratio > 147.00 AND max_length_aspect_ratio <= 8.00 AND circularity > 44.00;7;0.9635627530364372;0.0122;1.0;0.05325443786982249
98.0;39.0;68.0;121.0;49.0;7.0;134.0;51.0;18.0;142.0;164.0;261.0;134.0;75.0;4.0;1.0;186.0;186.0;3;3;scaled_variance_minor <= 319.00 AND scaled_variance_major <= 178.00 AND max_length_rectangularity > 136.00 AND radius_ratio <= 141.00 AND scaled_radius_of_gyration <= 148.75 AND pr_axis_rectangularity <= 23.00 AND compactness > 93.00;7;0.9716981132075472;0.0038;1.0;0.024844720496894408
98.0;51.0;84.0;207.0;72.0;7.0;184.0;35.0;21.0;161.0;199.0;520.0;198.0;72.0;9.0;11.0;196.0;199.0;0;0;kurtosis_about_minor > 193.25 AND skewness_about_major > 71.00;2;0.9742268041237113;0.0204;1.0;0.09467455621301775
95.0;53.0;95.0;202.0;65.0;10.0;193.0;34.0;22.0;160.0;220.0;559.0;237.0;71.0;3.0;2.0;188.0;196.0;2;1;radius_ratio > 196.00 AND pr_axis_aspect_ratio <= 65.00 AND hollows_ratio <= 197.00 AND circularity > 49.00 AND elongatedness > 33.00 AND skewness_about_major <= 71.00;6;0.9657534246575342;0.0009;1.0;0.011235955056179775
85.0;40.0;75.0;137.0;56.0;7.0;152.0;44.0;19.0;134.0;173.0;339.0;160.0;76.0;7.0;16.0;182.0;187.0;2;1;kurtosis_about_minor <= 184.00 AND distance_circularity > 70.00 AND circularity <= 40.00 AND scaled_variance_minor > 319.00 AND max_length_rectangularity <= 136.00 AND skewness_about_minor <= 9.00;6;0.9587301587301588;0.0044;0.5;0.011235955056179775
94.0;36.0;66.0;151.0;61.0;8.0;133.0;50.0;18.0;135.0;154.0;265.0;119.0;62.0;9.0;3.0;201.0;208.0;3;3;scaled_variance_minor <= 319.00 AND scaled_variance_major <= 178.00 AND max_length_aspect_ratio > 7.00 AND kurtosis_about_major <= 11.00 AND radius_ratio <= 168.00 AND compactness > 93.00;6;0.9929078014184397;0.0097;1.0;0.049689440993788817
103.0;56.0;105.0;183.0;59.0;10.0;210.0;32.0;24.0;173.0;217.0;648.0;218.0;72.0;13.0;22.0;188.0;196.0;1;1;radius_ratio > 168.00 AND pr_axis_aspect_ratio <= 61.00 AND scaled_variance_minor > 584.50 AND scaled_variance_major <= 217.00 AND kurtosis_about_minor <= 189.00;5;0.99375;0.004;1.0;0.016853932584269662
86.0;44.0;65.0;129.0;56.0;6.0;152.0;45.0;19.0;150.0;168.0;331.0;177.0;83.0;4.0;13.0;178.0;183.0;0;0;radius_ratio <= 141.00 AND 174.00 < scaled_radius_of_gyration <= 198.00 AND 167.00 < scaled_variance_major <= 178.00 AND max_length_aspect_ratio <= 7.00 AND 43.00 < elongatedness <= 46.00 AND 2.00 < skewness_about_minor <= 6.00 AND 146.00 < max_length_rectangularity <= 160.00 AND 147.00 < scatter_ratio <= 157.00 AND 319.00 < scaled_variance_minor <= 584.50 AND distance_circularity <= 70.00 AND circularity <= 44.00 AND pr_axis_rectangularity <= 19.00 AND 11.00 < kurtosis_about_major <= 19.00 AND compactness <= 87.00 AND pr_axis_aspect_ratio <= 65.00 AND hollows_ratio <= 191.00;16;0.935;0.0019;1.0;0.011834319526627219
96.0;44.0;85.0;166.0;66.0;10.0;155.0;43.0;19.0;150.0;167.0;355.0;159.0;67.0;3.0;10.0;192.0;202.0;3;3;max_length_rectangularity > 146.00 AND scaled_variance_major <= 167.00 AND hollows_ratio > 201.00;3;0.9779874213836478;0.0154;1.0;0.062111801242236024
80.0;36.0;69.0;127.0;56.0;7.0;128.0;53.0;18.0;124.0;147.0;240.0;133.0;70.0;2.0;21.0;183.0;191.0;1;1;pr_axis_aspect_ratio <= 57.00 AND kurtosis_about_major > 19.00 AND max_length_rectangularity <= 136.00 AND 67.00 < skewness_about_major <= 71.00 AND compactness <= 87.00;5;0.881578947368421;0.0045;1.0;0.02247191011235955
107.0;53.0;108.0;211.0;63.0;11.0;219.0;31.0;25.0;168.0;228.0;704.0;198.0;69.0;10.0;21.0;190.0;203.0;2;2;scatter_ratio > 197.25 AND skewness_about_major <= 71.00 AND radius_ratio > 196.00 AND hollows_ratio > 201.00 AND scaled_radius_of_gyration <= 198.00 AND pr_axis_aspect_ratio <= 65.00;6;0.9508196721311475;0.0134;0.5454545454545454;0.03488372093023256
108.0;53.0;104.0;181.0;56.0;11.0;220.0;31.0;25.0;167.0;226.0;712.0;214.0;72.0;15.0;18.0;189.0;199.0;2;2;scaled_radius_of_gyration > 198.00 AND skewness_about_minor > 9.00 AND radius_ratio > 168.00 AND pr_axis_aspect_ratio <= 57.00 AND hollows_ratio > 197.00 AND 6.00 < kurtosis_about_major <= 19.00 AND kurtosis_about_minor <= 189.00 AND 71.00 < skewness_about_major <= 75.00;8;0.9341317365269461;0.0015;1.0;0.011627906976744186
90.0;46.0;75.0;133.0;55.0;11.0;160.0;43.0;20.0;161.0;173.0;369.0;171.0;77.0;0.0;16.0;182.0;192.0;3;3;max_length_rectangularity > 160.00 AND radius_ratio <= 141.00;2;0.9716024340770791;0.0124;1.0;0.062111801242236024
81.0;46.0;71.0;141.0;61.0;7.0;153.0;44.0;19.0;148.0;177.0;347.0;190.0;80.0;1.0;14.0;182.0;187.0;0;0;radius_ratio <= 141.00 AND scaled_variance_major > 167.00 AND hollows_ratio <= 191.00 AND pr_axis_aspect_ratio > 57.00;4;0.9609467455621302;0.0218;0.7857142857142857;0.0650887573964497
86.0;42.0;64.0;122.0;54.0;6.0;148.0;46.0;19.0;143.0;170.0;319.0;171.0;87.0;1.0;3.0;179.0;182.0;0;0;radius_ratio <= 141.00 AND 147.00 < scatter_ratio <= 157.00 AND max_length_aspect_ratio <= 8.00 AND 167.00 < scaled_variance_major <= 178.00 AND 43.00 < elongatedness <= 46.00 AND skewness_about_minor <= 6.00 AND distance_circularity <= 70.00 AND hollows_ratio <= 191.00 AND 136.00 < max_length_rectangularity <= 146.00 AND 148.75 < scaled_radius_of_gyration <= 198.00 AND 40.00 < circularity <= 44.00 AND pr_axis_rectangularity <= 23.00 AND kurtosis_about_major <= 6.00;13;0.9261083743842364;0.0039;1.0;0.023668639053254437
80.0;43.0;71.0;133.0;60.0;7.0;150.0;45.0;19.0;146.0;170.0;330.0;176.0;81.0;6.0;15.0;180.0;184.0;0;0;radius_ratio <= 141.00 AND scatter_ratio > 147.00 AND max_length_aspect_ratio <= 7.00;3;0.9528023598820059;0.0527;0.8421052631578947;0.1893491124260355
103.0;50.0;98.0;212.0;63.0;9.0;193.0;34.0;22.0;161.0;214.0;567.0;185.0;64.0;5.0;5.0;198.0;204.0;1;1;radius_ratio > 196.00 AND pr_axis_aspect_ratio <= 65.00 AND max_length_aspect_ratio <= 10.00 AND circularity > 49.00 AND elongatedness > 33.00 AND scaled_radius_of_gyration <= 198.00 AND skewness_about_major <= 75.00 AND distance_circularity <= 98.00 AND kurtosis_about_minor > 184.00;9;0.9488636363636364;0.005;0.75;0.016853932584269662
82.0;44.0;72.0;136.0;61.0;7.0;147.0;46.0;19.0;143.0;173.0;317.0;183.0;81.0;6.0;17.0;181.0;185.0;0;0;radius_ratio <= 141.00 AND scaled_radius_of_gyration > 174.00 AND scaled_variance_major > 167.00 AND max_length_aspect_ratio <= 7.00 AND pr_axis_aspect_ratio > 57.00;5;1.0;0.0091;1.0;0.04142011834319527
88.0;40.0;79.0;183.0;62.0;7.0;176.0;38.0;21.0;138.0;200.0;462.0;150.0;66.0;0.0;29.0;189.0;199.0;1;1;radius_ratio > 168.00 AND circularity <= 40.00 AND kurtosis_about_minor <= 189.00 AND distance_circularity <= 80.00 AND scaled_variance_minor > 365.00 AND compactness <= 93.00 AND pr_axis_aspect_ratio <= 65.00 AND max_length_aspect_ratio <= 7.00 AND scaled_radius_of_gyration <= 174.00 AND hollows_ratio <= 201.00;10;0.954983922829582;0.001;1.0;0.011235955056179775
90.0;36.0;85.0;184.0;64.0;6.0;160.0;41.0;20.0;125.0;187.0;385.0;139.0;66.0;9.0;31.0;195.0;203.0;2;2;circularity <= 40.00 AND scaled_variance_major > 178.00 AND skewness_about_major <= 67.00 AND distance_circularity > 80.00;4;0.9564270152505446;0.0114;0.6666666666666666;0.03488372093023256
104.0;49.0;89.0;168.0;54.0;4.0;212.0;31.0;24.0;153.0;238.0;682.0;198.0;78.0;1.0;23.0;190.0;189.0;0;0;elongatedness <= 33.00 AND max_length_aspect_ratio <= 7.00;2;0.9505208333333334;0.0446;1.0;0.17159763313609466
109.0;53.0;103.0;210.0;63.0;11.0;219.0;30.0;25.0;172.0;229.0;707.0;212.0;71.0;6.0;3.0;188.0;199.0;2;2;scaled_radius_of_gyration > 198.00 AND skewness_about_major <= 71.00 AND 61.00 < pr_axis_aspect_ratio <= 65.00 AND radius_ratio > 196.00 AND compactness > 100.00 AND hollows_ratio > 197.00 AND skewness_about_minor > 2.00 AND 184.00 < kurtosis_about_minor <= 189.00 AND max_length_aspect_ratio > 7.00 AND kurtosis_about_major <= 6.00;10;0.9531914893617022;0.0019;1.0;0.011627906976744186
104.0;54.0;91.0;209.0;67.0;11.0;218.0;31.0;24.0;170.0;223.0;697.0;196.0;74.0;4.0;21.0;187.0;196.0;1;1;radius_ratio > 196.00 AND kurtosis_about_major > 19.00 AND hollows_ratio <= 197.00 AND circularity > 49.00 AND scaled_radius_of_gyration <= 198.00 AND kurtosis_about_minor <= 193.25;6;0.9616204690831557;0.0013;1.0;0.011235955056179775
101.0;56.0;101.0;231.0;72.0;10.0;217.0;31.0;24.0;171.0;232.0;698.0;216.0;72.0;2.0;6.0;187.0;197.0;2;1;radius_ratio > 196.00 AND hollows_ratio <= 197.00 AND max_length_aspect_ratio <= 10.00 AND 184.00 < kurtosis_about_minor <= 189.00 AND 71.00 < skewness_about_major <= 75.00 AND circularity > 49.00 AND skewness_about_minor <= 2.00 AND kurtosis_about_major <= 19.00;8;0.908315565031983;0.0051;0.8;0.02247191011235955
88.0;34.0;69.0;152.0;57.0;5.0;138.0;48.0;18.0;122.0;158.0;284.0;120.0;62.0;9.0;29.0;204.0;210.0;1;1;pr_axis_aspect_ratio <= 57.00 AND radius_ratio > 141.00 AND max_length_rectangularity <= 136.00 AND elongatedness > 46.00 AND skewness_about_minor > 6.00 AND skewness_about_major <= 67.00 AND hollows_ratio > 197.00;7;0.9555555555555556;0.002;1.0;0.011235955056179775
91.0;39.0;77.0;153.0;59.0;8.0;139.0;48.0;18.0;139.0;159.0;289.0;123.0;62.0;8.0;17.0;201.0;209.0;3;3;scaled_variance_minor <= 319.00 AND scaled_variance_major <= 178.00 AND max_length_aspect_ratio > 7.00 AND max_length_rectangularity > 136.00 AND distance_circularity > 70.00;5;0.9607843137254902;0.0367;0.9166666666666666;0.13664596273291926
94.0;37.0;72.0;193.0;72.0;6.0;158.0;41.0;19.0;133.0;184.0;385.0;127.0;70.0;0.0;14.0;200.0;204.0;0;0;kurtosis_about_minor > 193.25 AND skewness_about_major > 67.00 AND max_length_aspect_ratio <= 7.00;3;0.9898477157360406;0.0655;1.0;0.25443786982248523
103.0;41.0;83.0;194.0;63.0;9.0;175.0;38.0;21.0;142.0;199.0;455.0;138.0;65.0;7.0;30.0;197.0;206.0;1;2;scatter_ratio > 157.00 AND scaled_radius_of_gyration <= 148.75 AND kurtosis_about_major > 19.00 AND radius_ratio > 168.00 AND circularity <= 44.00 AND pr_axis_aspect_ratio <= 65.00 AND compactness > 100.00 AND skewness_about_major <= 67.00 AND max_length_rectangularity <= 146.00 AND max_length_aspect_ratio <= 10.00 AND elongatedness > 33.00 AND scaled_variance_minor <= 584.50 AND pr_axis_rectangularity <= 23.00;13;0.9330453563714903;0.0012;1.0;0.011627906976744186
115.0;51.0;100.0;201.0;60.0;12.0;196.0;34.0;23.0;162.0;207.0;573.0;184.0;62.0;22.0;1.0;198.0;208.0;2;2;scaled_radius_of_gyration > 174.00 AND skewness_about_major <= 67.00 AND compactness > 100.00 AND pr_axis_aspect_ratio <= 61.00 AND elongatedness > 33.00 AND radius_ratio > 168.00;6;0.9828571428571429;0.0105;1.0;0.046511627906976744
104.0;55.0;107.0;222.0;68.0;11.0;218.0;31.0;24.0;173.0;232.0;703.0;229.0;71.0;3.0;10.0;188.0;199.0;2;2;scaled_radius_of_gyration > 198.00 AND 67.00 < skewness_about_major <= 71.00 AND compactness > 100.00 AND radius_ratio > 196.00 AND hollows_ratio > 197.00 AND 2.00 < skewness_about_minor <= 6.00 AND kurtosis_about_minor <= 189.00 AND kurtosis_about_major <= 19.00;8;0.9503311258278145;0.0049;1.0;0.029069767441860465
98.0;46.0;88.0;191.0;63.0;6.0;192.0;34.0;22.0;147.0;215.0;563.0;174.0;73.0;2.0;26.0;194.0;197.0;0;0;kurtosis_about_minor > 193.25 AND skewness_about_major > 71.00;2;0.9927536231884058;0.0219;1.0;0.09467455621301775
78.0;36.0;60.0;116.0;56.0;6.0;123.0;55.0;17.0;124.0;141.0;221.0;121.0;78.0;3.0;16.0;178.0;185.0;1;1;pr_axis_aspect_ratio <= 57.00 AND max_length_rectangularity <= 136.00 AND kurtosis_about_major > 11.00 AND compactness <= 87.00 AND skewness_about_minor > 2.00;5;0.8505997818974919;0.0227;0.8823529411764706;0.08426966292134831
101.0;53.0;91.0;194.0;65.0;6.0;204.0;32.0;23.0;161.0;231.0;636.0;214.0;78.0;5.0;14.0;192.0;192.0;0;0;kurtosis_about_minor > 189.00 AND skewness_about_major > 75.00;2;0.9792746113989638;0.0105;0.875;0.04142011834319527
90.0;49.0;83.0;187.0;63.0;7.0;176.0;37.0;21.0;154.0;205.0;467.0;222.0;70.0;1.0;2.0;189.0;195.0;2;1;radius_ratio > 168.00 AND compactness <= 93.00 AND max_length_aspect_ratio <= 7.00 AND pr_axis_aspect_ratio <= 65.00 AND kurtosis_about_minor <= 189.00 AND 40.00 < circularity <= 49.00 AND skewness_about_major > 67.00 AND elongatedness > 33.00 AND hollows_ratio <= 201.00 AND scatter_ratio <= 197.25 AND scaled_variance_minor <= 584.50 AND max_length_rectangularity <= 160.00 AND pr_axis_rectangularity <= 23.00 AND distance_circularity <= 98.00 AND skewness_about_minor <= 9.00;15;0.9720930232558139;0.0015;1.0;0.011235955056179775
95.0;47.0;81.0;176.0;59.0;7.0;168.0;39.0;20.0;152.0;196.0;425.0;185.0;67.0;4.0;4.0;191.0;198.0;2;2;scatter_ratio > 157.00 AND skewness_about_major <= 67.00 AND radius_ratio > 168.00 AND pr_axis_aspect_ratio <= 65.00 AND pr_axis_rectangularity <= 20.00 AND kurtosis_about_minor <= 193.25 AND max_length_aspect_ratio <= 8.00;7;0.9594202898550724;0.0074;0.8333333333333334;0.029069767441860465
87.0;39.0;74.0;152.0;58.0;6.0;151.0;44.0;19.0;136.0;174.0;337.0;140.0;70.0;1.0;33.0;187.0;196.0;2;2;kurtosis_about_minor <= 189.00 AND skewness_about_major <= 75.00 AND elongatedness <= 46.00 AND scatter_ratio > 147.00 AND hollows_ratio > 191.00 AND radius_ratio > 141.00 AND circularity <= 40.00 AND pr_axis_aspect_ratio <= 61.00 AND max_length_aspect_ratio <= 7.00 AND distance_circularity <= 80.00;10;0.9606741573033708;0.0013;1.0;0.011627906976744186
98.0;49.0;84.0;219.0;74.0;7.0;190.0;34.0;22.0;154.0;208.0;558.0;209.0;74.0;4.0;7.0;195.0;195.0;0;0;kurtosis_about_minor > 193.25 AND skewness_about_major > 71.00;2;0.9745454545454545;0.0193;1.0;0.09467455621301775
99.0;47.0;91.0;226.0;74.0;5.0;202.0;32.0;23.0;148.0;234.0;629.0;186.0;79.0;4.0;11.0;192.0;191.0;0;0;elongatedness <= 33.00 AND max_length_aspect_ratio <= 7.00;2;0.9620493358633776;0.0413;1.0;0.17159763313609466
86.0;36.0;77.0;165.0;60.0;7.0;150.0;45.0;19.0;128.0;174.0;331.0;131.0;66.0;0.0;32.0;196.0;203.0;2;1;max_length_rectangularity <= 136.00 AND distance_circularity > 70.00 AND pr_axis_aspect_ratio <= 61.00 AND scaled_variance_minor > 319.00 AND hollows_ratio > 191.00 AND kurtosis_about_minor > 189.00 AND 167.00 < scaled_variance_major <= 178.00 AND radius_ratio > 141.00 AND compactness <= 87.00 AND skewness_about_major <= 75.00 AND 147.00 < scatter_ratio <= 157.00;11;0.984375;0.0013;1.0;0.011235955056179775
119.0;54.0;106.0;220.0;65.0;12.0;213.0;31.0;24.0;167.0;223.0;675.0;232.0;66.0;20.0;1.0;192.0;202.0;2;2;scaled_radius_of_gyration > 198.00 AND skewness_about_major <= 67.00 AND compactness > 100.00 AND pr_axis_aspect_ratio <= 65.00 AND hollows_ratio > 201.00 AND scaled_variance_minor > 365.00;6;0.9719298245614035;0.0113;1.0;0.05232558139534884
89.0;45.0;81.0;246.0;102.0;43.0;155.0;44.0;20.0;160.0;200.0;347.0;177.0;90.0;9.0;17.0;183.0;192.0;3;3;distance_circularity > 80.00 AND elongatedness > 43.00 AND max_length_aspect_ratio > 8.00;3;0.9775280898876404;0.0437;1.0;0.18633540372670807
96.0;55.0;98.0;161.0;54.0;10.0;215.0;31.0;24.0;175.0;226.0;683.0;221.0;76.0;3.0;6.0;185.0;193.0;1;1;pr_axis_aspect_ratio <= 57.00 AND scaled_variance_minor > 584.50 AND compactness <= 100.00 AND pr_axis_rectangularity > 20.00;4;0.9628252788104089;0.0088;1.0;0.033707865168539325
89.0;44.0;76.0;125.0;54.0;10.0;156.0;44.0;20.0;151.0;163.0;352.0;176.0;76.0;12.0;12.0;184.0;193.0;3;3;max_length_rectangularity > 146.00 AND scaled_variance_major <= 167.00;2;0.9517884914463453;0.0187;0.8666666666666667;0.08074534161490683
103.0;56.0;100.0;185.0;59.0;11.0;216.0;31.0;24.0;173.0;219.0;684.0;219.0;75.0;15.0;11.0;186.0;194.0;1;1;radius_ratio > 168.00 AND pr_axis_aspect_ratio <= 61.00 AND scaled_variance_minor > 584.50 AND skewness_about_minor > 9.00 AND 6.00 < kurtosis_about_major <= 19.00 AND 191.00 < hollows_ratio <= 197.00;6;0.9257246376811594;0.0019;1.0;0.011235955056179775
97.0;45.0;91.0;161.0;63.0;10.0;151.0;45.0;19.0;148.0;166.0;334.0;171.0;65.0;18.0;20.0;197.0;205.0;3;3;max_length_rectangularity > 146.00 AND scaled_variance_major <= 167.00;2;0.9501845018450185;0.0186;0.8666666666666667;0.08074534161490683
91.0;46.0;75.0;185.0;75.0;7.0;154.0;42.0;19.0;147.0;178.0;362.0;192.0;72.0;8.0;8.0;192.0;199.0;0;0;pr_axis_aspect_ratio > 65.00 AND max_length_aspect_ratio <= 7.00 AND scaled_variance_minor > 319.00 AND scaled_variance_major <= 178.00;4;0.9745547073791349;0.0322;0.9565217391304348;0.1301775147928994
