compactness;circularity;distance_circularity;radius_ratio;pr_axis_aspect_ratio;max_length_aspect_ratio;scatter_ratio;elongatedness;pr_axis_rectangularity;max_length_rectangularity;scaled_variance_major;scaled_variance_minor;scaled_radius_of_gyration;skewness_about_major;skewness_about_minor;kurtosis_about_major;kurtosis_about_minor;hollows_ratio;target;prediction;anchor_rule;anchor_rule_len;anchor_precision;anchor_coverage;anchor_precision_correct;anchor_coverage_correct
94.0;36.0;66.0;151.0;61.0;8.0;133.0;50.0;18.0;135.0;154.0;265.0;119.0;62.0;9.0;3.0;201.0;208.0;3;3;max_length_aspect_ratio > 7.00 AND scatter_ratio <= 147.00 AND compactness > 93.00 AND scaled_radius_of_gyration <= 148.75;4;1.0;0.0096;1.0;0.05
103.0;56.0;105.0;183.0;59.0;10.0;210.0;32.0;24.0;173.0;217.0;648.0;218.0;72.0;13.0;22.0;188.0;196.0;1;1;max_length_aspect_ratio > 7.00 AND pr_axis_rectangularity > 23.00 AND 191.00 < hollows_ratio <= 197.00 AND scaled_variance_minor > 584.50 AND elongatedness <= 33.00 AND kurtosis_about_major > 19.00 AND pr_axis_aspect_ratio <= 61.00 AND scaled_variance_major <= 217.00 AND kurtosis_about_minor > 184.00;9;0.9513274336283186;0.0008;1.0;0.01092896174863388
86.0;44.0;65.0;129.0;56.0;6.0;152.0;45.0;19.0;150.0;168.0;331.0;177.0;83.0;4.0;13.0;178.0;183.0;0;0;max_length_aspect_ratio <= 7.00 AND skewness_about_major > 75.00 AND scaled_variance_minor > 319.00 AND distance_circularity <= 70.00;4;0.9559386973180076;0.0359;0.9230769230769231;0.1437125748502994
96.0;44.0;85.0;166.0;66.0;10.0;155.0;43.0;19.0;150.0;167.0;355.0;159.0;67.0;3.0;10.0;192.0;202.0;3;3;max_length_rectangularity > 146.00 AND scaled_variance_major <= 167.00 AND compactness > 87.00 AND max_length_aspect_ratio > 8.00;4;1.0;0.0093;1.0;0.05
80.0;36.0;69.0;127.0;56.0;7.0;128.0;53.0;18.0;124.0;147.0;240.0;133.0;70.0;2.0;21.0;183.0;191.0;1;1;compactness <= 87.00 AND kurtosis_about_major > 19.00 AND pr_axis_aspect_ratio <= 57.00 AND 67.00 < skewness_about_major <= 71.00 AND radius_ratio <= 141.00 AND skewness_about_minor <= 2.00 AND max_length_rectangularity <= 136.00 AND scaled_radius_of_gyration <= 148.75 AND kurtosis_about_minor <= 184.00 AND circularity <= 40.00 AND hollows_ratio <= 197.00 AND scatter_ratio <= 147.00;12;0.7525862068965518;0.0018;1.0;0.01092896174863388
107.0;53.0;108.0;211.0;63.0;11.0;219.0;31.0;25.0;168.0;228.0;704.0;198.0;69.0;10.0;21.0;190.0;203.0;2;2;pr_axis_aspect_ratio <= 65.00 AND radius_ratio > 168.00 AND pr_axis_rectangularity > 19.00 AND max_length_aspect_ratio > 7.00 AND hollows_ratio > 201.00 AND elongatedness <= 43.00 AND scaled_variance_major > 178.00 AND skewness_about_minor > 9.00 AND compactness > 100.00 AND kurtosis_about_major > 19.00 AND distance_circularity > 98.00 AND kurtosis_about_minor > 189.00 AND skewness_about_major > 67.00;13;1.0;0.0038;1.0;0.023529411764705882
108.0;53.0;104.0;181.0;56.0;11.0;220.0;31.0;25.0;167.0;226.0;712.0;214.0;72.0;15.0;18.0;189.0;199.0;2;2;71.00 < skewness_about_major <= 75.00 AND scaled_variance_major > 217.00 AND max_length_aspect_ratio > 10.00 AND pr_axis_rectangularity > 23.00 AND radius_ratio > 168.00 AND hollows_ratio > 197.00 AND compactness > 100.00 AND elongatedness <= 33.00 AND skewness_about_minor > 9.00 AND distance_circularity > 98.00 AND 6.00 < kurtosis_about_major <= 19.00 AND kurtosis_about_minor > 184.00;12;0.9518518518518518;0.0039;1.0;0.01764705882352941
90.0;46.0;75.0;133.0;55.0;11.0;160.0;43.0;20.0;161.0;173.0;369.0;171.0;77.0;0.0;16.0;182.0;192.0;3;3;max_length_aspect_ratio > 8.00 AND scaled_variance_major <= 178.00 AND max_length_rectangularity > 160.00;3;1.0;0.0182;1.0;0.08125
81.0;46.0;71.0;141.0;61.0;7.0;153.0;44.0;19.0;148.0;177.0;347.0;190.0;80.0;1.0;14.0;182.0;187.0;0;0;max_length_aspect_ratio <= 7.00 AND skewness_about_major > 75.00 AND scaled_variance_minor > 319.00 AND hollows_ratio <= 191.00 AND skewness_about_minor <= 6.00;5;0.9594771241830066;0.0589;0.975609756097561;0.23952095808383234
86.0;42.0;64.0;122.0;54.0;6.0;148.0;46.0;19.0;143.0;170.0;319.0;171.0;87.0;1.0;3.0;179.0;182.0;0;0;max_length_aspect_ratio <= 7.00 AND skewness_about_major > 75.00 AND scatter_ratio > 147.00 AND distance_circularity <= 70.00 AND skewness_about_minor <= 2.00;5;1.0;0.0069;1.0;0.03592814371257485
80.0;43.0;71.0;133.0;60.0;7.0;150.0;45.0;19.0;146.0;170.0;330.0;176.0;81.0;6.0;15.0;180.0;184.0;0;0;max_length_aspect_ratio <= 7.00 AND skewness_about_major > 75.00 AND scatter_ratio > 147.00 AND max_length_rectangularity <= 146.00 AND skewness_about_minor <= 6.00;5;0.9717514124293786;0.0326;0.96;0.1437125748502994
103.0;50.0;98.0;212.0;63.0;9.0;193.0;34.0;22.0;161.0;214.0;567.0;185.0;64.0;5.0;5.0;198.0;204.0;1;1;scaled_variance_minor > 319.00 AND pr_axis_rectangularity > 20.00 AND max_length_aspect_ratio > 7.00 AND scatter_ratio > 157.00 AND scaled_variance_major > 178.00 AND kurtosis_about_major <= 6.00 AND skewness_about_major <= 67.00 AND distance_circularity <= 98.00 AND max_length_rectangularity > 160.00 AND scaled_radius_of_gyration <= 198.00 AND hollows_ratio > 191.00 AND skewness_about_minor <= 6.00 AND elongatedness > 33.00;13;0.9603174603174603;0.0016;1.0;0.01092896174863388
82.0;44.0;72.0;136.0;61.0;7.0;147.0;46.0;19.0;143.0;173.0;317.0;183.0;81.0;6.0;17.0;181.0;185.0;0;0;max_length_aspect_ratio <= 7.00 AND skewness_about_major > 75.00 AND elongatedness <= 46.00 AND compactness <= 87.00 AND skewness_about_minor <= 6.00;5;0.9806338028169014;0.0431;0.96875;0.18562874251497005
88.0;40.0;79.0;183.0;62.0;7.0;176.0;38.0;21.0;138.0;200.0;462.0;150.0;66.0;0.0;29.0;189.0;199.0;1;1;skewness_about_major <= 67.00 AND kurtosis_about_major > 19.00 AND 191.00 < hollows_ratio <= 201.00 AND 20.00 < pr_axis_rectangularity <= 23.00 AND 365.00 < scaled_variance_minor <= 584.50 AND 178.00 < scaled_variance_major <= 217.00 AND compactness <= 93.00 AND elongatedness <= 43.00 AND pr_axis_aspect_ratio <= 65.00 AND 136.00 < max_length_rectangularity <= 146.00 AND 70.00 < distance_circularity <= 80.00 AND 184.00 < kurtosis_about_minor <= 189.00 AND skewness_about_minor <= 2.00 AND scaled_radius_of_gyration <= 174.00 AND circularity <= 40.00 AND scatter_ratio <= 197.25 AND max_length_aspect_ratio <= 10.00 AND radius_ratio <= 196.00;18;0.9555555555555556;0.0018;1.0;0.01092896174863388
90.0;36.0;85.0;184.0;64.0;6.0;160.0;41.0;20.0;125.0;187.0;385.0;139.0;66.0;9.0;31.0;195.0;203.0;2;2;max_length_rectangularity <= 136.00 AND distance_circularity > 80.00 AND 178.00 < scaled_variance_major <= 217.00 AND hollows_ratio > 201.00 AND scatter_ratio > 157.00 AND compactness > 87.00 AND pr_axis_aspect_ratio <= 65.00 AND scaled_variance_minor <= 584.50 AND circularity <= 40.00 AND 168.00 < radius_ratio <= 196.00 AND skewness_about_major <= 71.00 AND skewness_about_minor > 2.00 AND pr_axis_rectangularity <= 20.00 AND max_length_aspect_ratio <= 8.00;14;0.9618055555555556;0.0017;1.0;0.011764705882352941
104.0;49.0;89.0;168.0;54.0;4.0;212.0;31.0;24.0;153.0;238.0;682.0;198.0;78.0;1.0;23.0;190.0;189.0;0;0;max_length_aspect_ratio <= 7.00 AND skewness_about_major > 75.00 AND compactness > 100.00;3;0.9901315789473685;0.0309;1.0;0.1317365269461078
109.0;53.0;103.0;210.0;63.0;11.0;219.0;30.0;25.0;172.0;229.0;707.0;212.0;71.0;6.0;3.0;188.0;199.0;2;2;circularity > 40.00 AND scaled_variance_minor > 365.00 AND radius_ratio > 196.00 AND hollows_ratio > 197.00 AND elongatedness <= 43.00 AND distance_circularity > 98.00 AND compactness > 100.00 AND max_length_aspect_ratio > 8.00 AND scaled_radius_of_gyration > 198.00 AND 67.00 < skewness_about_major <= 71.00 AND pr_axis_rectangularity > 23.00 AND pr_axis_aspect_ratio > 61.00;12;0.9501661129568106;0.0202;1.0;0.08235294117647059
104.0;54.0;91.0;209.0;67.0;11.0;218.0;31.0;24.0;170.0;223.0;697.0;196.0;74.0;4.0;21.0;187.0;196.0;1;1;scatter_ratio > 197.25 AND scaled_variance_minor > 584.50 AND elongatedness <= 33.00 AND max_length_aspect_ratio > 7.00 AND 191.00 < hollows_ratio <= 197.00 AND scaled_radius_of_gyration <= 198.00 AND skewness_about_minor <= 6.00;7;0.9628378378378378;0.0071;1.0;0.03278688524590164
101.0;56.0;101.0;231.0;72.0;10.0;217.0;31.0;24.0;171.0;232.0;698.0;216.0;72.0;2.0;6.0;187.0;197.0;2;2;elongatedness <= 33.00 AND pr_axis_rectangularity > 20.00 AND skewness_about_major <= 75.00 AND compactness > 100.00 AND distance_circularity > 98.00 AND scatter_ratio > 197.25 AND max_length_aspect_ratio > 8.00 AND radius_ratio > 196.00 AND scaled_radius_of_gyration > 198.00 AND hollows_ratio > 191.00 AND pr_axis_aspect_ratio > 61.00 AND skewness_about_minor <= 2.00 AND kurtosis_about_major <= 6.00 AND 184.00 < kurtosis_about_minor <= 189.00 AND scaled_variance_major > 178.00;15;0.7819623389494549;0.0033;1.0;0.01764705882352941
88.0;34.0;69.0;152.0;57.0;5.0;138.0;48.0;18.0;122.0;158.0;284.0;120.0;62.0;9.0;29.0;204.0;210.0;1;1;scaled_radius_of_gyration <= 148.75 AND kurtosis_about_major > 19.00 AND pr_axis_aspect_ratio <= 57.00 AND skewness_about_major <= 67.00 AND 141.00 < radius_ratio <= 168.00 AND hollows_ratio > 201.00 AND skewness_about_minor > 6.00 AND max_length_rectangularity <= 136.00 AND distance_circularity <= 70.00 AND kurtosis_about_minor > 193.25 AND 87.00 < compactness <= 93.00 AND max_length_aspect_ratio <= 7.00 AND elongatedness > 43.00 AND pr_axis_rectangularity <= 19.00 AND scaled_variance_minor <= 365.00 AND scatter_ratio <= 157.00 AND scaled_variance_major <= 217.00 AND circularity <= 49.00;18;0.7436823104693141;0.0011;1.0;0.01092896174863388
91.0;39.0;77.0;153.0;59.0;8.0;139.0;48.0;18.0;139.0;159.0;289.0;123.0;62.0;8.0;17.0;201.0;209.0;3;3;max_length_aspect_ratio > 7.00 AND elongatedness > 46.00 AND max_length_rectangularity > 136.00 AND scaled_radius_of_gyration <= 148.75;4;1.0;0.0111;1.0;0.05625
94.0;37.0;72.0;193.0;72.0;6.0;158.0;41.0;19.0;133.0;184.0;385.0;127.0;70.0;0.0;14.0;200.0;204.0;0;0;max_length_aspect_ratio <= 7.00 AND pr_axis_aspect_ratio > 65.00 AND kurtosis_about_minor > 193.25 AND max_length_rectangularity <= 136.00;4;1.0;0.0214;1.0;0.09580838323353294
103.0;41.0;83.0;194.0;63.0;9.0;175.0;38.0;21.0;142.0;199.0;455.0;138.0;65.0;7.0;30.0;197.0;206.0;1;1;scaled_variance_minor > 365.00 AND pr_axis_rectangularity > 20.00 AND max_length_aspect_ratio > 7.00 AND elongatedness <= 46.00 AND scaled_radius_of_gyration <= 148.75 AND skewness_about_major <= 67.00 AND kurtosis_about_major > 19.00 AND circularity <= 44.00 AND pr_axis_aspect_ratio <= 65.00 AND max_length_rectangularity <= 146.00 AND radius_ratio <= 196.00 AND distance_circularity <= 98.00 AND compactness > 100.00;13;0.9683257918552036;0.0021;1.0;0.01092896174863388
115.0;51.0;100.0;201.0;60.0;12.0;196.0;34.0;23.0;162.0;207.0;573.0;184.0;62.0;22.0;1.0;198.0;208.0;2;2;skewness_about_major <= 67.00 AND distance_circularity > 98.00 AND max_length_aspect_ratio > 7.00 AND radius_ratio > 168.00 AND kurtosis_about_minor > 184.00 AND compactness > 100.00 AND scaled_variance_major > 167.00 AND hollows_ratio > 197.00 AND 157.00 < scatter_ratio <= 197.25 AND 365.00 < scaled_variance_minor <= 584.50 AND skewness_about_minor > 9.00 AND pr_axis_rectangularity <= 23.00 AND pr_axis_aspect_ratio > 57.00;13;0.965;0.0077;0.8571428571428571;0.03529411764705882
104.0;55.0;107.0;222.0;68.0;11.0;218.0;31.0;24.0;173.0;232.0;703.0;229.0;71.0;3.0;10.0;188.0;199.0;2;2;compactness > 100.00 AND distance_circularity > 98.00 AND kurtosis_about_minor > 184.00 AND hollows_ratio > 197.00 AND scaled_variance_major > 178.00 AND pr_axis_rectangularity > 23.00 AND pr_axis_aspect_ratio > 65.00 AND 67.00 < skewness_about_major <= 71.00 AND elongatedness <= 33.00 AND 6.00 < kurtosis_about_major <= 11.00 AND max_length_aspect_ratio > 8.00;11;0.9557522123893806;0.0016;1.0;0.011764705882352941
98.0;46.0;88.0;191.0;63.0;6.0;192.0;34.0;22.0;147.0;215.0;563.0;174.0;73.0;2.0;26.0;194.0;197.0;0;0;max_length_aspect_ratio <= 7.00 AND pr_axis_aspect_ratio > 61.00 AND skewness_about_major > 71.00 AND kurtosis_about_minor > 193.25;4;1.0;0.0195;1.0;0.09580838323353294
78.0;36.0;60.0;116.0;56.0;6.0;123.0;55.0;17.0;124.0;141.0;221.0;121.0;78.0;3.0;16.0;178.0;185.0;1;1;compactness <= 87.00 AND 11.00 < kurtosis_about_major <= 19.00 AND pr_axis_aspect_ratio <= 57.00 AND scaled_radius_of_gyration <= 148.75 AND kurtosis_about_minor <= 184.00 AND max_length_rectangularity <= 136.00 AND 2.00 < skewness_about_minor <= 6.00 AND scaled_variance_minor <= 319.00 AND hollows_ratio <= 191.00 AND scatter_ratio <= 147.00 AND pr_axis_rectangularity <= 19.00 AND scaled_variance_major <= 217.00 AND circularity <= 40.00 AND elongatedness > 43.00 AND distance_circularity <= 98.00 AND max_length_aspect_ratio <= 10.00;16;0.8216867469879519;0.0017;1.0;0.01092896174863388
101.0;53.0;91.0;194.0;65.0;6.0;204.0;32.0;23.0;161.0;231.0;636.0;214.0;78.0;5.0;14.0;192.0;192.0;0;0;max_length_aspect_ratio <= 7.00 AND skewness_about_major > 75.00 AND compactness > 100.00;3;0.9808917197452229;0.0335;1.0;0.1317365269461078
