state;account_length;area_code;phone_number;international_plan;voice_mail_plan;number_vmail_messages;total_day_minutes;total_day_calls;total_day_charge;total_eve_minutes;total_eve_calls;total_eve_charge;total_night_minutes;total_night_calls;total_night_charge;total_intl_minutes;total_intl_calls;total_intl_charge;number_customer_service_calls;target;prediction;anchor_rule;anchor_rule_len;anchor_precision;anchor_coverage;anchor_precision_correct;anchor_coverage_correct
9.0;151.0;415.0;4047.0;0.0;0.0;0.0;175.7;91.0;29.87;152.3;127.0;12.95;140.0;88.0;6.3;10.7;10.0;2.89;1.0;0;0;total_day_minutes <= 179.70 AND number_customer_service_calls <= 1.00 AND international_plan <= 0.00;3;0.9795918367346939;0.2626;0.9807135969141755;0.2934218118869013
20.0;116.0;408.0;4071.0;0.0;0.0;0.0;159.4;79.0;27.1;179.5;88.0;15.26;167.8;71.0;7.55;9.7;2.0;2.62;6.0;1;1;number_customer_service_calls > 2.00 AND 24.43 < total_day_charge <= 30.55 AND 166.60 < total_eve_minutes <= 201.00 AND total_night_calls <= 87.00 AND total_day_minutes <= 179.70 AND total_intl_calls <= 3.00 AND voice_mail_plan <= 0.00 AND 87.00 < total_eve_calls <= 101.00 AND 14.16 < total_eve_charge <= 17.09 AND 73.00 < account_length <= 127.00 AND total_night_charge <= 8.99 AND total_day_calls <= 101.00 AND state > 13.00;13;0.72782874617737;0.0002;1.0;0.0037313432835820895
3.0;70.0;415.0;1287.0;0.0;0.0;0.0;104.7;112.0;17.8;82.2;104.0;6.99;169.4;110.0;7.62;15.8;7.0;4.27;3.0;0;0;total_day_minutes <= 215.60 AND total_intl_calls > 6.00;2;0.9801324503311258;0.1275;0.9367588932806324;0.13675706866705137
25.0;137.0;510.0;981.0;0.0;0.0;0.0;147.2;119.0;25.02;192.8;91.0;16.39;172.7;105.0;7.77;10.2;4.0;2.75;1.0;0;0;total_day_minutes <= 215.60 AND number_customer_service_calls <= 2.00;2;0.9522240527182867;0.5937;0.9483627204030227;0.6517599538372764
22.0;81.0;415.0;4253.0;0.0;0.0;0.0;153.5;99.0;26.1;197.6;102.0;16.8;198.5;86.0;8.93;6.3;2.0;1.7;2.0;0;0;total_eve_minutes <= 201.00 AND international_plan <= 0.00 AND number_customer_service_calls <= 2.00;3;0.9604395604395605;0.351;0.9587123862841148;0.395268320830929
49.0;131.0;415.0;1827.0;0.0;0.0;0.0;196.1;89.0;33.34;185.5;87.0;15.77;250.0;132.0;11.25;5.2;6.0;1.4;2.0;0;0;total_day_charge <= 36.65 AND number_customer_service_calls <= 2.00 AND total_day_minutes <= 215.60;3;0.9644128113879004;0.5928;0.9483627204030227;0.6517599538372764
50.0;87.0;415.0;1365.0;0.0;0.0;0.0;151.0;83.0;25.67;219.7;116.0;18.67;203.9;127.0;9.18;9.7;3.0;2.62;5.0;1;1;number_customer_service_calls > 2.00 AND total_day_minutes <= 179.70 AND 201.00 < total_eve_minutes <= 233.50 AND number_vmail_messages <= 0.00 AND total_day_charge <= 36.65 AND total_intl_calls <= 3.00 AND 199.70 < total_night_minutes <= 234.90 AND total_night_calls > 113.00 AND 17.09 < total_eve_charge <= 19.85 AND state > 39.00 AND total_intl_minutes <= 10.30 AND voice_mail_plan <= 0.00 AND phone_number > 1258.75 AND total_eve_calls > 114.00;14;0.6931464174454829;0.0005;1.0;0.0037313432835820895
47.0;70.0;415.0;19.0;0.0;0.0;0.0;229.3;110.0;38.98;118.2;89.0;10.05;155.0;105.0;6.98;7.9;4.0;2.13;1.0;0;0;total_eve_minutes <= 166.60 AND number_customer_service_calls <= 1.00 AND total_eve_charge <= 14.16;3;0.9711538461538461;0.1416;0.9541446208112875;0.15608770917484133
46.0;122.0;415.0;3078.0;0.0;0.0;0.0;136.7;115.0;23.24;243.1;137.0;20.66;188.9;110.0;8.5;8.6;4.0;2.32;0.0;0;0;total_day_minutes <= 215.60 AND number_customer_service_calls <= 1.00;2;0.9529411764705882;0.4327;0.9495305164319249;0.4668205424120023
44.0;180.0;510.0;2772.0;0.0;0.0;0.0;253.9;69.0;43.16;184.2;138.0;15.66;174.3;83.0;7.84;0.4;7.0;0.11;1.0;0;0;total_intl_minutes <= 12.10 AND total_eve_charge <= 17.09 AND total_night_minutes <= 199.70;3;0.9681274900398407;0.1894;0.9042690815006468;0.2016733987305251
12.0;93.0;408.0;1890.0;0.0;0.0;0.0;198.1;93.0;33.68;236.1;95.0;20.07;127.3;121.0;5.73;12.6;4.0;3.4;2.0;0;0;number_customer_service_calls <= 2.00 AND total_day_minutes <= 215.60;2;0.9687108886107635;0.5976;0.9483627204030227;0.6517599538372764
14.0;142.0;415.0;4702.0;0.0;0.0;0.0;84.8;95.0;14.42;136.7;63.0;11.62;250.5;148.0;11.27;14.2;6.0;3.83;2.0;0;0;total_day_charge <= 24.43 AND number_customer_service_calls <= 2.00 AND total_night_calls > 113.00;3;0.973404255319149;0.0481;0.9556650246305419;0.05597230236583958
15.0;98.0;408.0;2525.0;0.0;1.0;21.0;64.6;98.0;10.98;176.1;86.0;14.97;244.8;84.0;11.02;0.0;0.0;0.0;2.0;0;0;total_day_minutes <= 143.67 AND number_customer_service_calls <= 2.00 AND total_day_charge <= 24.43;3;0.963302752293578;0.2003;0.9527950310559006;0.2212925562608194
9.0;106.0;408.0;2995.0;0.0;1.0;32.0;165.9;126.0;28.2;216.5;93.0;18.4;173.1;86.0;7.79;14.1;8.0;3.81;4.0;0;0;total_day_minutes <= 179.70 AND total_intl_calls > 4.00;2;0.9583333333333334;0.1975;0.9215442092154421;0.21350259665320254
13.0;68.0;415.0;1943.0;0.0;0.0;0.0;186.5;108.0;31.71;190.2;107.0;16.17;187.8;103.0;8.45;11.0;5.0;2.97;1.0;0;0;total_day_minutes <= 215.60 AND number_customer_service_calls <= 1.00 AND international_plan <= 0.00;3;0.9738955823293173;0.3927;0.9762516046213093;0.4388343912290825
46.0;105.0;415.0;4338.0;0.0;0.0;0.0;204.6;111.0;34.78;134.4;109.0;11.42;260.8;69.0;11.74;5.7;7.0;1.54;1.0;0;0;total_day_charge <= 36.65 AND total_intl_minutes <= 8.50;2;0.9517045454545454;0.1873;0.9251336898395722;0.1996537795729948
21.0;52.0;510.0;2785.0;0.0;0.0;0.0;129.3;80.0;21.98;142.7;101.0;12.13;258.3;89.0;11.62;12.3;4.0;3.32;3.0;0;0;total_day_charge <= 30.55 AND international_plan <= 0.00 AND total_night_minutes > 234.90 AND total_intl_calls > 3.00;4;0.9764705882352941;0.0666;0.9522058823529411;0.07472590882862089
4.0;125.0;510.0;2550.0;1.0;0.0;0.0;158.7;112.0;26.98;155.7;126.0;13.23;246.0;110.0;11.07;8.3;1.0;2.24;2.0;1;1;international_plan > 0.00 AND total_intl_calls <= 3.00 AND number_vmail_messages <= 0.00 AND total_night_charge > 10.57 AND total_day_minutes <= 179.70 AND total_day_charge <= 30.55 AND number_customer_service_calls > 1.00 AND total_eve_calls > 114.00 AND 100.00 < account_length <= 127.00 AND total_night_minutes > 234.90 AND state <= 13.00 AND phone_number > 2516.50 AND total_eve_charge <= 14.16 AND total_eve_minutes <= 201.00 AND 100.00 < total_night_calls <= 113.00 AND total_day_calls <= 113.00 AND voice_mail_plan <= 0.00;17;0.7923553719008265;0.0003;1.0;0.0037313432835820895
11.0;108.0;415.0;3009.0;0.0;0.0;0.0;291.6;99.0;49.57;221.1;93.0;18.79;229.2;110.0;10.31;14.0;9.0;3.78;2.0;1;1;1.00 < number_customer_service_calls <= 2.00 AND total_day_minutes > 215.60 AND total_eve_minutes > 201.00 AND number_vmail_messages <= 0.00 AND total_day_charge > 36.65 AND total_eve_charge > 17.09 AND voice_mail_plan <= 0.00 AND 8.99 < total_night_charge <= 10.57 AND total_intl_minutes > 12.10 AND total_intl_charge > 3.27 AND total_night_minutes > 199.70 AND 88.00 < total_day_calls <= 101.00 AND 1258.75 < phone_number <= 3768.25 AND 73.00 < account_length <= 127.00 AND 87.00 < total_eve_calls <= 114.00 AND area_code <= 415.00 AND total_night_calls <= 113.00 AND state <= 39.00;18;0.71671388101983;0.0001;1.0;0.0037313432835820895
42.0;3.0;510.0;4226.0;1.0;0.0;0.0;161.0;96.0;27.37;244.9;82.0;20.82;180.8;103.0;8.14;7.7;6.0;2.08;1.0;0;0;total_day_minutes <= 179.70 AND number_customer_service_calls <= 1.00 AND total_intl_calls > 3.00;3;0.9664179104477612;0.1772;0.9666666666666667;0.1924408540103866
3.0;138.0;415.0;899.0;0.0;0.0;0.0;240.8;104.0;40.94;144.5;92.0;12.28;125.7;98.0;5.66;11.6;1.0;3.13;0.0;0;0;number_customer_service_calls <= 1.00 AND total_eve_minutes <= 201.00 AND international_plan <= 0.00;3;0.965183752417795;0.2579;0.958904109589041;0.2827466820542412
49.0;23.0;510.0;3748.0;0.0;1.0;31.0;156.6;84.0;26.62;161.5;96.0;13.73;294.6;107.0;13.26;9.4;6.0;2.54;1.0;0;0;total_day_minutes <= 179.70 AND number_customer_service_calls <= 1.00 AND total_day_charge <= 30.55;3;0.9735294117647059;0.2928;0.9509632224168126;0.31332948643969993
50.0;140.0;408.0;2784.0;0.0;0.0;0.0;151.5;106.0;25.76;175.7;125.0;14.93;214.1;87.0;9.63;12.4;9.0;3.35;3.0;0;0;total_day_charge <= 30.55 AND international_plan <= 0.00 AND total_intl_calls > 4.00;3;0.9575;0.184;0.9375;0.19907674552798615
17.0;73.0;510.0;2603.0;0.0;0.0;0.0;234.7;102.0;39.9;195.7;110.0;16.63;253.4;71.0;11.4;8.4;8.0;2.27;2.0;0;0;total_intl_calls > 6.00 AND total_intl_minutes <= 10.30 AND account_length <= 73.00;3;0.968;0.0208;0.9518072289156626;0.02279284477784189
23.0;80.0;415.0;225.0;0.0;0.0;0.0;105.8;110.0;17.99;43.9;88.0;3.73;189.6;87.0;8.53;13.1;5.0;3.54;0.0;0;0;total_day_charge <= 24.43 AND phone_number <= 1258.75 AND total_day_minutes <= 215.60;3;0.9659574468085106;0.0605;0.9221789883268483;0.06837853433352568
43.0;50.0;408.0;154.0;0.0;1.0;31.0;302.7;93.0;51.46;240.5;119.0;20.44;193.9;103.0;8.73;13.6;14.0;3.67;3.0;0;0;total_intl_calls > 6.00 AND number_vmail_messages > 17.00 AND total_eve_charge > 17.09;3;0.9722222222222222;0.0261;0.9578947368421052;0.026255049047893827
25.0;107.0;510.0;1318.0;0.0;1.0;30.0;198.9;87.0;33.81;207.0;90.0;17.6;159.8;76.0;7.19;12.6;4.0;3.4;3.0;0;0;total_day_charge <= 36.65 AND international_plan <= 0.00 AND voice_mail_plan > 0.00;3;0.9757575757575757;0.1804;0.9568845618915159;0.1984997114829775
23.0;103.0;415.0;3097.0;0.0;0.0;0.0;198.5;112.0;33.75;42.5;90.0;3.61;179.2;124.0;8.06;12.4;5.0;3.35;0.0;0;0;state <= 26.00 AND total_day_charge <= 36.65 AND international_plan <= 0.00;3;0.9714640198511166;0.3554;0.9328091493924232;0.3765147143681477
36.0;101.0;408.0;4065.0;0.0;0.0;0.0;209.6;107.0;35.63;228.8;96.0;19.45;172.4;85.0;7.76;7.6;2.0;2.05;3.0;0;0;total_day_minutes <= 215.60 AND international_plan <= 0.00 AND total_day_charge <= 36.65;3;0.956973293768546;0.6832;0.936565803864382;0.741200230813618
25.0;70.0;510.0;2558.0;0.0;0.0;0.0;147.1;105.0;25.01;200.0;135.0;17.0;234.9;65.0;10.57;12.5;9.0;3.38;3.0;0;0;international_plan <= 0.00 AND total_day_charge <= 36.65 AND total_intl_calls > 6.00;3;0.9854014598540146;0.1193;0.9611231101511879;0.12839007501442584
6.0;34.0;510.0;3252.0;0.0;1.0;26.0;193.4;91.0;32.88;198.3;94.0;16.86;257.2;94.0;11.57;9.5;5.0;2.57;2.0;0;0;number_customer_service_calls <= 2.00 AND total_day_charge <= 36.65;2;0.9545454545454546;0.595;0.9483627204030227;0.6517599538372764
44.0;68.0;415.0;4007.0;0.0;0.0;0.0;213.9;112.0;36.36;260.5;100.0;22.14;233.8;97.0;10.52;8.4;3.0;2.27;1.0;1;1;87.00 < total_eve_calls <= 101.00 AND total_eve_charge > 19.85 AND voice_mail_plan <= 0.00 AND total_day_minutes > 179.70 AND total_eve_minutes > 233.50 AND total_day_charge > 30.55 AND 8.99 < total_night_charge <= 10.57 AND number_vmail_messages <= 0.00 AND total_intl_calls <= 3.00 AND 199.70 < total_night_minutes <= 234.90 AND number_customer_service_calls <= 1.00 AND 101.00 < total_day_calls <= 113.00 AND 408.00 < area_code <= 415.00 AND 87.00 < total_night_calls <= 100.00 AND state > 39.00 AND phone_number > 3768.25 AND account_length <= 73.00 AND total_intl_charge <= 2.78 AND total_intl_minutes <= 12.10;19;0.522609819121447;0.0003;1.0;0.0037313432835820895
46.0;128.0;408.0;874.0;0.0;0.0;0.0;227.9;130.0;38.74;302.6;71.0;25.72;191.5;82.0;8.62;5.5;7.0;1.49;1.0;1;1;total_day_minutes > 215.60 AND total_eve_minutes > 233.50 AND total_day_charge > 36.65 AND voice_mail_plan <= 0.00 AND total_eve_charge > 19.85 AND 166.30 < total_night_minutes <= 199.70 AND number_vmail_messages <= 0.00 AND number_customer_service_calls <= 1.00 AND total_intl_calls > 6.00 AND phone_number <= 1258.75 AND 7.48 < total_night_charge <= 10.57 AND area_code <= 408.00 AND total_night_calls <= 87.00 AND total_intl_minutes <= 8.50 AND international_plan <= 0.00 AND account_length > 127.00 AND total_eve_calls <= 87.00 AND state > 39.00 AND total_day_calls > 113.00 AND total_intl_charge <= 2.78;20;0.9020172910662824;0.0003;1.0;0.0037313432835820895
46.0;95.0;510.0;2628.0;1.0;1.0;41.0;136.8;91.0;23.26;200.8;61.0;17.07;133.7;67.0;6.02;10.3;9.0;2.78;5.0;1;1;international_plan > 0.00 AND number_customer_service_calls > 2.00 AND total_day_charge <= 24.43 AND total_day_minutes <= 143.67 AND total_night_minutes <= 199.70 AND 8.50 < total_intl_minutes <= 10.30 AND total_eve_minutes <= 201.00 AND phone_number > 2516.50 AND 14.16 < total_eve_charge <= 19.85 AND state > 13.00 AND total_intl_charge > 2.30 AND total_day_calls <= 113.00;12;0.8091922005571031;0.0002;1.0;0.0037313432835820895
22.0;164.0;415.0;312.0;0.0;0.0;0.0;215.6;90.0;36.65;171.6;99.0;14.59;110.4;105.0;4.97;11.3;6.0;3.05;1.0;0;0;total_eve_minutes <= 233.50 AND total_day_minutes <= 215.60 AND number_customer_service_calls <= 1.00;3;0.9771241830065359;0.3129;0.950432730133753;0.3485285631852279
1.0;70.0;415.0;958.0;0.0;0.0;0.0;230.3;110.0;39.15;77.9;87.0;6.62;247.1;105.0;11.12;13.2;4.0;3.56;1.0;0;0;international_plan <= 0.00 AND account_length <= 73.00 AND number_customer_service_calls <= 1.00;3;0.9863013698630136;0.1262;0.9326732673267327;0.13589151759953838
48.0;63.0;510.0;1412.0;0.0;1.0;13.0;214.2;61.0;36.41;181.2;88.0;15.4;174.0;68.0;7.83;10.3;2.0;2.78;0.0;0;0;total_day_charge <= 36.65 AND number_vmail_messages > 0.00;2;0.955719557195572;0.2016;0.9279393173198482;0.21177149451817656
7.0;53.0;415.0;2593.0;0.0;1.0;22.0;76.1;115.0;12.94;171.2;119.0;14.55;246.3;126.0;11.08;6.0;2.0;1.62;0.0;0;0;international_plan <= 0.00 AND voice_mail_plan > 0.00;2;0.9664429530201343;0.2382;0.9614181438998958;0.2660126947489902
24.0;87.0;510.0;3893.0;0.0;0.0;0.0;261.0;83.0;44.37;144.2;95.0;12.26;284.4;119.0;12.8;16.3;1.0;4.4;4.0;0;0;international_plan <= 0.00 AND total_eve_charge <= 14.16 AND total_day_charge > 36.65;3;0.967032967032967;0.0556;0.9449152542372882;0.0643392960184651
30.0;95.0;408.0;3839.0;1.0;0.0;0.0;228.9;134.0;38.91;255.7;71.0;21.73;208.0;120.0;9.36;10.1;2.0;2.73;4.0;1;1;international_plan > 0.00 AND total_intl_calls <= 3.00 AND 2.30 < total_intl_charge <= 2.78 AND 8.50 < total_intl_minutes <= 12.10 AND 26.00 < state <= 39.00 AND number_vmail_messages <= 0.00 AND 199.70 < total_night_minutes <= 234.90 AND total_day_minutes > 215.60 AND total_eve_minutes > 233.50 AND total_eve_charge > 19.85 AND total_day_charge > 36.65 AND voice_mail_plan <= 0.00 AND total_day_calls > 113.00 AND 73.00 < account_length <= 100.00 AND total_night_charge > 8.99 AND area_code <= 415.00 AND total_eve_calls <= 87.00 AND phone_number > 2516.50 AND total_night_calls > 100.00;19;0.9251870324189526;0.0001;1.0;0.0037313432835820895
49.0;143.0;510.0;1173.0;0.0;0.0;0.0;202.8;109.0;34.48;165.8;104.0;14.09;143.9;71.0;6.48;4.6;4.0;1.24;1.0;0;0;total_day_minutes <= 215.60 AND phone_number <= 1258.75 AND area_code > 408.00;3;0.9675925925925926;0.1403;0.9295774647887324;0.15233698788228506
34.0;144.0;408.0;1719.0;0.0;0.0;0.0;61.6;117.0;10.47;77.1;85.0;6.55;173.0;99.0;7.79;8.2;7.0;2.21;4.0;1;1;number_customer_service_calls > 2.00 AND total_day_minutes <= 143.67 AND total_day_charge <= 24.43 AND total_eve_charge <= 14.16 AND 26.00 < state <= 39.00 AND total_night_charge <= 8.99 AND total_intl_charge <= 2.30 AND total_intl_minutes <= 10.30 AND 87.00 < total_night_calls <= 100.00 AND voice_mail_plan <= 0.00 AND total_night_minutes <= 234.90;11;0.5141065830721003;0.0;1.0;0.0037313432835820895
38.0;88.0;415.0;3603.0;0.0;0.0;0.0;158.2;130.0;26.89;234.6;91.0;19.94;291.0;117.0;13.1;12.9;3.0;3.48;2.0;0;0;number_customer_service_calls <= 2.00 AND international_plan <= 0.00;2;0.9521044992743106;0.7187;0.927795303189625;0.7637045585689556
19.0;98.0;415.0;4527.0;0.0;0.0;0.0;182.6;76.0;31.04;145.2;75.0;12.34;162.6;127.0;7.32;12.0;1.0;3.24;6.0;1;1;number_customer_service_calls > 2.00 AND voice_mail_plan <= 0.00 AND total_intl_minutes > 10.30 AND total_eve_calls <= 87.00 AND number_vmail_messages <= 0.00 AND total_intl_charge > 2.78 AND total_intl_calls <= 3.00 AND total_night_minutes <= 199.70 AND 73.00 < account_length <= 100.00 AND phone_number > 3768.25 AND total_day_charge <= 36.65 AND total_eve_minutes <= 166.60 AND total_eve_charge <= 14.16 AND total_day_minutes <= 215.60 AND total_night_charge <= 7.48 AND total_night_calls > 113.00;16;0.6406926406926406;0.0002;1.0;0.0037313432835820895
21.0;137.0;510.0;2167.0;0.0;0.0;0.0;110.5;79.0;18.79;223.2;111.0;18.97;169.5;64.0;7.63;10.5;3.0;2.84;3.0;0;0;total_day_charge <= 36.65 AND international_plan <= 0.00 AND total_day_minutes <= 215.60;3;0.9665697674418605;0.6893;0.936565803864382;0.741200230813618
33.0;109.0;408.0;4229.0;0.0;1.0;39.0;270.0;58.0;45.9;235.5;108.0;20.02;194.3;57.0;8.74;7.8;6.0;2.11;1.0;1;1;total_day_minutes > 215.60 AND total_eve_minutes > 233.50 AND total_day_charge > 36.65 AND total_eve_charge > 17.09 AND 7.48 < total_night_charge <= 8.99 AND number_customer_service_calls <= 1.00 AND 26.00 < state <= 39.00 AND total_intl_calls > 4.00 AND total_night_minutes > 166.30 AND total_day_calls <= 88.00 AND account_length > 73.00 AND phone_number > 3768.25 AND area_code <= 408.00 AND voice_mail_plan <= 1.00 AND 87.00 < total_eve_calls <= 114.00 AND international_plan <= 0.00 AND total_intl_minutes <= 12.10 AND total_night_calls <= 113.00;18;0.7214611872146118;0.0008;1.0;0.005597014925373134
33.0;90.0;415.0;3754.0;0.0;0.0;0.0;203.4;146.0;34.58;226.7;117.0;19.27;152.4;105.0;6.86;7.3;4.0;1.97;1.0;0;0;30.55 < total_day_charge <= 36.65 AND account_length <= 127.00;2;0.9711934156378601;0.1929;0.9432717678100264;0.20628967109059435
9.0;110.0;415.0;3718.0;0.0;0.0;0.0;242.5;110.0;41.23;162.3;140.0;13.8;184.1;86.0;8.28;7.8;3.0;2.11;4.0;0;0;international_plan <= 0.00 AND total_eve_minutes <= 201.00 AND total_day_calls <= 113.00;3;0.9538461538461539;0.3423;0.9212996389891697;0.3681477207155222
10.0;27.0;415.0;2707.0;0.0;1.0;32.0;190.3;97.0;32.35;279.0;77.0;23.72;133.8;117.0;6.02;8.4;3.0;2.27;2.0;0;0;number_customer_service_calls <= 2.00 AND number_vmail_messages > 0.00;2;0.9743589743589743;0.2086;0.9558652729384437;0.23744950952106175
19.0;108.0;415.0;1055.0;0.0;0.0;0.0;178.3;137.0;30.31;189.0;76.0;16.07;129.1;102.0;5.81;14.6;5.0;3.94;0.0;0;0;total_day_minutes <= 179.70 AND number_customer_service_calls <= 2.00 AND total_intl_calls > 3.00;3;0.9658273381294964;0.2422;0.9622641509433962;0.26485862665897286
10.0;136.0;415.0;3833.0;0.0;0.0;0.0;163.4;83.0;27.78;249.3;119.0;21.19;249.7;90.0;11.24;9.8;4.0;2.65;7.0;0;0;total_day_minutes <= 179.70 AND international_plan <= 0.00 AND total_day_calls <= 101.00 AND total_intl_calls > 3.00;4;0.9648648648648649;0.1433;0.9391771019677997;0.15147143681477207
49.0;70.0;415.0;3909.0;0.0;0.0;0.0;214.8;87.0;36.52;131.0;114.0;11.14;216.9;104.0;9.76;9.4;3.0;2.54;3.0;0;0;total_day_minutes <= 215.60 AND total_eve_charge <= 17.09 AND total_night_calls > 100.00;3;0.9692982456140351;0.1954;0.9054794520547945;0.19070975187536066
38.0;92.0;415.0;4310.0;1.0;0.0;0.0;255.8;125.0;43.49;142.7;111.0;12.13;181.2;101.0;8.15;11.7;3.0;3.16;0.0;0;0;number_customer_service_calls <= 2.00 AND total_eve_charge <= 14.16;2;0.9705882352941176;0.2028;0.9473684210526315;0.2181188690132718
28.0;71.0;510.0;2414.0;0.0;0.0;0.0;238.0;82.0;40.46;278.5;94.0;23.67;193.1;134.0;8.69;11.8;10.0;3.19;0.0;1;1;total_day_minutes > 215.60 AND total_eve_charge > 19.85 AND total_day_charge > 36.65 AND total_eve_minutes > 233.50 AND voice_mail_plan <= 0.00 AND total_night_minutes > 166.30 AND 1258.75 < phone_number <= 2516.50 AND number_vmail_messages <= 0.00 AND total_night_calls > 113.00 AND total_intl_charge > 2.78 AND 7.48 < total_night_charge <= 10.57 AND number_customer_service_calls <= 2.00 AND area_code > 415.00 AND state > 13.00 AND total_intl_minutes <= 12.10 AND account_length <= 127.00 AND total_eve_calls > 87.00;17;0.8887468030690537;0.0003;1.0;0.0037313432835820895
23.0;138.0;510.0;2221.0;0.0;0.0;0.0;54.8;123.0;9.32;147.5;76.0;12.54;173.6;119.0;7.81;11.5;1.0;3.11;1.0;0;0;total_day_minutes <= 215.60 AND number_customer_service_calls <= 2.00 AND total_eve_minutes <= 166.60;3;0.9807692307692307;0.1471;0.9622641509433962;0.16185804962492786
50.0;88.0;408.0;4468.0;0.0;0.0;0.0;166.4;97.0;28.29;186.7;118.0;15.87;251.6;89.0;11.32;14.5;4.0;3.92;0.0;0;0;total_day_minutes <= 179.70 AND international_plan <= 0.00;2;0.9554390563564875;0.4588;0.9241341396371633;0.484997114829775
37.0;132.0;510.0;1378.0;0.0;0.0;0.0;191.9;107.0;32.62;206.9;127.0;17.59;272.0;88.0;12.24;12.6;2.0;3.4;1.0;0;0;total_day_charge <= 36.65 AND international_plan <= 0.00 AND number_customer_service_calls <= 1.00;3;0.952063914780293;0.3958;0.9762516046213093;0.4388343912290825
8.0;90.0;415.0;1458.0;0.0;0.0;0.0;198.5;124.0;33.75;266.6;100.0;22.66;243.3;80.0;10.95;8.0;7.0;2.16;2.0;0;0;total_intl_minutes <= 12.10 AND number_customer_service_calls <= 2.00 AND total_day_charge <= 36.65;3;0.9653465346534653;0.4506;0.9580342352291552;0.5005770340450086
