compactness;circularity;distance_circularity;radius_ratio;pr_axis_aspect_ratio;max_length_aspect_ratio;scatter_ratio;elongatedness;pr_axis_rectangularity;max_length_rectangularity;scaled_variance_major;scaled_variance_minor;scaled_radius_of_gyration;skewness_about_major;skewness_about_minor;kurtosis_about_major;kurtosis_about_minor;hollows_ratio;target;prediction;anchor_rule;anchor_rule_len;anchor_precision;anchor_coverage;anchor_precision_correct;anchor_coverage_correct
84.0;43.0;70.0;123.0;54.0;8.0;151.0;45.0;19.0;146.0;173.0;332.0;176.0;81.0;1.0;12.0;181.0;184.0;0;0;max_length_aspect_ratio <= 8.00 AND skewness_about_major > 75.00 AND scaled_radius_of_gyration > 174.00 AND compactness <= 87.00;4;0.9806451612903225;0.0412;0.9655172413793104;0.16666666666666666
89.0;44.0;68.0;113.0;50.0;7.0;150.0;45.0;19.0;147.0;171.0;328.0;189.0;88.0;6.0;5.0;179.0;182.0;0;0;max_length_aspect_ratio <= 7.00 AND skewness_about_major > 75.00 AND scaled_variance_minor > 319.00 AND distance_circularity <= 70.00;4;0.965742251223491;0.0349;0.9230769230769231;0.14285714285714285
90.0;43.0;72.0;172.0;59.0;8.0;154.0;42.0;19.0;144.0;174.0;360.0;158.0;61.0;15.0;9.0;203.0;209.0;2;2;elongatedness <= 43.00 AND skewness_about_minor > 9.00 AND compactness > 87.00 AND hollows_ratio > 201.00 AND max_length_aspect_ratio > 7.00 AND 168.00 < radius_ratio <= 196.00 AND max_length_rectangularity <= 146.00 AND kurtosis_about_major > 6.00 AND scatter_ratio > 147.00 AND 319.00 < scaled_variance_minor <= 584.50 AND distance_circularity > 70.00 AND scaled_radius_of_gyration > 148.75 AND pr_axis_aspect_ratio <= 65.00 AND scaled_variance_major > 167.00 AND circularity > 40.00;15;0.9509803921568627;0.0012;1.0;0.012195121951219513
80.0;39.0;60.0;122.0;56.0;6.0;139.0;49.0;18.0;131.0;151.0;281.0;142.0;80.0;0.0;5.0;179.0;186.0;1;1;compactness <= 87.00 AND max_length_rectangularity <= 136.00 AND pr_axis_aspect_ratio <= 57.00 AND kurtosis_about_major <= 6.00 AND skewness_about_minor <= 2.00 AND circularity <= 40.00 AND max_length_aspect_ratio <= 7.00 AND pr_axis_rectangularity <= 19.00 AND scaled_variance_major <= 167.00 AND scatter_ratio <= 157.00 AND scaled_variance_minor <= 584.50 AND elongatedness > 33.00 AND scaled_radius_of_gyration <= 148.75 AND distance_circularity <= 80.00 AND kurtosis_about_minor <= 184.00 AND hollows_ratio <= 197.00 AND skewness_about_major > 67.00 AND radius_ratio <= 196.00;18;0.7596244131455399;0.0048;0.5;0.010810810810810811
94.0;39.0;75.0;184.0;72.0;8.0;155.0;42.0;19.0;133.0;175.0;365.0;145.0;70.0;4.0;5.0;192.0;200.0;0;0;pr_axis_aspect_ratio > 65.00 AND max_length_aspect_ratio <= 8.00 AND scatter_ratio > 147.00 AND scaled_variance_major <= 178.00 AND kurtosis_about_major <= 6.00;5;1.0;0.0106;1.0;0.05357142857142857
91.0;42.0;66.0;142.0;58.0;9.0;134.0;50.0;18.0;142.0;163.0;268.0;164.0;69.0;6.0;5.0;191.0;197.0;3;3;elongatedness > 46.00 AND max_length_aspect_ratio > 8.00 AND kurtosis_about_major <= 11.00 AND scaled_variance_major <= 178.00;4;1.0;0.0089;1.0;0.03680981595092025
100.0;43.0;92.0;197.0;62.0;10.0;180.0;36.0;21.0;143.0;200.0;489.0;153.0;64.0;6.0;9.0;195.0;205.0;2;2;elongatedness <= 43.00 AND skewness_about_major <= 67.00 AND max_length_aspect_ratio > 8.00 AND hollows_ratio > 201.00 AND max_length_rectangularity <= 146.00 AND 6.00 < kurtosis_about_major <= 11.00 AND skewness_about_minor <= 6.00 AND scatter_ratio <= 197.25 AND compactness > 93.00 AND distance_circularity > 80.00 AND scaled_variance_minor <= 584.50 AND scaled_variance_major > 167.00 AND scaled_radius_of_gyration > 148.75;13;0.9501466275659824;0.0013;1.0;0.012195121951219513
86.0;37.0;69.0;150.0;63.0;8.0;138.0;48.0;18.0;134.0;163.0;284.0;124.0;71.0;1.0;6.0;189.0;195.0;3;3;elongatedness > 43.00 AND max_length_aspect_ratio > 7.00 AND kurtosis_about_major <= 11.00 AND hollows_ratio > 191.00 AND scaled_variance_minor <= 319.00;5;0.9575289575289575;0.0482;0.9696969696969697;0.19631901840490798
107.0;57.0;102.0;184.0;55.0;7.0;234.0;28.0;26.0;171.0;243.0;822.0;229.0;77.0;7.0;11.0;187.0;187.0;0;0;max_length_aspect_ratio <= 7.00 AND skewness_about_major > 75.00 AND radius_ratio > 168.00;3;1.0;0.0305;1.0;0.13095238095238096
86.0;46.0;70.0;149.0;65.0;8.0;149.0;45.0;19.0;146.0;170.0;331.0;185.0;77.0;6.0;6.0;183.0;188.0;0;0;max_length_aspect_ratio <= 8.00 AND skewness_about_major > 75.00 AND pr_axis_aspect_ratio > 61.00 AND kurtosis_about_major <= 6.00;4;1.0;0.0067;1.0;0.03571428571428571
98.0;39.0;68.0;121.0;49.0;7.0;134.0;51.0;18.0;142.0;164.0;261.0;134.0;75.0;4.0;1.0;186.0;186.0;3;3;elongatedness > 43.00 AND compactness > 93.00 AND max_length_rectangularity > 136.00 AND scaled_variance_minor <= 319.00 AND scaled_variance_major <= 167.00 AND scaled_radius_of_gyration <= 148.75;6;0.9814814814814815;0.0075;1.0;0.03680981595092025
98.0;51.0;84.0;207.0;72.0;7.0;184.0;35.0;21.0;161.0;199.0;520.0;198.0;72.0;9.0;11.0;196.0;199.0;0;0;max_length_aspect_ratio <= 7.00 AND pr_axis_aspect_ratio > 65.00 AND skewness_about_major > 71.00 AND kurtosis_about_minor > 193.25;4;1.0;0.0184;1.0;0.07738095238095238
95.0;53.0;95.0;202.0;65.0;10.0;193.0;34.0;22.0;160.0;220.0;559.0;237.0;71.0;3.0;2.0;188.0;196.0;2;2;elongatedness <= 43.00 AND skewness_about_major <= 71.00 AND scaled_radius_of_gyration > 198.00 AND compactness > 93.00 AND max_length_aspect_ratio > 8.00 AND scaled_variance_minor <= 584.50 AND max_length_rectangularity <= 160.00 AND distance_circularity > 80.00 AND scatter_ratio <= 197.25 AND 2.00 < skewness_about_minor <= 6.00 AND pr_axis_aspect_ratio > 57.00 AND kurtosis_about_minor > 184.00;12;0.9506172839506173;0.0009;1.0;0.012195121951219513
85.0;40.0;75.0;137.0;56.0;7.0;152.0;44.0;19.0;134.0;173.0;339.0;160.0;76.0;7.0;16.0;182.0;187.0;2;2;max_length_rectangularity <= 136.00 AND distance_circularity > 70.00 AND pr_axis_aspect_ratio <= 61.00 AND elongatedness > 33.00 AND scatter_ratio > 147.00 AND 6.00 < kurtosis_about_major <= 19.00 AND circularity <= 40.00 AND skewness_about_major > 75.00 AND 167.00 < scaled_variance_major <= 217.00 AND 148.75 < scaled_radius_of_gyration <= 174.00 AND max_length_aspect_ratio <= 7.00 AND skewness_about_minor <= 9.00;12;0.9551724137931035;0.0013;1.0;0.012195121951219513
94.0;36.0;66.0;151.0;61.0;8.0;133.0;50.0;18.0;135.0;154.0;265.0;119.0;62.0;9.0;3.0;201.0;208.0;3;3;elongatedness > 43.00 AND max_length_aspect_ratio > 7.00 AND kurtosis_about_major <= 19.00 AND scatter_ratio <= 147.00 AND kurtosis_about_minor > 184.00;5;0.9641693811074918;0.0698;0.9583333333333334;0.2822085889570552
103.0;56.0;105.0;183.0;59.0;10.0;210.0;32.0;24.0;173.0;217.0;648.0;218.0;72.0;13.0;22.0;188.0;196.0;1;1;scaled_variance_minor > 584.50 AND kurtosis_about_major > 19.00 AND pr_axis_aspect_ratio <= 61.00 AND elongatedness <= 33.00 AND 191.00 < hollows_ratio <= 197.00 AND max_length_aspect_ratio > 7.00 AND 71.00 < skewness_about_major <= 75.00 AND scaled_variance_major <= 217.00;8;0.9731182795698925;0.0015;1.0;0.010810810810810811
86.0;44.0;65.0;129.0;56.0;6.0;152.0;45.0;19.0;150.0;168.0;331.0;177.0;83.0;4.0;13.0;178.0;183.0;0;0;max_length_aspect_ratio <= 7.00 AND skewness_about_major > 75.00 AND scaled_variance_major > 167.00 AND distance_circularity <= 70.00;4;0.9549763033175356;0.0349;0.9166666666666666;0.13095238095238096
96.0;44.0;85.0;166.0;66.0;10.0;155.0;43.0;19.0;150.0;167.0;355.0;159.0;67.0;3.0;10.0;192.0;202.0;3;3;max_length_rectangularity > 136.00 AND scaled_variance_major <= 167.00 AND max_length_aspect_ratio > 7.00;3;0.9692307692307692;0.054;0.918918918918919;0.2085889570552147
80.0;36.0;69.0;127.0;56.0;7.0;128.0;53.0;18.0;124.0;147.0;240.0;133.0;70.0;2.0;21.0;183.0;191.0;1;1;compactness <= 87.00 AND kurtosis_about_major > 19.00 AND max_length_rectangularity <= 136.00 AND skewness_about_major <= 71.00 AND pr_axis_aspect_ratio <= 57.00;5;0.7772096420745069;0.0078;0.7142857142857143;0.02702702702702703
107.0;53.0;108.0;211.0;63.0;11.0;219.0;31.0;25.0;168.0;228.0;704.0;198.0;69.0;10.0;21.0;190.0;203.0;2;2;elongatedness <= 33.00 AND 67.00 < skewness_about_major <= 71.00 AND max_length_aspect_ratio > 8.00 AND hollows_ratio > 201.00 AND compactness > 100.00 AND kurtosis_about_major > 19.00 AND scaled_radius_of_gyration <= 198.00 AND kurtosis_about_minor <= 193.25;8;0.960919540229885;0.0034;1.0;0.018292682926829267
108.0;53.0;104.0;181.0;56.0;11.0;220.0;31.0;25.0;167.0;226.0;712.0;214.0;72.0;15.0;18.0;189.0;199.0;2;2;elongatedness <= 33.00 AND skewness_about_minor > 9.00 AND compactness > 100.00 AND hollows_ratio > 197.00 AND max_length_aspect_ratio > 10.00 AND kurtosis_about_major > 6.00 AND skewness_about_major > 71.00 AND kurtosis_about_minor <= 193.25 AND radius_ratio <= 196.00;9;0.9717741935483871;0.0065;1.0;0.024390243902439025
90.0;46.0;75.0;133.0;55.0;11.0;160.0;43.0;20.0;161.0;173.0;369.0;171.0;77.0;0.0;16.0;182.0;192.0;3;3;elongatedness > 33.00 AND max_length_aspect_ratio > 8.00 AND scaled_variance_major <= 178.00 AND max_length_rectangularity > 160.00 AND compactness > 87.00;5;0.9566395663956639;0.0177;1.0;0.0736196319018405
81.0;46.0;71.0;141.0;61.0;7.0;153.0;44.0;19.0;148.0;177.0;347.0;190.0;80.0;1.0;14.0;182.0;187.0;0;0;max_length_aspect_ratio <= 7.00 AND skewness_about_major > 75.00 AND scaled_radius_of_gyration > 174.00 AND pr_axis_rectangularity <= 19.00;4;0.9751131221719457;0.0303;0.9545454545454546;0.125
86.0;42.0;64.0;122.0;54.0;6.0;148.0;46.0;19.0;143.0;170.0;319.0;171.0;87.0;1.0;3.0;179.0;182.0;0;0;max_length_aspect_ratio <= 7.00 AND skewness_about_major > 75.00 AND scaled_variance_major > 167.00 AND distance_circularity <= 70.00;4;0.9611307420494699;0.0367;0.9166666666666666;0.13095238095238096
80.0;43.0;71.0;133.0;60.0;7.0;150.0;45.0;19.0;146.0;170.0;330.0;176.0;81.0;6.0;15.0;180.0;184.0;0;0;max_length_aspect_ratio <= 7.00 AND skewness_about_major > 75.00 AND scaled_radius_of_gyration > 174.00 AND pr_axis_rectangularity <= 19.00;4;0.9728395061728395;0.0299;0.9545454545454546;0.125
103.0;50.0;98.0;212.0;63.0;9.0;193.0;34.0;22.0;161.0;214.0;567.0;185.0;64.0;5.0;5.0;198.0;204.0;1;1;scaled_variance_minor > 365.00 AND skewness_about_major <= 67.00 AND scatter_ratio > 157.00 AND pr_axis_aspect_ratio <= 65.00 AND scaled_variance_major > 178.00 AND kurtosis_about_major <= 6.00 AND 174.00 < scaled_radius_of_gyration <= 198.00 AND 7.00 < max_length_aspect_ratio <= 10.00 AND hollows_ratio > 191.00 AND circularity > 49.00 AND 70.00 < distance_circularity <= 98.00 AND kurtosis_about_minor > 193.25 AND radius_ratio > 168.00 AND elongatedness <= 43.00 AND skewness_about_minor <= 6.00 AND max_length_rectangularity > 160.00 AND pr_axis_rectangularity <= 23.00;17;0.9665071770334929;0.0013;1.0;0.010810810810810811
82.0;44.0;72.0;136.0;61.0;7.0;147.0;46.0;19.0;143.0;173.0;317.0;183.0;81.0;6.0;17.0;181.0;185.0;0;0;max_length_aspect_ratio <= 7.00 AND skewness_about_major > 75.00 AND scaled_variance_major > 167.00 AND hollows_ratio <= 191.00 AND skewness_about_minor <= 6.00;5;1.0;0.0552;1.0;0.23809523809523808
88.0;40.0;79.0;183.0;62.0;7.0;176.0;38.0;21.0;138.0;200.0;462.0;150.0;66.0;0.0;29.0;189.0;199.0;1;1;compactness <= 93.00 AND pr_axis_rectangularity > 20.00 AND skewness_about_major <= 67.00 AND pr_axis_aspect_ratio <= 65.00 AND 178.00 < scaled_variance_major <= 217.00 AND 191.00 < hollows_ratio <= 201.00 AND scaled_variance_minor > 365.00 AND 168.00 < radius_ratio <= 196.00 AND scatter_ratio > 157.00 AND kurtosis_about_minor <= 189.00 AND max_length_rectangularity > 136.00 AND kurtosis_about_major > 19.00 AND 70.00 < distance_circularity <= 98.00 AND max_length_aspect_ratio <= 8.00 AND scaled_radius_of_gyration <= 198.00;15;0.9366754617414248;0.0015;1.0;0.010810810810810811
90.0;36.0;85.0;184.0;64.0;6.0;160.0;41.0;20.0;125.0;187.0;385.0;139.0;66.0;9.0;31.0;195.0;203.0;2;2;max_length_rectangularity <= 136.00 AND distance_circularity > 80.00 AND hollows_ratio > 201.00 AND 57.00 < pr_axis_aspect_ratio <= 65.00 AND pr_axis_rectangularity > 19.00 AND scatter_ratio > 147.00 AND compactness > 87.00 AND skewness_about_major <= 75.00 AND kurtosis_about_major > 19.00 AND elongatedness > 33.00 AND circularity <= 40.00 AND max_length_aspect_ratio <= 8.00 AND radius_ratio <= 196.00 AND scaled_variance_major <= 217.00 AND skewness_about_minor > 6.00;15;0.9723756906077348;0.0011;1.0;0.012195121951219513
104.0;49.0;89.0;168.0;54.0;4.0;212.0;31.0;24.0;153.0;238.0;682.0;198.0;78.0;1.0;23.0;190.0;189.0;0;0;max_length_aspect_ratio <= 7.00 AND skewness_about_major > 75.00 AND scaled_variance_major > 178.00 AND hollows_ratio <= 191.00;4;1.0;0.0375;1.0;0.15476190476190477
109.0;53.0;103.0;210.0;63.0;11.0;219.0;30.0;25.0;172.0;229.0;707.0;212.0;71.0;6.0;3.0;188.0;199.0;2;2;elongatedness <= 33.00 AND 67.00 < skewness_about_major <= 71.00 AND max_length_aspect_ratio > 10.00 AND 2.00 < skewness_about_minor <= 6.00 AND pr_axis_aspect_ratio > 61.00 AND compactness > 100.00 AND hollows_ratio > 197.00 AND scaled_radius_of_gyration > 198.00 AND kurtosis_about_minor <= 193.25;9;0.9317073170731708;0.0067;1.0;0.036585365853658534
104.0;54.0;91.0;209.0;67.0;11.0;218.0;31.0;24.0;170.0;223.0;697.0;196.0;74.0;4.0;21.0;187.0;196.0;1;1;scaled_variance_minor > 584.50 AND kurtosis_about_major > 19.00 AND scaled_radius_of_gyration <= 198.00 AND skewness_about_major <= 75.00 AND scaled_variance_major > 217.00 AND elongatedness <= 33.00 AND kurtosis_about_minor <= 189.00 AND max_length_aspect_ratio > 7.00 AND 191.00 < hollows_ratio <= 197.00;9;0.9627906976744186;0.0012;1.0;0.010810810810810811
101.0;56.0;101.0;231.0;72.0;10.0;217.0;31.0;24.0;171.0;232.0;698.0;216.0;72.0;2.0;6.0;187.0;197.0;2;1;scaled_variance_minor > 584.50 AND distance_circularity > 98.00 AND skewness_about_minor <= 6.00 AND hollows_ratio > 191.00 AND circularity > 44.00 AND scatter_ratio > 157.00 AND max_length_aspect_ratio <= 10.00 AND kurtosis_about_major <= 6.00;8;1.0;0.0147;1.0;0.05945945945945946
88.0;34.0;69.0;152.0;57.0;5.0;138.0;48.0;18.0;122.0;158.0;284.0;120.0;62.0;9.0;29.0;204.0;210.0;1;1;pr_axis_aspect_ratio <= 57.00 AND kurtosis_about_major > 19.00 AND compactness <= 93.00 AND skewness_about_major <= 67.00 AND max_length_aspect_ratio <= 7.00 AND 141.00 < radius_ratio <= 168.00 AND hollows_ratio > 191.00 AND skewness_about_minor > 6.00 AND kurtosis_about_minor > 193.25;9;0.8255481410867492;0.0034;1.0;0.016216216216216217
91.0;39.0;77.0;153.0;59.0;8.0;139.0;48.0;18.0;139.0;159.0;289.0;123.0;62.0;8.0;17.0;201.0;209.0;3;3;elongatedness > 46.00 AND max_length_aspect_ratio > 7.00 AND kurtosis_about_major <= 19.00 AND distance_circularity > 70.00 AND max_length_rectangularity > 136.00 AND scaled_variance_minor <= 319.00;6;0.9761904761904762;0.0119;1.0;0.05521472392638037
94.0;37.0;72.0;193.0;72.0;6.0;158.0;41.0;19.0;133.0;184.0;385.0;127.0;70.0;0.0;14.0;200.0;204.0;0;0;max_length_aspect_ratio <= 7.00 AND pr_axis_aspect_ratio > 65.00 AND kurtosis_about_minor > 193.25 AND max_length_rectangularity <= 136.00;4;1.0;0.0231;1.0;0.09523809523809523
103.0;41.0;83.0;194.0;63.0;9.0;175.0;38.0;21.0;142.0;199.0;455.0;138.0;65.0;7.0;30.0;197.0;206.0;1;1;scaled_variance_minor > 365.00 AND kurtosis_about_major > 19.00 AND scaled_radius_of_gyration <= 148.75 AND 61.00 < pr_axis_aspect_ratio <= 65.00 AND max_length_rectangularity <= 146.00 AND circularity <= 44.00 AND 33.00 < elongatedness <= 43.00 AND 178.00 < scaled_variance_major <= 217.00 AND 19.00 < pr_axis_rectangularity <= 23.00 AND 70.00 < distance_circularity <= 98.00 AND 7.00 < max_length_aspect_ratio <= 10.00 AND 168.00 < radius_ratio <= 196.00 AND 157.00 < scatter_ratio <= 197.25 AND skewness_about_minor <= 9.00 AND skewness_about_major <= 67.00 AND kurtosis_about_minor > 193.25;16;0.8096135721017907;0.0054;1.0;0.021621621621621623
115.0;51.0;100.0;201.0;60.0;12.0;196.0;34.0;23.0;162.0;207.0;573.0;184.0;62.0;22.0;1.0;198.0;208.0;2;2;elongatedness <= 43.00 AND skewness_about_major <= 71.00 AND compactness > 100.00 AND skewness_about_minor > 9.00 AND hollows_ratio > 201.00 AND max_length_aspect_ratio > 10.00 AND 319.00 < scaled_variance_minor <= 584.50 AND max_length_rectangularity > 146.00 AND kurtosis_about_major <= 11.00 AND scaled_radius_of_gyration > 174.00 AND scatter_ratio <= 197.25 AND 19.00 < pr_axis_rectangularity <= 23.00 AND distance_circularity > 98.00 AND circularity > 44.00 AND 178.00 < scaled_variance_major <= 217.00 AND kurtosis_about_minor > 184.00 AND pr_axis_aspect_ratio > 57.00 AND radius_ratio > 141.00;18;0.9605911330049262;0.0033;1.0;0.018292682926829267
104.0;55.0;107.0;222.0;68.0;11.0;218.0;31.0;24.0;173.0;232.0;703.0;229.0;71.0;3.0;10.0;188.0;199.0;2;2;elongatedness <= 33.00 AND 67.00 < skewness_about_major <= 71.00 AND max_length_aspect_ratio > 10.00 AND pr_axis_aspect_ratio > 65.00 AND compactness > 100.00 AND hollows_ratio > 197.00 AND distance_circularity > 98.00 AND 6.00 < kurtosis_about_major <= 11.00 AND kurtosis_about_minor <= 193.25 AND skewness_about_minor > 2.00;10;0.9467084639498433;0.002;1.0;0.012195121951219513
98.0;46.0;88.0;191.0;63.0;6.0;192.0;34.0;22.0;147.0;215.0;563.0;174.0;73.0;2.0;26.0;194.0;197.0;0;0;max_length_aspect_ratio <= 7.00 AND pr_axis_aspect_ratio > 61.00 AND skewness_about_major > 71.00 AND kurtosis_about_minor > 193.25;4;1.0;0.022;1.0;0.09523809523809523
78.0;36.0;60.0;116.0;56.0;6.0;123.0;55.0;17.0;124.0;141.0;221.0;121.0;78.0;3.0;16.0;178.0;185.0;1;1;compactness <= 87.00 AND 11.00 < kurtosis_about_major <= 19.00 AND max_length_rectangularity <= 136.00 AND pr_axis_aspect_ratio <= 57.00 AND 2.00 < skewness_about_minor <= 6.00 AND scaled_radius_of_gyration <= 148.75 AND max_length_aspect_ratio <= 8.00 AND pr_axis_rectangularity <= 19.00 AND scaled_variance_major <= 167.00 AND scaled_variance_minor <= 584.50 AND scatter_ratio <= 197.25 AND elongatedness > 33.00 AND distance_circularity <= 98.00 AND circularity <= 40.00;14;0.7545375972342264;0.0018;1.0;0.010810810810810811
101.0;53.0;91.0;194.0;65.0;6.0;204.0;32.0;23.0;161.0;231.0;636.0;214.0;78.0;5.0;14.0;192.0;192.0;0;0;max_length_aspect_ratio <= 7.00 AND skewness_about_major > 75.00 AND kurtosis_about_minor > 189.00;3;1.0;0.0068;1.0;0.041666666666666664
90.0;49.0;83.0;187.0;63.0;7.0;176.0;37.0;21.0;154.0;205.0;467.0;222.0;70.0;1.0;2.0;189.0;195.0;2;2;elongatedness <= 43.00 AND 67.00 < skewness_about_major <= 71.00 AND scaled_radius_of_gyration > 198.00 AND compactness > 87.00 AND 146.00 < max_length_rectangularity <= 160.00 AND pr_axis_aspect_ratio <= 65.00 AND distance_circularity > 80.00 AND circularity <= 49.00 AND hollows_ratio > 191.00 AND scaled_variance_minor <= 584.50 AND kurtosis_about_minor <= 189.00 AND scaled_variance_major <= 217.00 AND skewness_about_minor <= 6.00;13;0.9744680851063829;0.0011;1.0;0.012195121951219513
95.0;47.0;81.0;176.0;59.0;7.0;168.0;39.0;20.0;152.0;196.0;425.0;185.0;67.0;4.0;4.0;191.0;198.0;2;2;elongatedness <= 43.00 AND skewness_about_major <= 67.00 AND distance_circularity > 80.00 AND max_length_aspect_ratio <= 7.00;4;0.9836065573770492;0.0047;1.0;0.03048780487804878
