state;account_length;area_code;phone_number;international_plan;voice_mail_plan;number_vmail_messages;total_day_minutes;total_day_calls;total_day_charge;total_eve_minutes;total_eve_calls;total_eve_charge;total_night_minutes;total_night_calls;total_night_charge;total_intl_minutes;total_intl_calls;total_intl_charge;number_customer_service_calls;target;prediction;anchor_rule;anchor_rule_len;anchor_precision;anchor_coverage;anchor_precision_correct;anchor_coverage_correct
50.0;87.0;415.0;1365.0;0.0;0.0;0.0;151.0;83.0;25.67;219.7;116.0;18.67;203.9;127.0;9.18;9.7;3.0;2.62;5.0;1;1;number_customer_service_calls > 2.00 AND 143.67 < total_day_minutes <= 179.70 AND 17.09 < total_eve_charge <= 19.85 AND 199.70 < total_night_minutes <= 234.90 AND 1258.75 < phone_number <= 2516.50 AND total_intl_calls <= 3.00 AND 166.60 < total_eve_minutes <= 233.50 AND total_night_calls > 113.00 AND 8.50 < total_intl_minutes <= 10.30 AND 24.43 < total_day_charge <= 30.55 AND 73.00 < account_length <= 100.00 AND total_day_calls <= 88.00 AND voice_mail_plan <= 0.00 AND state > 39.00 AND total_intl_charge > 2.30 AND 7.48 < total_night_charge <= 10.57 AND area_code > 408.00;17;0.8643326039387309;0.0002;1.0;0.0037313432835820895
47.0;70.0;415.0;19.0;0.0;0.0;0.0;229.3;110.0;38.98;118.2;89.0;10.05;155.0;105.0;6.98;7.9;4.0;2.13;1.0;0;0;total_eve_minutes <= 166.60 AND number_customer_service_calls <= 2.00;2;0.957286432160804;0.2001;0.9473684210526315;0.2181188690132718
46.0;122.0;415.0;3078.0;0.0;0.0;0.0;136.7;115.0;23.24;243.1;137.0;20.66;188.9;110.0;8.5;8.6;4.0;2.32;0.0;0;0;total_day_minutes <= 215.60 AND number_customer_service_calls <= 2.00;2;0.9604221635883905;0.596;0.9483627204030227;0.6517599538372764
44.0;180.0;510.0;2772.0;0.0;0.0;0.0;253.9;69.0;43.16;184.2;138.0;15.66;174.3;83.0;7.84;0.4;7.0;0.11;1.0;0;0;total_eve_minutes <= 201.00 AND number_customer_service_calls <= 1.00 AND total_intl_calls > 4.00;3;0.9737991266375546;0.1125;0.9437229437229437;0.1257934218118869
12.0;93.0;408.0;1890.0;0.0;0.0;0.0;198.1;93.0;33.68;236.1;95.0;20.07;127.3;121.0;5.73;12.6;4.0;3.4;2.0;0;0;179.70 < total_day_minutes <= 215.60;1;0.9846938775510204;0.2547;0.938185443668993;0.27149451817657244
14.0;142.0;415.0;4702.0;0.0;0.0;0.0;84.8;95.0;14.42;136.7;63.0;11.62;250.5;148.0;11.27;14.2;6.0;3.83;2.0;0;0;total_day_minutes <= 215.60 AND number_customer_service_calls <= 2.00;2;0.9575856443719413;0.5914;0.9483627204030227;0.6517599538372764
15.0;98.0;408.0;2525.0;0.0;1.0;21.0;64.6;98.0;10.98;176.1;86.0;14.97;244.8;84.0;11.02;0.0;0.0;0.0;2.0;0;0;voice_mail_plan > 0.00;1;0.9577039274924471;0.2615;0.931261770244821;0.28534333525678013
9.0;106.0;408.0;2995.0;0.0;1.0;32.0;165.9;126.0;28.2;216.5;93.0;18.4;173.1;86.0;7.79;14.1;8.0;3.81;4.0;0;0;143.67 < total_day_minutes <= 179.70 AND international_plan <= 0.00;2;0.9515477792732167;0.232;0.9302325581395349;0.2423542989036353
13.0;68.0;415.0;1943.0;0.0;0.0;0.0;186.5;108.0;31.71;190.2;107.0;16.17;187.8;103.0;8.45;11.0;5.0;2.97;1.0;0;0;number_customer_service_calls <= 2.00 AND total_day_charge <= 36.65 AND international_plan <= 0.00;3;0.97252208047105;0.5441;0.9756992205410362;0.6139642238892095
46.0;105.0;415.0;4338.0;0.0;0.0;0.0;204.6;111.0;34.78;134.4;109.0;11.42;260.8;69.0;11.74;5.7;7.0;1.54;1.0;0;0;total_eve_minutes <= 166.60 AND international_plan <= 0.00;2;0.9535160905840286;0.2219;0.9372937293729373;0.24581650317368725
21.0;52.0;510.0;2785.0;0.0;0.0;0.0;129.3;80.0;21.98;142.7;101.0;12.13;258.3;89.0;11.62;12.3;4.0;3.32;3.0;0;0;total_day_minutes <= 179.70 AND international_plan <= 0.00 AND total_night_minutes > 234.90;3;0.966996699669967;0.1122;0.9389978213507625;0.12435083669936527
4.0;125.0;510.0;2550.0;1.0;0.0;0.0;158.7;112.0;26.98;155.7;126.0;13.23;246.0;110.0;11.07;8.3;1.0;2.24;2.0;1;1;international_plan > 0.00 AND total_intl_calls <= 3.00 AND voice_mail_plan <= 0.00 AND total_night_minutes > 234.90 AND number_vmail_messages <= 0.00 AND state <= 13.00 AND 100.00 < account_length <= 127.00 AND total_night_calls > 100.00 AND number_customer_service_calls > 1.00 AND total_night_charge > 8.99 AND 88.00 < total_day_calls <= 113.00 AND total_eve_calls > 114.00 AND phone_number <= 3768.25 AND area_code > 408.00;14;0.8689320388349514;0.0004;1.0;0.0037313432835820895
11.0;108.0;415.0;3009.0;0.0;0.0;0.0;291.6;99.0;49.57;221.1;93.0;18.79;229.2;110.0;10.31;14.0;9.0;3.78;2.0;1;1;total_day_minutes > 215.60 AND total_eve_minutes > 201.00 AND voice_mail_plan <= 0.00 AND total_night_minutes > 199.70 AND total_intl_minutes > 12.10 AND total_day_charge > 36.65 AND state <= 13.00 AND total_night_calls > 100.00 AND 100.00 < account_length <= 127.00 AND total_intl_charge > 3.27 AND 8.99 < total_night_charge <= 10.57 AND number_customer_service_calls <= 2.00 AND 87.00 < total_eve_calls <= 101.00 AND 14.16 < total_eve_charge <= 19.85 AND 88.00 < total_day_calls <= 101.00 AND 1258.75 < phone_number <= 3768.25 AND number_vmail_messages <= 0.00 AND area_code <= 415.00 AND total_intl_calls > 3.00;19;0.8621212121212121;0.0003;1.0;0.0037313432835820895
42.0;3.0;510.0;4226.0;1.0;0.0;0.0;161.0;96.0;27.37;244.9;82.0;20.82;180.8;103.0;8.14;7.7;6.0;2.08;1.0;0;0;total_day_minutes <= 215.60 AND number_customer_service_calls <= 2.00;2;0.9547738693467337;0.5925;0.9483627204030227;0.6517599538372764
3.0;138.0;415.0;899.0;0.0;0.0;0.0;240.8;104.0;40.94;144.5;92.0;12.28;125.7;98.0;5.66;11.6;1.0;3.13;0.0;0;0;total_eve_minutes <= 201.00 AND number_customer_service_calls <= 2.00 AND international_plan <= 0.00;3;0.964221824686941;0.3516;0.9587123862841148;0.395268320830929
49.0;23.0;510.0;3748.0;0.0;1.0;31.0;156.6;84.0;26.62;161.5;96.0;13.73;294.6;107.0;13.26;9.4;6.0;2.54;1.0;0;0;voice_mail_plan > 0.00 AND number_customer_service_calls <= 1.00;2;0.9733333333333334;0.1588;0.9581993569131833;0.17195614541257934
50.0;140.0;408.0;2784.0;0.0;0.0;0.0;151.5;106.0;25.76;175.7;125.0;14.93;214.1;87.0;9.63;12.4;9.0;3.35;3.0;0;0;total_day_minutes <= 215.60 AND international_plan <= 0.00 AND total_intl_calls > 6.00;3;0.9758064516129032;0.1212;0.9611231101511879;0.12839007501442584
17.0;73.0;510.0;2603.0;0.0;0.0;0.0;234.7;102.0;39.9;195.7;110.0;16.63;253.4;71.0;11.4;8.4;8.0;2.27;2.0;0;0;number_customer_service_calls <= 2.00 AND total_eve_charge <= 17.09 AND international_plan <= 0.00;3;0.9595375722543352;0.3577;0.958041958041958;0.395268320830929
23.0;80.0;415.0;225.0;0.0;0.0;0.0;105.8;110.0;17.99;43.9;88.0;3.73;189.6;87.0;8.53;13.1;5.0;3.54;0.0;0;0;total_day_minutes <= 215.60 AND total_eve_minutes <= 166.60 AND number_customer_service_calls <= 1.00;3;0.98125;0.1046;0.9708029197080292;0.11511829197922678
43.0;50.0;408.0;154.0;0.0;1.0;31.0;302.7;93.0;51.46;240.5;119.0;20.44;193.9;103.0;8.73;13.6;14.0;3.67;3.0;0;0;voice_mail_plan > 0.00 AND total_day_minutes > 215.60;2;0.9863013698630136;0.0722;0.940959409594096;0.07357184073860358
25.0;107.0;510.0;1318.0;0.0;1.0;30.0;198.9;87.0;33.81;207.0;90.0;17.6;159.8;76.0;7.19;12.6;4.0;3.4;3.0;0;0;voice_mail_plan > 0.00 AND total_day_minutes > 179.70;2;0.9610705596107056;0.1328;0.9473684210526315;0.15060588574725908
23.0;103.0;415.0;3097.0;0.0;0.0;0.0;198.5;112.0;33.75;42.5;90.0;3.61;179.2;124.0;8.06;12.4;5.0;3.35;0.0;0;0;total_day_minutes <= 215.60 AND international_plan <= 0.00;2;0.9506680369989723;0.6862;0.936565803864382;0.741200230813618
36.0;101.0;408.0;4065.0;0.0;0.0;0.0;209.6;107.0;35.63;228.8;96.0;19.45;172.4;85.0;7.76;7.6;2.0;2.05;3.0;0;0;international_plan <= 0.00 AND 30.55 < total_day_charge <= 36.65;2;0.9766666666666667;0.2366;0.961081081081081;0.25649163300634736
25.0;70.0;510.0;2558.0;0.0;0.0;0.0;147.1;105.0;25.01;200.0;135.0;17.0;234.9;65.0;10.57;12.5;9.0;3.38;3.0;0;0;total_day_minutes <= 215.60 AND total_intl_calls > 6.00;2;0.9705882352941176;0.1251;0.9367588932806324;0.13675706866705137
6.0;34.0;510.0;3252.0;0.0;1.0;26.0;193.4;91.0;32.88;198.3;94.0;16.86;257.2;94.0;11.57;9.5;5.0;2.57;2.0;0;0;voice_mail_plan > 0.00 AND number_customer_service_calls <= 2.00;2;0.9561128526645768;0.2221;0.9559164733178654;0.23773802654356607
44.0;68.0;415.0;4007.0;0.0;0.0;0.0;213.9;112.0;36.36;260.5;100.0;22.14;233.8;97.0;10.52;8.4;3.0;2.27;1.0;1;1;total_eve_minutes > 233.50 AND total_day_minutes > 179.70 AND voice_mail_plan <= 0.00 AND 199.70 < total_night_minutes <= 234.90 AND total_intl_calls <= 3.00 AND 101.00 < total_day_calls <= 113.00 AND state > 26.00 AND number_customer_service_calls <= 1.00 AND total_day_charge > 24.43 AND 87.00 < total_eve_calls <= 114.00 AND 408.00 < area_code <= 415.00 AND total_night_charge > 8.99 AND number_vmail_messages <= 0.00 AND account_length <= 100.00;14;0.5810502283105022;0.0009;1.0;0.005597014925373134
46.0;128.0;408.0;874.0;0.0;0.0;0.0;227.9;130.0;38.74;302.6;71.0;25.72;191.5;82.0;8.62;5.5;7.0;1.49;1.0;1;1;total_day_minutes > 215.60 AND total_eve_charge > 19.85 AND voice_mail_plan <= 0.00 AND total_eve_minutes > 201.00 AND total_night_charge > 7.48 AND phone_number <= 1258.75 AND total_night_minutes > 166.30 AND state > 39.00 AND account_length > 127.00 AND number_customer_service_calls <= 1.00 AND total_day_calls > 113.00 AND number_vmail_messages <= 0.00 AND total_night_calls <= 87.00 AND total_intl_charge <= 2.78 AND total_eve_calls <= 87.00 AND area_code <= 415.00 AND total_intl_minutes <= 12.10 AND international_plan <= 0.00;18;0.9329758713136729;0.0005;1.0;0.0037313432835820895
46.0;95.0;510.0;2628.0;1.0;1.0;41.0;136.8;91.0;23.26;200.8;61.0;17.07;133.7;67.0;6.02;10.3;9.0;2.78;5.0;1;1;international_plan > 0.00 AND number_customer_service_calls > 2.00 AND total_day_minutes <= 143.67 AND 8.50 < total_intl_minutes <= 10.30 AND total_eve_minutes <= 201.00 AND 88.00 < total_day_calls <= 101.00 AND total_day_charge <= 24.43 AND account_length <= 100.00 AND phone_number > 2516.50 AND total_night_minutes <= 199.70 AND total_night_charge <= 8.99 AND total_intl_charge <= 3.27 AND state > 13.00 AND voice_mail_plan <= 1.00 AND total_eve_calls <= 114.00 AND total_night_calls <= 113.00;16;0.8206214689265536;0.0002;1.0;0.0037313432835820895
22.0;164.0;415.0;312.0;0.0;0.0;0.0;215.6;90.0;36.65;171.6;99.0;14.59;110.4;105.0;4.97;11.3;6.0;3.05;1.0;0;0;total_day_minutes <= 215.60 AND international_plan <= 0.00;2;0.9551820728291317;0.6906;0.936565803864382;0.741200230813618
1.0;70.0;415.0;958.0;0.0;0.0;0.0;230.3;110.0;39.15;77.9;87.0;6.62;247.1;105.0;11.12;13.2;4.0;3.56;1.0;0;0;total_eve_minutes <= 166.60 AND account_length <= 73.00;2;0.96875;0.0635;0.8996138996138996;0.06722446624350836
48.0;63.0;510.0;1412.0;0.0;1.0;13.0;214.2;61.0;36.41;181.2;88.0;15.4;174.0;68.0;7.83;10.3;2.0;2.78;0.0;0;0;voice_mail_plan > 0.00 AND number_customer_service_calls <= 1.00;2;0.9672131147540983;0.1577;0.9581993569131833;0.17195614541257934
7.0;53.0;415.0;2593.0;0.0;1.0;22.0;76.1;115.0;12.94;171.2;119.0;14.55;246.3;126.0;11.08;6.0;2.0;1.62;0.0;0;0;voice_mail_plan > 0.00 AND number_customer_service_calls <= 1.00;2;0.967741935483871;0.1609;0.9581993569131833;0.17195614541257934
24.0;87.0;510.0;3893.0;0.0;0.0;0.0;261.0;83.0;44.37;144.2;95.0;12.26;284.4;119.0;12.8;16.3;1.0;4.4;4.0;0;0;total_eve_minutes <= 166.60 AND international_plan <= 0.00;2;0.9615384615384616;0.2253;0.9372937293729373;0.24581650317368725
30.0;95.0;408.0;3839.0;1.0;0.0;0.0;228.9;134.0;38.91;255.7;71.0;21.73;208.0;120.0;9.36;10.1;2.0;2.73;4.0;1;1;international_plan > 0.00 AND total_intl_calls <= 3.00 AND total_day_minutes > 215.60 AND total_eve_minutes > 233.50 AND voice_mail_plan <= 0.00 AND total_night_minutes > 199.70 AND account_length <= 127.00 AND total_intl_minutes > 8.50;8;0.95;0.0008;1.0;0.005597014925373134
49.0;143.0;510.0;1173.0;0.0;0.0;0.0;202.8;109.0;34.48;165.8;104.0;14.09;143.9;71.0;6.48;4.6;4.0;1.24;1.0;0;0;total_day_minutes <= 215.60 AND number_customer_service_calls <= 2.00;2;0.9546165884194053;0.5982;0.9483627204030227;0.6517599538372764
34.0;144.0;408.0;1719.0;0.0;0.0;0.0;61.6;117.0;10.47;77.1;85.0;6.55;173.0;99.0;7.79;8.2;7.0;2.21;4.0;1;1;number_customer_service_calls > 2.00 AND total_day_minutes <= 143.67 AND total_eve_minutes <= 166.60 AND total_night_calls <= 100.00 AND total_eve_calls <= 87.00 AND account_length > 127.00 AND total_eve_charge <= 14.16 AND total_day_charge <= 30.55 AND total_day_calls > 88.00 AND area_code <= 408.00;10;0.7046548956661316;0.0005;1.0;0.0037313432835820895
38.0;88.0;415.0;3603.0;0.0;0.0;0.0;158.2;130.0;26.89;234.6;91.0;19.94;291.0;117.0;13.1;12.9;3.0;3.48;2.0;0;0;international_plan <= 0.00 AND total_day_charge <= 36.65;2;0.9547169811320755;0.679;0.936565803864382;0.741200230813618
19.0;98.0;415.0;4527.0;0.0;0.0;0.0;182.6;76.0;31.04;145.2;75.0;12.34;162.6;127.0;7.32;12.0;1.0;3.24;6.0;1;1;number_customer_service_calls > 2.00 AND total_intl_calls <= 3.00 AND total_night_calls > 113.00 AND 13.00 < state <= 26.00 AND voice_mail_plan <= 0.00 AND total_eve_calls <= 87.00 AND total_night_minutes <= 166.30 AND total_eve_minutes <= 166.60 AND 30.55 < total_day_charge <= 36.65 AND 408.00 < area_code <= 415.00 AND 143.67 < total_day_minutes <= 215.60 AND 2.78 < total_intl_charge <= 3.27 AND number_vmail_messages <= 0.00 AND total_night_charge <= 7.48 AND total_intl_minutes > 10.30 AND account_length > 73.00 AND total_eve_charge <= 19.85 AND total_day_calls <= 113.00 AND phone_number > 2516.50;19;0.6627906976744186;0.0003;1.0;0.0037313432835820895
21.0;137.0;510.0;2167.0;0.0;0.0;0.0;110.5;79.0;18.79;223.2;111.0;18.97;169.5;64.0;7.63;10.5;3.0;2.84;3.0;0;0;total_day_minutes <= 215.60 AND international_plan <= 0.00 AND total_intl_charge > 2.78;3;0.9515570934256056;0.3505;0.9355311355311355;0.36843623773802653
33.0;109.0;408.0;4229.0;0.0;1.0;39.0;270.0;58.0;45.9;235.5;108.0;20.02;194.3;57.0;8.74;7.8;6.0;2.11;1.0;1;1;total_day_minutes > 215.60 AND total_eve_minutes > 233.50 AND 166.30 < total_night_minutes <= 199.70 AND total_night_calls <= 113.00 AND area_code <= 408.00 AND number_customer_service_calls <= 2.00 AND total_day_charge > 36.65 AND total_eve_calls > 101.00 AND voice_mail_plan <= 1.00 AND 7.48 < total_night_charge <= 8.99 AND account_length > 100.00 AND 13.00 < state <= 39.00 AND total_intl_calls > 4.00 AND international_plan <= 0.00 AND total_intl_minutes <= 10.30 AND total_intl_charge <= 2.78 AND total_eve_charge > 19.85 AND total_day_calls <= 88.00 AND phone_number > 3768.25 AND number_vmail_messages > 17.00;20;0.8475073313782991;0.0003;1.0;0.0037313432835820895
33.0;90.0;415.0;3754.0;0.0;0.0;0.0;203.4;146.0;34.58;226.7;117.0;19.27;152.4;105.0;6.86;7.3;4.0;1.97;1.0;0;0;179.70 < total_day_minutes <= 215.60;1;0.9715447154471545;0.2442;0.938185443668993;0.27149451817657244
9.0;110.0;415.0;3718.0;0.0;0.0;0.0;242.5;110.0;41.23;162.3;140.0;13.8;184.1;86.0;8.28;7.8;3.0;2.11;4.0;0;0;total_eve_minutes <= 166.60 AND international_plan <= 0.00 AND total_day_minutes > 179.70;3;0.9594017094017094;0.1158;0.9534883720930233;0.13012117714945182
10.0;27.0;415.0;2707.0;0.0;1.0;32.0;190.3;97.0;32.35;279.0;77.0;23.72;133.8;117.0;6.02;8.4;3.0;2.27;2.0;0;0;total_day_minutes <= 215.60 AND number_customer_service_calls <= 2.00;2;0.9571428571428572;0.598;0.9483627204030227;0.6517599538372764
19.0;108.0;415.0;1055.0;0.0;0.0;0.0;178.3;137.0;30.31;189.0;76.0;16.07;129.1;102.0;5.81;14.6;5.0;3.94;0.0;0;0;total_intl_calls > 4.00 AND number_customer_service_calls <= 1.00 AND total_day_charge <= 36.65;3;0.9734513274336283;0.1713;0.9631728045325779;0.19619157530294287
10.0;136.0;415.0;3833.0;0.0;0.0;0.0;163.4;83.0;27.78;249.3;119.0;21.19;249.7;90.0;11.24;9.8;4.0;2.65;7.0;0;0;143.67 < total_day_minutes <= 215.60 AND international_plan <= 0.00;2;0.9591836734693877;0.4526;0.9458128078817734;0.49855741488747835
49.0;70.0;415.0;3909.0;0.0;0.0;0.0;214.8;87.0;36.52;131.0;114.0;11.14;216.9;104.0;9.76;9.4;3.0;2.54;3.0;0;0;total_eve_minutes <= 166.60 AND international_plan <= 0.00 AND total_day_minutes > 179.70;3;0.9662447257383966;0.1169;0.9534883720930233;0.13012117714945182
38.0;92.0;415.0;4310.0;1.0;0.0;0.0;255.8;125.0;43.49;142.7;111.0;12.13;181.2;101.0;8.15;11.7;3.0;3.16;0.0;0;0;total_eve_minutes <= 166.60 AND number_customer_service_calls <= 1.00;2;0.9696969696969697;0.14;0.9541446208112875;0.15608770917484133
28.0;71.0;510.0;2414.0;0.0;0.0;0.0;238.0;82.0;40.46;278.5;94.0;23.67;193.1;134.0;8.69;11.8;10.0;3.19;0.0;1;1;total_day_minutes > 215.60 AND total_eve_minutes > 233.50 AND voice_mail_plan <= 0.00 AND total_night_minutes > 166.30 AND phone_number <= 2516.50 AND total_intl_minutes > 10.30 AND account_length <= 73.00 AND area_code > 415.00 AND 87.00 < total_eve_calls <= 114.00 AND number_customer_service_calls <= 2.00 AND international_plan <= 0.00 AND total_day_calls <= 88.00 AND total_night_calls > 100.00;13;0.97;0.0003;1.0;0.0037313432835820895
23.0;138.0;510.0;2221.0;0.0;0.0;0.0;54.8;123.0;9.32;147.5;76.0;12.54;173.6;119.0;7.81;11.5;1.0;3.11;1.0;0;0;number_customer_service_calls <= 1.00 AND total_day_charge <= 24.43;2;0.967551622418879;0.14;0.9587073608617595;0.15406809001731103
50.0;88.0;408.0;4468.0;0.0;0.0;0.0;166.4;97.0;28.29;186.7;118.0;15.87;251.6;89.0;11.32;14.5;4.0;3.92;0.0;0;0;total_eve_minutes <= 201.00 AND number_customer_service_calls <= 2.00;2;0.9609507640067911;0.3893;0.9282539682539682;0.4218118869013272
37.0;132.0;510.0;1378.0;0.0;0.0;0.0;191.9;107.0;32.62;206.9;127.0;17.59;272.0;88.0;12.24;12.6;2.0;3.4;1.0;0;0;total_day_minutes <= 215.60 AND international_plan <= 0.00;2;0.9594202898550724;0.6754;0.936565803864382;0.741200230813618
8.0;90.0;415.0;1458.0;0.0;0.0;0.0;198.5;124.0;33.75;266.6;100.0;22.66;243.3;80.0;10.95;8.0;7.0;2.16;2.0;0;0;total_day_minutes <= 215.60 AND number_customer_service_calls <= 2.00 AND international_plan <= 0.00;3;0.9778449144008057;0.5458;0.9756992205410362;0.6139642238892095
46.0;67.0;408.0;577.0;0.0;1.0;33.0;127.5;126.0;21.68;296.1;129.0;25.17;200.9;91.0;9.04;13.0;3.0;3.51;1.0;0;0;total_day_minutes <= 215.60 AND number_customer_service_calls <= 2.00;2;0.9527687296416938;0.5946;0.9483627204030227;0.6517599538372764
23.0;173.0;510.0;2348.0;0.0;0.0;0.0;291.8;143.0;49.61;214.3;134.0;18.22;151.2;119.0;6.8;9.9;2.0;2.67;0.0;1;1;total_day_minutes > 215.60 AND total_eve_minutes > 201.00 AND voice_mail_plan <= 0.00 AND total_day_calls > 113.00 AND account_length > 127.00 AND total_intl_calls <= 3.00 AND 1258.75 < phone_number <= 2516.50 AND 13.00 < state <= 26.00 AND total_intl_minutes > 8.50 AND total_night_calls > 113.00 AND total_eve_calls > 114.00 AND area_code > 415.00 AND total_intl_charge <= 3.27 AND number_vmail_messages <= 0.00 AND total_day_charge > 36.65 AND number_customer_service_calls <= 2.00 AND total_eve_charge <= 19.85;17;0.7813807531380753;0.0004;1.0;0.0037313432835820895
33.0;53.0;415.0;14.0;0.0;0.0;0.0;168.8;97.0;28.7;220.3;87.0;18.73;154.3;113.0;6.94;10.9;2.0;2.94;0.0;0;0;number_customer_service_calls <= 2.00 AND total_night_minutes <= 166.30;2;0.9624413145539906;0.1951;0.9272030651340997;0.20946335833814195
