V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19;V20;V21;V22;V23;V24;V25;V26;V27;V28;V29;V30;V31;V32;V33;V34;V35;V36;V37;V38;V39;V40;V41;target;prediction;anchor_rule;anchor_rule_len;anchor_precision;anchor_coverage;anchor_precision_correct;anchor_coverage_correct
5.994;2.4353;7.0;0.0;0.0;3.0;0.0;45.5;0.0;0.0;0.0;0.425;4.296;0.768;11.48;0.0;1.071;1.095;0.0;0.0;0.0;1.384;6.0;0.0;1.0;0.0;2.799;0.0;0.0;0.0;0.955;4.0;0.0;0.0;0.0;4.407;2.58;0.0;9.865;0.0;7.0;0;0;V6 > 0.00 AND V22 > 1.30;2;1.0;0.0217;1.0;0.03119584055459272
4.412;3.4435;0.0;0.0;0.0;0.0;0.0;33.9;2.0;4.0;0.0;-0.268;4.587;4.437;10.757;8.0;0.974;1.137;0.0;0.0;0.0;1.208;0.0;0.0;0.0;0.0;2.086;0.0;0.0;23.892;17.114;0.0;0.0;0.0;0.0;3.395;1.899;0.0;9.075;0.0;0.0;1;1;V30 > 12.31 AND V36 <= 3.48 AND V34 <= 0.00;3;0.961100569259962;0.0192;1.0;0.06691449814126393
5.461;2.7306;0.0;0.0;7.0;2.0;0.0;29.4;4.0;0.0;5.0;0.0;3.2710000000000004;1.124;10.724;0.0;0.972;1.151;0.0;0.0;0.0;1.2;1.0;0.0;0.0;0.0;2.412;0.003;0.0;0.0;1.306;0.0;0.0;3.0;4.0;3.487;1.986;2.0;7.935;0.0;0.0;0;0;V6 > 0.00 AND V10 <= 0.00;2;1.0;0.0262;1.0;0.0415944540727903
4.412;3.7308;0.0;0.0;0.0;0.0;0.0;30.6;2.0;8.0;0.0;-0.5539999999999999;4.2010000000000005;3.774;10.379;8.0;1.002;1.144;0.0;0.0;0.0;1.146;0.0;0.0;0.0;0.0;2.085;0.0;0.0;23.21;10.723;0.0;0.0;0.0;0.0;3.397;2.311;0.0;8.752;0.0;0.0;1;1;V30 > 12.31 AND V36 <= 3.48 AND V1 <= 4.44;3;0.9651539708265803;0.0167;0.875;0.05204460966542751
5.13;3.5144;0.0;0.0;0.0;1.0;0.0;30.0;5.0;1.0;0.0;0.0;3.0610000000000004;1.761;10.106;1.0;0.972;1.145;0.0;0.0;0.0;1.2;0.0;0.0;0.0;0.0;2.175;-0.021;0.0;0.0;2.729;0.0;0.0;0.0;1.0;3.292;2.108;0.0;7.587000000000001;0.0;0.0;0;0;V6 > 0.00 AND V1 > 5.11;2;0.99;0.1211;0.9801980198019802;0.17157712305025996
5.175;3.9016;0.0;0.0;0.0;1.0;0.0;29.6;3.0;3.0;0.0;-0.239;3.227;1.859;10.165;3.0;1.002;1.146;0.0;0.0;0.0;1.146;0.0;0.0;0.0;0.0;2.175;0.0139999999999999;0.0;10.355;3.341;0.0;0.0;0.0;0.0;3.389;2.5380000000000003;0.0;7.979;0.0;0.0;1;0;V6 > 0.00 AND V1 > 5.11;2;0.9940119760479041;0.118;0.9801980198019802;0.17157712305025996
4.856;3.0864;2.0;0.0;0.0;0.0;3.0;42.1;0.0;3.0;0.0;-1.05;3.735;1.662;10.15;2.0;1.061;1.115;0.0;0.0;0.0;1.249;1.0;0.0;1.0;0.0;2.281;-0.002;0.0;10.157;2.83;0.0;3.0;0.0;1.0;4.009;2.991;0.0;9.053;0.0;2.0;0;0;V39 > 9.01 AND V25 > 0.00;2;1.0;0.0901;1.0;0.12998266897746968
4.828;3.3085;0.0;0.0;6.0;0.0;2.0;57.1;0.0;0.0;4.0;0.0;3.292;1.261;9.749;0.0;1.006;1.101;0.0;0.0;0.0;1.35;1.0;0.0;0.0;0.0;2.247;0.015;0.0;0.0;1.436;0.0;0.0;2.0;0.0;3.761;2.833;2.0;8.437000000000001;0.0;0.0;0;0;V38 > 1.00 AND V22 > 1.30;2;0.9920739762219286;0.0335;1.0;0.045060658578856154
5.665;2.2521;1.0;0.0;0.0;1.0;3.0;54.3;0.0;0.0;0.0;0.0;4.0;0.432;10.89;0.0;0.983;1.093;0.0;0.0;0.0;1.345;3.0;0.0;1.0;0.0;2.49;0.0;0.0;0.0;1.839;0.0;0.0;0.0;0.0;4.0;2.018;0.0;9.166;0.0;1.0;0;0;V6 > 0.00 AND V22 > 1.30;2;1.0;0.0235;1.0;0.03119584055459272
5.311;3.9327;0.0;0.0;0.0;1.0;0.0;29.0;4.0;2.0;0.0;0.0;3.168;1.823;10.13;6.0;0.984;1.147;0.0;0.0;0.0;1.137;0.0;0.0;0.0;0.0;2.255;0.012;0.0;0.0;2.301;0.0;0.0;0.0;2.0;3.3160000000000003;2.386;0.0;7.569;0.0;0.0;0;0;V6 > 0.00 AND V1 > 5.11;2;0.9829545454545454;0.1172;0.9801980198019802;0.17157712305025996
4.499;2.8945;1.0;0.0;0.0;0.0;1.0;46.7;1.0;0.0;0.0;0.0;3.185;1.125;9.311;0.0;0.991;1.107;0.0;0.0;0.0;1.3230000000000002;1.0;0.0;1.0;0.0;2.136;0.043;0.0;0.0;1.481;0.0;0.0;0.0;0.0;3.692;2.16;0.0;8.337;0.0;1.0;1;0;V7 > 0.00 AND V41 > 0.00;2;0.9856801909307876;0.1508;0.9919354838709677;0.21317157712305027
4.803;1.403;0.0;0.0;6.0;0.0;4.0;42.2;0.0;2.0;10.0;-0.069;4.134;0.477;10.907;6.0;1.003;1.127;0.0;0.0;0.0;1.215;4.0;0.0;0.0;0.0;2.356;0.0;0.0;23.374;5.207000000000001;0.0;2.0;4.0;2.0;3.729;2.26;4.0;9.22;0.0;0.0;0;0;V7 > 3.00;1;0.9765258215962441;0.1621;0.9712230215827338;0.2339688041594454
4.77;3.0499;1.0;0.0;0.0;0.0;2.0;47.4;1.0;0.0;0.0;1.0659999999999998;3.375;1.185;9.882;0.0;0.986;1.106;0.0;0.0;0.0;1.348;1.0;0.0;1.0;0.0;2.236;0.013;0.0;0.0;1.74;0.0;1.0;0.0;0.0;3.881;2.211;0.0;8.62;0.0;1.0;0;0;V7 > 1.00 AND V10 <= 0.00;2;0.9962358845671268;0.1287;0.9908256880733946;0.18717504332755633
5.02;1.5772;2.0;2.0;14.0;0.0;8.0;45.7;2.0;4.0;20.0;-2.182;4.79;0.774;11.501;6.0;1.018;1.118;0.0;0.0;0.0;1.289;4.0;0.0;1.0;0.0;2.393;0.0;0.0;49.391000000000005;7.983;0.0;6.0;18.0;2.0;4.005;2.543;6.0;9.977;0.0;2.0;0;0;V7 > 3.00;1;0.9686520376175548;0.1603;0.9712230215827338;0.2339688041594454
4.414;2.2808;0.0;0.0;0.0;0.0;0.0;35.3;0.0;1.0;0.0;0.4639999999999999;2.801;0.802;9.183;2.0;0.985;1.134;0.0;0.0;0.0;1.197;1.0;0.0;0.0;0.0;2.101;-0.069;0.0;10.463;0.975;0.0;0.0;0.0;0.0;3.344;2.31;0.0;7.446000000000001;0.0;0.0;1;1;V39 <= 7.97 AND V1 <= 4.44 AND V30 > 0.00 AND V38 <= 0.00;4;0.9939975990396158;0.0409;1.0;0.13382899628252787
5.2;3.1674;0.0;0.0;6.0;0.0;4.0;45.5;0.0;4.0;6.0;0.0;3.793;1.125;10.598;8.0;1.058;1.121;0.0;2.0;0.0;1.262;3.0;0.0;0.0;0.0;2.441;0.0;0.0;42.927;1.832;0.0;2.0;4.0;0.0;4.033;3.167;2.0;9.15;0.0;0.0;0;0;V7 > 3.00 AND V5 > 0.00;2;1.0;0.0887;1.0;0.12998266897746968
4.56;4.4123;0.0;0.0;0.0;0.0;0.0;33.3;4.0;4.0;0.0;-0.945;3.979;3.022;10.432;10.0;0.987;1.139;0.0;0.0;0.0;1.183;0.0;0.0;0.0;0.0;2.156;0.0;0.0;23.321;6.935;0.0;0.0;0.0;0.0;3.542;2.25;0.0;8.631;0.0;0.0;1;1;V30 > 12.31 AND V36 <= 3.72 AND V27 <= 2.26 AND V34 <= 0.00;4;0.9764595103578154;0.0388;1.0;0.11895910780669144
5.386;4.1216;0.0;0.0;9.0;1.0;4.0;33.3;3.0;4.0;8.0;0.0;4.091;1.7080000000000002;11.059;8.0;1.057;1.171;0.0;2.0;1.0;1.142;1.0;0.0;0.0;0.0;2.479;0.0;0.0;44.711000000000006;2.168;0.0;3.0;8.0;0.0;4.004;3.475;3.0;9.257;0.0;3.0;0;0;V7 > 3.00;1;0.9904153354632588;0.1695;0.9712230215827338;0.2339688041594454
4.235;3.3919;0.0;0.0;0.0;0.0;0.0;28.6;2.0;3.0;0.0;-0.255;3.039;1.975;9.118;1.0;1.014;1.149;0.0;0.0;0.0;1.124;0.0;0.0;0.0;0.0;1.962;0.048;0.0;10.129;3.449;0.0;0.0;0.0;0.0;3.35;2.685;0.0;7.677;0.0;0.0;1;1;V14 > 1.71 AND V39 <= 7.97 AND V30 > 0.00;3;0.972972972972973;0.0192;0.95;0.07063197026022305
5.086;3.6943;0.0;0.0;0.0;1.0;0.0;25.0;3.0;2.0;0.0;0.0;2.62;0.918;9.771;3.0;1.005;1.156;0.0;0.0;0.0;1.104;0.0;0.0;0.0;0.0;2.074;-0.23;0.0;0.0;1.372;0.0;0.0;0.0;1.0;3.31;2.792;0.0;7.266;0.0;0.0;0;0;V6 > 0.00 AND V1 > 4.84;2;0.970873786407767;0.1346;0.9823008849557522;0.1923743500866551
5.086;2.4664;1.0;0.0;0.0;1.0;0.0;30.8;2.0;1.0;0.0;0.0;2.929;1.39;9.812;0.0;1.014;1.14;0.0;0.0;0.0;1.169;1.0;0.0;1.0;0.0;2.38;0.126;0.0;0.0;1.372;1.0;0.0;0.0;0.0;3.699;2.31;0.0;8.193999999999999;0.0;1.0;0;0;V6 > 0.00 AND V41 > 0.00;2;1.0;0.0452;1.0;0.06412478336221837
4.214;2.9483;0.0;0.0;0.0;0.0;0.0;23.5;1.0;1.0;0.0;0.0;2.587;1.459;8.755;0.0;0.991;1.164;0.0;0.0;0.0;1.127;0.0;0.0;0.0;0.0;1.902;-0.223;0.0;0.0;2.052;0.0;0.0;1.0;1.0;3.077;2.5;1.0;6.954;0.0;0.0;1;0;V34 > 0.00 AND V38 > 0.00 AND V35 <= 1.00 AND V30 <= 0.00;4;0.9731993299832495;0.0865;0.9230769230769231;0.12478336221837089
5.697;2.6497;0.0;0.0;6.0;1.0;1.0;41.4;1.0;3.0;6.0;-1.903;3.768;0.972;10.864;10.0;1.021;1.128;0.0;0.0;0.0;1.235;2.0;0.0;0.0;0.0;2.511;0.0;0.0;35.007;1.861;0.0;0.0;2.0;2.0;3.82;2.789;2.0;8.806000000000001;0.0;0.0;0;0;V6 > 0.00 AND V11 > 2.00;2;1.0;0.0159;1.0;0.02772963604852686
5.516;2.7057;1.0;0.0;2.0;0.0;4.0;41.4;0.0;2.0;4.0;0.0;3.872;0.732;10.806;8.0;1.012;1.118;0.0;0.0;0.0;1.29;2.0;0.0;0.0;0.0;2.426;0.0;0.0;24.454;2.676;0.0;4.0;4.0;4.0;4.738;2.681;2.0;9.664;0.0;0.0;0;0;V7 > 3.00;1;0.9520383693045563;0.1616;0.9712230215827338;0.2339688041594454
4.86;3.3466;1.0;0.0;0.0;0.0;3.0;40.0;0.0;2.0;0.0;0.0;3.4530000000000003;1.273;9.967;4.0;1.02;1.122;0.0;0.0;0.0;1.25;1.0;0.0;1.0;0.0;2.282;-0.008;0.0;0.0;1.634;0.0;3.0;0.0;0.0;3.932;2.374;0.0;8.641;0.0;1.0;0;0;V7 > 1.00 AND V41 > 0.00;2;0.9883551673944687;0.1393;0.9915254237288136;0.2027729636048527
3.902;2.906;0.0;0.0;4.0;0.0;0.0;21.4;2.0;0.0;0.0;0.0;3.063;2.322;8.881;0.0;0.985;1.175;0.0;0.0;0.0;1.104;0.0;0.0;0.0;0.0;1.919;-0.024;0.0;0.0;4.086;0.0;0.0;6.0;6.0;2.995;2.2;4.0;7.275;0.0;0.0;0;0;V34 > 2.00 AND V10 <= 0.00;2;0.9934426229508196;0.0756;1.0;0.11611785095320624
4.802;2.3043;3.0;0.0;1.0;0.0;2.0;45.0;0.0;0.0;4.0;0.0;3.86;1.632;10.181;0.0;1.01;1.079;0.0;0.0;0.0;1.4380000000000002;3.0;0.0;0.0;0.0;2.38;-0.001;0.0;0.0;3.108;0.0;0.0;2.0;0.0;4.346;2.25;2.0;9.455;0.0;0.0;0;0;V38 > 1.00 AND V36 > 3.99;2;0.9926144756277696;0.0533;0.9782608695652174;0.0779896013864818
5.29;3.4786;2.0;0.0;1.0;0.0;0.0;30.0;5.0;3.0;6.0;0.0;3.963;1.958;10.77;8.0;1.002;1.136;0.0;0.0;0.0;1.263;1.0;0.0;0.0;0.0;2.36;0.0;0.0;0.0;3.196;0.0;0.0;5.0;0.0;4.699;2.227;2.0;9.633;0.0;0.0;0;0;V34 > 2.00 AND V3 > 0.00;2;0.9903691813804173;0.0503;0.9772727272727273;0.07452339688041594
4.414;3.1806;0.0;0.0;0.0;0.0;0.0;42.9;1.0;0.0;1.0;0.0;2.8680000000000003;0.802;9.183;0.0;0.982;1.125;0.0;0.0;0.0;1.295;1.0;0.0;0.0;0.0;2.101;-0.077;0.0;0.0;0.975;0.0;0.0;3.0;0.0;3.579;2.095;1.0;7.821000000000001;0.0;0.0;0;0;V34 > 2.00 AND V10 <= 0.00;2;0.9942857142857143;0.0799;1.0;0.11611785095320624
5.0680000000000005;3.3983;0.0;0.0;0.0;0.0;2.0;41.7;0.0;4.0;0.0;-1.1;3.571;1.59;10.257;10.0;1.03;1.121;0.0;0.0;0.0;1.202;1.0;0.0;0.0;0.0;2.343;0.001;0.0;22.449;2.147;0.0;0.0;0.0;0.0;3.793;2.833;0.0;8.593;2.0;0.0;1;1;V30 > 12.31 AND V40 > 0.00 AND V10 > 3.00 AND V39 <= 9.01 AND V15 <= 10.51;5;0.9591988130563798;0.0049;1.0;0.01858736059479554
4.958;3.552;0.0;0.0;1.0;0.0;3.0;38.9;1.0;3.0;3.0;0.0;3.375;1.16;10.099;6.0;1.041;1.132;0.0;1.0;0.0;1.226;1.0;0.0;0.0;0.0;2.303;-0.008;0.0;20.514;1.602;0.0;2.0;2.0;1.0;3.876;3.182;1.0;8.601;0.0;0.0;0;0;V20 > 0.00 AND V11 > 2.00;2;1.0;0.0347;1.0;0.05199306759098787
4.214;3.3939;0.0;0.0;0.0;0.0;0.0;28.6;2.0;2.0;0.0;-0.211;2.662;1.459;8.755;1.0;1.014;1.149;0.0;0.0;0.0;1.138;0.0;0.0;0.0;0.0;1.902;-0.249;0.0;9.822;2.052;0.0;0.0;0.0;0.0;3.344;2.944;0.0;7.382000000000001;0.0;0.0;1;1;V39 <= 7.97 AND V1 <= 4.44 AND V12 <= -0.18 AND V35 <= 2.00;4;1.0;0.0346;1.0;0.11152416356877323
4.562;3.8122;0.0;0.0;0.0;0.0;0.0;33.3;1.0;2.0;0.0;-0.759;2.7230000000000003;0.918;9.184;4.0;1.025;1.139;0.0;0.0;0.0;1.179;0.0;0.0;0.0;0.0;2.0;-0.258;0.0;9.6;1.521;0.0;0.0;0.0;1.0;3.511;3.556;0.0;7.676;0.0;0.0;1;1;V30 > 0.00 AND V39 <= 7.97 AND V37 > 2.87;3;0.9552469135802469;0.0457;0.9743589743589743;0.1412639405204461
4.895;3.5219;1.0;0.0;2.0;0.0;3.0;37.5;0.0;2.0;4.0;0.0;3.52;1.16;10.099;4.0;1.0590000000000002;1.137;0.0;1.0;0.0;1.252;1.0;0.0;1.0;0.0;2.292;-0.008;0.0;20.341;1.696;0.0;3.0;4.0;2.0;3.977;3.192;2.0;8.892000000000001;0.0;1.0;0;0;V20 > 0.00 AND V41 > 0.00;2;1.0;0.0214;1.0;0.03292894280762565
4.596;2.3621;0.0;0.0;0.0;0.0;0.0;30.4;2.0;0.0;1.0;0.0;2.867;0.875;9.54;0.0;0.969;1.148;0.0;0.0;0.0;1.2;1.0;0.0;0.0;0.0;2.175;0.037;0.0;0.0;1.069;0.0;0.0;4.0;1.0;3.247;1.7080000000000002;1.0;7.325;0.0;0.0;0;0;V34 > 2.00 AND V10 <= 0.00;2;0.9913419913419913;0.0743;1.0;0.11611785095320624
4.678999999999999;2.2806;0.0;0.0;4.0;0.0;0.0;28.6;2.0;0.0;4.0;0.0;3.084;1.261;9.715;0.0;0.974;1.154;0.0;0.0;0.0;1.159;1.0;0.0;0.0;0.0;2.222;0.012;0.0;0.0;1.695;2.0;0.0;2.0;4.0;3.245;1.967;2.0;7.476;0.0;0.0;0;0;V32 > 0.00 AND V11 > 2.00;2;1.0;0.008;1.0;0.012131715771230503
5.072;2.9677;0.0;0.0;0.0;0.0;2.0;38.1;2.0;4.0;0.0;-0.942;3.863;2.341;10.435;12.0;1.001;1.129;0.0;0.0;0.0;1.206;1.0;0.0;0.0;0.0;2.351;0.0;0.0;23.889;4.023;0.0;0.0;0.0;0.0;3.794;2.4330000000000003;0.0;8.737;2.0;0.0;1;1;V30 > 12.31 AND V40 > 0.00 AND V39 <= 9.01;3;1.0;0.0149;1.0;0.05204460966542751
4.807;3.3179;1.0;0.0;0.0;0.0;3.0;43.8;1.0;1.0;0.0;0.0;3.297;0.8809999999999999;9.833;2.0;1.012;1.113;0.0;0.0;0.0;1.298;1.0;0.0;1.0;0.0;2.246;-0.025;0.0;0.0;1.06;0.0;2.0;0.0;1.0;3.926;2.568;0.0;8.562000000000001;0.0;1.0;0;0;V7 > 1.00 AND V41 > 0.00;2;0.9863842662632375;0.142;0.9915254237288136;0.2027729636048527
4.214;3.3376;0.0;0.0;0.0;0.0;0.0;33.3;0.0;2.0;1.0;-1.072;2.774;1.459;8.755;2.0;1.071;1.148;0.0;0.0;0.0;1.187;0.0;0.0;0.0;0.0;1.902;-0.2769999999999999;0.0;9.377;2.052;0.0;0.0;1.0;1.0;3.423;4.111000000000001;1.0;7.746;0.0;0.0;1;1;V30 > 0.00 AND V39 <= 7.97 AND V12 <= -0.18;3;0.9609665427509294;0.0442;0.9736842105263158;0.137546468401487
4.802;1.7802;2.0;0.0;5.0;0.0;2.0;39.4;0.0;0.0;4.0;0.0;3.892;0.0;10.46;0.0;0.986;1.113;0.0;0.0;0.0;1.339;4.0;0.0;0.0;0.0;2.384;0.0;0.0;0.0;3.735;0.0;0.0;5.0;1.0;4.341;1.824;2.0;9.301;0.0;0.0;0;0;V34 > 2.00 AND V10 <= 0.00;2;0.9984423676012462;0.0786;1.0;0.11611785095320624
5.188;2.6152;3.0;0.0;2.0;1.0;2.0;45.0;0.0;2.0;2.0;-1.233;3.998;1.274;10.841;6.0;1.082;1.116;0.0;0.0;0.0;1.287;3.0;0.0;0.0;0.0;2.497;0.0;0.0;23.37;2.276;0.0;0.0;3.0;0.0;4.257;3.123;1.0;9.436;0.0;3.0;0;0;V6 > 0.00 AND V3 > 1.00;2;1.0;0.025;1.0;0.0415944540727903
4.476;3.7418;0.0;0.0;0.0;0.0;0.0;30.0;3.0;2.0;0.0;-0.195;2.917;1.5;9.345;2.0;0.998;1.146;0.0;0.0;0.0;1.153;0.0;0.0;0.0;0.0;2.042;-0.079;0.0;10.191;2.34;0.0;0.0;0.0;0.0;3.389;2.625;0.0;7.627999999999999;0.0;0.0;1;1;V30 > 0.00 AND V36 <= 3.48 AND V15 <= 9.49 AND V12 <= -0.18;4;1.0;0.039;1.0;0.12267657992565056
4.91;2.843;1.0;0.0;0.0;0.0;3.0;52.6;0.0;0.0;0.0;0.0;3.468;0.629;10.06;0.0;0.98;1.083;0.0;0.0;0.0;1.409;3.0;0.0;0.0;0.0;2.333;0.004;0.0;0.0;1.207;0.0;1.0;0.0;0.0;3.921;2.02;0.0;8.704;0.0;0.0;0;0;V7 > 1.00 AND V10 <= 0.00;2;0.9921414538310412;0.1253;0.9908256880733946;0.18717504332755633
4.414;2.2803;0.0;0.0;0.0;0.0;0.0;30.0;0.0;0.0;1.0;0.0;2.736;0.802;9.183;0.0;0.97;1.149;0.0;0.0;0.0;1.178;1.0;0.0;0.0;0.0;2.101;-0.065;0.0;0.0;0.975;0.0;0.0;2.0;0.0;3.178;1.643;1.0;7.138;0.0;0.0;0;0;V34 > 0.00 AND V10 <= 0.00;2;0.9538606403013182;0.1435;0.9349593495934959;0.19930675909878684
5.096;3.1703;0.0;0.0;0.0;0.0;0.0;40.0;2.0;4.0;0.0;-1.5;3.4330000000000003;1.124;10.278;10.0;1.042;1.125;0.0;0.0;0.0;1.223;1.0;0.0;0.0;0.0;2.358;0.004;0.0;32.786;1.482;1.0;0.0;0.0;0.0;3.742;3.208;0.0;8.487;0.0;0.0;1;1;V30 > 12.31 AND V39 <= 8.49 AND V37 > 2.87 AND V10 > 2.00;4;0.9906542056074766;0.0219;1.0;0.08178438661710037
4.523;3.4355;0.0;0.0;0.0;0.0;0.0;28.6;4.0;0.0;2.0;0.0;2.939;1.837;9.454;0.0;0.966;1.151;0.0;0.0;0.0;1.173;0.0;0.0;0.0;0.0;2.074;0.038;0.0;0.0;2.57;0.0;0.0;4.0;1.0;3.177;1.796;1.0;7.316;0.0;0.0;0;0;V34 > 2.00 AND V10 <= 0.00;2;0.990086741016109;0.077;1.0;0.11611785095320624
4.414;3.4137;0.0;0.0;0.0;0.0;0.0;33.3;2.0;2.0;0.0;-0.125;2.847;1.379;9.222;2.0;1.013;1.139;0.0;0.0;0.0;1.209;0.0;0.0;0.0;0.0;2.0;0.144;0.0;20.067;2.133;0.0;0.0;0.0;0.0;3.426;3.262;0.0;7.757999999999999;0.0;0.0;1;1;V30 > 12.31 AND V39 <= 7.97 AND V37 > 2.87;3;0.9917081260364843;0.0077;1.0;0.02973977695167286
5.459;2.9274;0.0;0.0;0.0;2.0;2.0;37.8;5.0;1.0;0.0;0.0;3.547;1.571;10.843;2.0;0.974;1.129;0.0;0.0;0.0;1.265;1.0;0.0;0.0;0.0;2.378;-0.001;0.0;0.0;2.74;0.0;1.0;0.0;1.0;3.704;2.089;0.0;8.48;0.0;0.0;0;0;V6 > 0.00 AND V33 > 0.00;2;1.0;0.0345;1.0;0.053726169844020795
